総合順位	No.	氏名	年齢	所属	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	区分	区分順位
1	2004	田村 光	26	埼玉県トライアスロン連合	1:07:54	0:11:55	4	0:35:46	1	0:49:11	1	0:18:43	1	F25-29	1
2	2002	谷村 帆夏	18	大阪府トライアスロン協会	1:10:49	0:11:04	1	0:37:00	2	0:49:35	2	0:21:14	3	F16-19	1
3	2029	渡辺 和	16	神奈川県トライアスロン連合	1:12:47	0:11:47	3	0:38:03	3	0:51:38	4	0:21:09	2	F16-19	2
4	2001	高橋 実結	17	東京都トライアスロン連合	1:14:12	0:11:04	2	0:38:40	5	0:51:15	3	0:22:57	5	F16-19	3
5	2005	中野 咲桜	32	東京都トライアスロン連合	1:18:51	0:11:56	5	0:41:23	14	0:55:20	5	0:23:31	8	F30-34	1
6	2013	谷津 麻耶	43	神奈川県トライアスロン連合	1:19:32	0:14:30	7	0:39:07	7	0:55:36	6	0:23:56	9	F40-44	1
7	2017	波多野 幸子	46	東京都トライアスロン連合	1:20:33	0:14:54	10	0:38:45	6	0:55:50	7	0:24:43	13	F45-49	1
8	2026	森 悦子	60	東京都トライアスロン連合	1:20:59	0:16:00	15	0:39:41	10	0:57:46	9	0:23:13	7	F60-64	1
9	2022	篠原 知美	53	東京都トライアスロン連合	1:21:14	0:14:39	8	0:39:17	8	0:56:33	8	0:24:41	12	F50-54	1
10	2014	永宮 友子	43	東京都トライアスロン連合	1:21:41	0:15:17	11	0:40:55	12	0:58:34	12	0:23:07	6	F40-44	2
11	2025	中軽米 恵子	59	埼玉県トライアスロン連合	1:22:07	0:15:56	14	0:39:23	9	0:57:47	10	0:24:20	11	F55-59	1
12	2023	林 真由美	56	兵庫県トライアスロン協会	1:25:49	0:17:10	18	0:38:29	4	0:58:03	11	0:27:46	21	F55-59	2
13	2016	友野 由香	44	東京都トライアスロン連合	1:25:57	0:18:06	19	0:40:40	11	1:01:01	13	0:24:56	14	F40-44	3
14	2018	打越 三紀恵	47	東京都トライアスロン連合	1:27:06	0:18:13	20	0:43:40	17	1:04:21	20	0:22:45	4	F45-49	2
15	2019	新井 美幸	47	埼玉県トライアスロン連合	1:27:23	0:15:27	12	0:45:30	21	1:03:13	17	0:24:10	10	F45-49	3
16	2010	共田 真紀	40	大阪府トライアスロン協会	1:28:21	0:16:36	16	0:41:09	13	1:01:16	14	0:27:05	18	F40-44	4
17	2007	宮本 夕起子	38	大阪府トライアスロン協会	1:28:27	0:15:50	13	0:43:55	18	1:02:48	16	0:25:39	17	F35-39	1
18	2024	吉岡 憲子	58	東京都トライアスロン連合	1:29:11	0:19:10	23	0:42:05	15	1:04:05	18	0:25:06	15	F55-59	3
19	2011	石居 真希子	40	埼玉県トライアスロン連合	1:31:24	0:14:51	9	0:46:13	22	1:04:09	19	0:27:15	19	F40-44	5
20	2003	嵯峨 万琴	22	日本学生トライアスロン連合	1:31:42	0:12:49	6	0:47:06	24	1:02:17	15	0:29:25	24	F20-24	1
21	2006	牧永 奈々	33	大阪府トライアスロン協会	1:32:33	0:21:04	26	0:42:44	16	1:07:08	22	0:25:25	16	F30-34	2
22	2015	濱崎 恵	44	東京都トライアスロン連合	1:34:49	0:19:03	22	0:45:03	19	1:06:43	21	0:28:06	22	F40-44	6
23	2020	小出 麻紀子	48	千葉県トライアスロン連合	1:36:09	0:20:31	25	0:45:16	20	1:08:32	24	0:27:37	20	F45-49	4
24	2009	楠田 悦子	39	埼玉県トライアスロン連合	1:37:47	0:17:08	17	0:47:29	25	1:07:37	23	0:30:10	25	F35-39	2
25	2028	石橋 洋子	70	大阪府トライアスロン協会	1:39:37	0:19:37	24	0:46:30	23	1:10:13	25	0:29:24	23	F70-74	1
26	2027	中嶋 千秋	65	茨城県トライアスロン協会	1:46:36	0:19:02	21	0:51:00	26	1:13:47	26	0:32:49	26	F65-69	1
DNS	2008	BECHARA TASCA MARIANA	39	東京都トライアスロン連合										F35-39	
DNS	2012	北原 亜加利	41	栃木県トライアスロン協会										F40-44	
DNS	2021	村岸 美由貴	52	東京都トライアスロン連合										F50-54	
