総合順位	No.	氏名	年齢	性別	居住地	総合記録	スイムラップ	S順	バイクラップ	B順	スプリット	通過	ランラップ	R順	男子順位	女子順位	年齢区分	年齢別順
1	118	中山 泰誠	28	男	東京都	2:08:11	0:22:07	4	1:09:44	5	1:31:51	1	0:36:20	6	1		M25-29	
2	144	駒野 悠太	43	男	神奈川県	2:09:13	0:22:56	7	1:09:52	6	1:32:48	2	0:36:25	7	2		M40-44	
3	102	蔵方 煌	19	男	学連	2:09:56	0:24:17	13	1:10:37	8	1:34:54	6	0:35:02	2	3		M18-19	
4	135	市ノ川 隆久	40	男	神奈川県	2:10:47	0:24:21	16	1:09:37	4	1:33:58	4	0:36:49	10	4		M40-44	1
5	162	河村 雄也	48	男	山口県	2:11:05	0:24:24	17	1:09:08	3	1:33:32	3	0:37:33	12	5		M45-49	1
6	109	永曽 将多	22	男	学連	2:11:22	0:27:17	46	1:07:59	2	1:35:16	7	0:36:06	5	6		M20-24	1
7	107	三樹 慎平	21	男	学連	2:12:42	0:21:37	3	1:15:04	25	1:36:41	11	0:36:01	4	7		M20-24	2
8	105	山崎 太哉	20	男	学連	2:15:50	0:26:24	30	1:11:15	9	1:37:39	12	0:38:11	14	8		M20-24	3
9	151	根本 亮治	45	男	神奈川県	2:15:51	0:25:18	22	1:10:07	7	1:35:25	8	0:40:26	23	9		M45-49	2
10	115	下村 勇喜	27	男	長野県	2:15:52	0:26:59	41	1:14:04	20	1:41:03	22	0:34:49	1	10		M25-29	1
11	116	仲宗根 航大	27	男	神奈川県	2:16:15	0:25:23	23	1:14:56	24	1:40:19	20	0:35:56	3	11		M25-29	2
12	120	金子 文也	30	男	神奈川県	2:17:50	0:27:04	43	1:12:44	13	1:39:48	17	0:38:02	13	12		M30-34	1
13	106	熊谷 航汰	21	男	学連	2:17:53	0:26:27	33	1:07:49	1	1:34:16	5	0:43:37	42	13		M20-24	4
14	101	油井 得人	18	男	東京都	2:18:47	0:21:25	1	1:15:12	26	1:36:37	10	0:42:10	33	14		M18-19	1
15	108	伊藤 大河	22	男	学連	2:19:42	0:25:33	25	1:14:25	23	1:39:58	18	0:39:44	19	15		M20-24	5
16	112	篠原 奎梧	24	男	学連	2:19:51	0:26:34	34	1:11:45	11	1:38:19	13	0:41:32	27	16		M20-24	6
17	278	中野 正紀	52	男	東京都	2:20:07	0:28:35	57	1:12:56	15	1:41:31	23	0:38:36	15	17		M50-54	1
18	171	釈迦野 亮	50	男	東京都	2:20:18	0:29:00	62	1:14:07	22	1:43:07	29	0:37:11	11	18		M50-54	2
19	143	駒形 英晴	42	男	東京都	2:22:13	0:28:26	56	1:13:52	19	1:42:18	25	0:39:55	20	19		M40-44	2
20	121	埜澤 賢人	30	男	愛知県	2:22:18	0:25:52	26	1:17:22	33	1:43:14	30	0:39:04	16	20		M30-34	2
21	206	永井 克明	56	男	埼玉県	2:23:42	0:27:23	47	1:11:34	10	1:38:57	15	0:44:45	50	21		M55-59	1
22	179	木村 琢磨	51	男	東京都	2:23:52	0:25:24	24	1:16:30	30	1:41:54	24	0:41:58	29	22		M50-54	3
23	222	篠塚 恭男	59	男	茨城県	2:23:59	0:26:55	40	1:12:44	14	1:39:39	16	0:44:20	46	23		M55-59	2
24	110	佐藤 亘晟	22	男	学連	2:24:02	0:23:38	10	1:12:41	12	1:36:19	9	0:47:43	71	24		M20-24	7
25	111	南方 政伸	22	男	学連	2:24:35	0:29:06	65	1:18:41	40	1:47:47	48	0:36:48	9	25		M20-24	8
26	156	藤川 大輔	46	男	神奈川県	2:24:37	0:29:31	70	1:15:38	27	1:45:09	38	0:39:28	18	26		M45-49	3
