総合順位	No.	氏名	年齢	性別	都道府県	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年代区分	年代別順
1	216	壁谷 華太	25	男	東京都	2:06:29	0:25:56	6	1:03:15	1	1:29:11	1	0:37:18	1	1		20歳代男子
2	226	服部 勇佑	32	男	岩手県	2:11:26	0:29:00	21	1:05:06	5	1:34:06	7	0:37:20	2	2		30歳代男子
3	414	秋山 優	45	男	宮城県	2:11:30	0:28:26	19	1:03:47	2	1:32:13	3	0:39:17	6	3		40歳代男子
4	218	北條 孝樹	28	男	埼玉県	2:13:02	0:28:06	17	1:04:35	4	1:32:41	5	0:40:21	11	4		20歳代男子	1
5	408	淺井 邦人	43	男	静岡県	2:13:38	0:27:21	14	1:04:05	3	1:31:26	2	0:42:12	19	5		40歳代男子	1
6	208	宮本 穂生	22	男	愛知県	2:13:52	0:25:47	5	1:07:44	13	1:33:31	6	0:40:21	10	6		20歳代男子	2
7	416	吉田 拓也	46	男	愛知県	2:14:15	0:28:49	20	1:06:35	7	1:35:24	11	0:38:51	4	7		40歳代男子	2
8	509	福元 テツロー	51	男	広島県	2:14:17	0:26:39	9	1:05:49	6	1:32:28	4	0:41:49	18	8		50歳代男子	1
9	567	沢田 秀二	60	男	宮城県	2:14:25	0:27:50	15	1:07:02	9	1:34:52	9	0:39:33	7	9		60歳代男子	1
10	437	関 伸介	49	男	新潟県	2:14:56	0:28:04	16	1:06:47	8	1:34:51	8	0:40:05	8	10		40歳代男子	3
11	207	大宮 玄暉	21	男	宮城県	2:18:13	0:26:21	7	1:10:26	24	1:36:47	12	0:41:26	17	11		20歳代男子	3
12	227	松本 功也	32	男	岩手県	2:18:14	0:31:42	35	1:08:27	16	1:40:09	21	0:38:05	3	12		30歳代男子	1
13	608	加来 奈津子	39	女	東京都	2:18:30	0:24:56	4	1:12:48	40	1:37:44	13	0:40:46	13		1	30歳代女子
14	531	早川 真	54	男	岩手県	2:21:13	0:32:36	42	1:07:27	12	1:40:03	20	0:41:10	15	13		50歳代男子	2
15	428	釈迦野 亮	48	男	東京都	2:21:18	0:33:41	50	1:07:20	11	1:41:01	24	0:40:17	9	14		40歳代男子	4
16	202	古宮 雄平	20	男	宮城県	2:21:31	0:27:12	11	1:13:18	42	1:40:30	22	0:41:01	14	15		20歳代男子	4
17	605	北條 碧	29	女	埼玉県	2:21:43	0:23:52	1	1:11:11	26	1:35:03	10	0:46:40	46		2	20歳代女子
18	231	安齋 達也	35	男	福島県	2:22:01	0:31:28	32	1:07:57	14	1:39:25	16	0:42:36	21	16		30歳代男子	2
19	555	山本 慈朗	58	男	千葉県	2:22:31	0:33:00	45	1:08:18	15	1:41:18	26	0:41:13	16	17		50歳代男子	3
20	541	矢吹 暁	55	男	宮城県	2:22:56	0:32:42	43	1:07:12	10	1:39:54	19	0:43:02	25	18		50歳代男子	4
21	402	池田 浩一	42	男	山形県	2:23:09	0:35:25	63	1:08:40	18	1:44:05	37	0:39:04	5	19		40歳代男子	5
22	612	東井 久実子	43	女	岩手県	2:23:11	0:29:09	23	1:10:24	23	1:39:33	17	0:43:38	26		3	40歳代女子
23	424	菊田 竜司	47	男	宮城県	2:23:24	0:27:02	10	1:11:33	29	1:38:35	14	0:44:49	32	20		40歳代男子	6
24	201	鈴木 爽太	20	男	宮城県	2:23:40	0:26:27	8	1:12:23	35	1:38:50	15	0:44:50	33	21		20歳代男子	5
25	212	吾妻 敬也	23	男	福島県	2:24:04	0:35:03	60	1:08:32	17	1:43:35	34	0:40:29	12	22		20歳代男子	6
26	217	高橋  颯太朗	27	男	神奈川県	2:24:25	0:30:56	28	1:10:31	25	1:41:27	27	0:42:58	23	23		20歳代男子	7
27	411	皆川 貴行	44	男	東京都	2:25:26	0:29:08	22	1:11:24	28	1:40:32	23	0:44:54	34	24		40歳代男子	7
28	401	半田 恭明	40	男	秋田県	2:25:31	0:33:35	48	1:08:57	20	1:42:32	28	0:42:59	24	25		40歳代男子	8
29	213	佐藤 大智	23	男	青森県	2:25:52	0:27:12	12	1:12:37	37	1:39:49	18	0:46:03	39	26		20歳代男子	8
30	409	高橋 悟	43	男	東京都	2:26:41	0:31:23	31	1:12:24	36	1:43:47	35	0:42:54	22	27		40歳代男子	9
31	229	高橋 怜央奈	34	男	東京都	2:27:40	0:35:10	62	1:08:41	19	1:43:51	36	0:43:49	27	28		30歳代男子	3
32	211	内田 悠太	23	男	福島県	2:28:35	0:29:38	24	1:13:21	43	1:42:59	31	0:45:36	35	29		20歳代男子	9
33	525	岩渕 貴光	52	男	岩手県	2:28:53	0:32:32	41	1:10:04	21	1:42:36	29	0:46:17	42	30		50歳代男子	5
34	604	竹内 愛	27	女	東京都	2:30:04	0:24:36	2	1:19:45	70	1:44:21	39	0:45:43	36		4	20歳代女子	1
35	220	安藤 健哉	29	男	宮城県	2:30:06	0:34:44	57	1:12:58	41	1:47:42	47	0:42:24	20	31		20歳代男子	10
36	435	荒川 哲夫	49	男	岩手県	2:31:05	0:31:13	30	1:14:03	45	1:45:16	40	0:45:49	37	32		40歳代男子	10
37	206	古川 航	20	男	宮城県	2:31:10	0:30:27	27	1:12:37	38	1:43:04	33	0:48:06	55	33		20歳代男子	11
38	603	岡本 真依	21	女	宮城県	2:31:12	0:24:51	3	1:16:17	54	1:41:08	25	0:50:04	72		5	20歳代女子	2
39	514	三浦 崇	51	男	宮城県	2:31:54	0:32:57	44	1:10:05	22	1:43:02	32	0:48:52	61	34		50歳代男子	6
40	228	小田 哲也	32	男	青森県	2:32:03	0:33:08	46	1:14:31	46	1:47:39	46	0:44:24	30	35		30歳代男子	4
