Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
72	Vincent Garcia	M	M25-29	9	4:38:53	0:36:04	2:40:14	1:16:28
73	Dean Phelan	M	M18-24	9	4:39:15	0:37:19	2:23:09	1:31:38
74	Giuseppe Vitalone	M	M40-44	10	4:39:28	0:34:43	2:27:22	1:30:08
75	Johannes Kähkölä	M	M25-29	10	4:39:49	0:35:58	2:24:40	1:33:08
76	Egerd Enok	M	M25-29	11	4:39:50	0:36:04	2:23:15	1:34:05
77	Hendrik Veltri	M	M18-24	10	4:39:54	0:32:38	2:30:05	1:31:19
78	Laurens De Kroon	M	M35-39	13	4:39:57	0:32:22	2:26:57	1:31:57
79	Jefferson Mc Carthy	M	M45-49	2	4:40:37	0:34:35	2:23:13	1:32:29
80	Indrek Kraus	M	M45-49	3	4:41:15	0:38:04	2:24:57	1:32:45
81	Grace Williams	F	F25-29	3	4:41:16	0:34:14	2:24:23	1:36:01
82	Piotr Manasterski	M	M30-34	11	4:41:20	0:34:54	2:24:54	1:32:34
83	Paul Roothans	M	M30-34	12	4:41:30	0:36:09	2:27:47	1:26:26
84	Egert Purre	M	M35-39	14	4:41:34	0:43:05	2:16:58	1:35:17
85	Oskar Miller	M	M18-24	11	4:42:16	0:30:25	2:26:20	1:37:33
86	Matthew Fritz	M	M30-34	13	4:42:42	0:36:58	2:17:10	1:39:17
87	Cesar Borges Alvarez	M	M45-49	4	4:42:45	0:34:44	2:29:45	1:26:04
88	Jarkko Pakarinen	M	M45-49	5	4:42:54	0:37:25	2:23:53	1:33:39
89	Kai Biermann	M	M35-39	15	4:43:00	0:37:14	2:29:23	1:27:32
90	Álvaro Monedero Álvarez	M	M30-34	14	4:43:36	0:33:51	2:31:10	1:29:34
91	Sergei Baranovski	M	M40-44	11	4:43:39	0:36:59	2:25:48	1:35:21
92	Niels Van Stralen	M	M35-39	16	4:43:51	0:36:21	2:23:43	1:34:27
93	Satu Suuronen	F	F40-44	1	4:43:53	0:36:58	2:25:32	1:35:20
94	Kert Pallo	M	M18-24	12	4:44:40	0:31:43	2:33:34	1:32:49
95	Papadavid Dimokritos	M	M40-44	12	4:44:42	0:33:35	2:29:27	1:33:58
