順位	No.	氏名	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	総合順位
OPEN	651	酒井 絵美	女	群馬県	2:37:24	0:29:56		1:18:00		1:47:56		0:49:28		OPEN
1	653	羽生 佐知子	女	群馬県	2:48:02	0:26:45	45	1:27:13	89	1:53:58	62	0:54:04	79	56
2	663	谷村 佳子	女	埼玉県	2:52:45	0:26:47	46	1:36:18	218	2:03:05	139	0:49:40	33	78
3	661	宮澤 智子	女	埼玉県	2:53:51	0:24:39	21	1:29:27	116	1:54:06	63	0:59:45	157	80
4	662	村上 千景	女	栃木県	2:55:31	0:32:10	173	1:25:50	69	1:58:00	89	0:57:31	129	89
5	673	大津 菜々	女	神奈川県	2:57:08	0:33:51	230	1:28:28	104	2:02:19	128	0:54:49	89	101
6	668	フィンドレー 由香	女	群馬県	2:59:07	0:30:43	124	1:32:33	156	2:03:16	141	0:55:51	104	114
7	670	渡邉 ゆかり	女	群馬県	3:01:35	0:40:31	350	1:28:16	102	2:08:47	197	0:52:48	62	129
8	683	安藤 有希	女	茨城県	3:02:08	0:32:40	190	1:32:50	165	2:05:30	161	0:56:38	117	134
9	665	樋田 真以子	女	茨城県	3:05:57	0:36:15	301	1:33:05	169	2:09:20	206	0:56:37	116	155
10	657	永宮 友子	女	東京都	3:06:49	0:27:48	57	1:39:08	241	2:06:56	178	0:59:53	161	163
11	671	佃 史絵	女	埼玉県	3:07:10	0:29:25	90	1:35:24	206	2:04:49	153	1:02:21	190	167
12	660	福岡 淳子	女	東京都	3:10:31	0:28:54	79	1:34:30	190	2:03:24	144	1:07:07	254	185
13	677	宇川 佳津江	女	群馬県	3:10:44	0:32:40	189	1:34:14	185	2:06:54	177	1:03:50	209	188
14	678	中野 幸子	女	神奈川県	3:11:50	0:27:15	52	1:45:14	299	2:12:29	234	0:59:21	152	196
15	676	近藤 美佐緒	女	東京都	3:18:31	0:35:50	293	1:42:22	270	2:18:12	274	1:00:19	168	241
16	658	中村 恵美	女	東京都	3:28:27	0:33:04	200	1:47:19	314	2:20:23	287	1:08:04	270	280
17	684	Peterson Hydi	女	群馬県	3:28:38	0:34:16	240	1:46:18	308	2:20:34	291	1:08:04	268	281
18	659	増田 花子	女	東京都	3:29:41	0:26:45	44	1:44:57	296	2:11:42	226	1:17:59	355	286
19	682	吉田 可南子	女	群馬県	3:29:47	0:37:49	325	1:42:55	277	2:20:44	293	1:09:03	283	287
20	652	笠 咲樹	女	新潟県	3:34:04	0:32:53	198	1:51:40	339	2:24:33	313	1:09:31	289	308
21	681	八木 真澄	女	東京都	3:37:04	0:38:11	333	1:57:23	376	2:35:34	369	1:01:30	180	321
22	655	髙田 友希	女	神奈川県	3:42:03	0:43:38	379	1:45:47	304	2:29:25	340	1:12:38	319	341
23	654	土肥 あずさ	女	東京都	3:42:04	0:30:27	117	1:56:34	375	2:27:01	327	1:15:03	334	342
24	687	赤羽 佳子	女	神奈川県	3:42:56	0:37:59	328	1:55:55	370	2:33:54	363	1:09:02	282	347
25	656	料治 香里	女	神奈川県	3:47:15	0:36:17	303	1:56:30	374	2:32:47	359	1:14:28	331	356
26	667	竹内 裕子	女	群馬県	3:49:40	0:33:57	233	1:55:57	371	2:29:54	346	1:19:46	367	363
27	679	八木原 悦子	女	埼玉県	3:50:08	0:29:12	86	1:50:45	333	2:19:57	284	1:30:11	395	365
28	690	新井 洋子	女	千葉県	3:51:38	0:35:58	298	1:52:48	352	2:28:46	337	1:22:52	377	370
29	685	宮下 礼子	女	群馬県	3:51:47	0:39:02	341	1:52:53	355	2:31:55	357	1:19:52	368	371
30	688	吉田 アツ子	女	東京都	3:56:44	0:50:37	403	2:01:23	388	2:52:00	398	1:04:44	223	378
31	689	吉田 典子	女	埼玉県	4:18:15	0:45:07	390	1:52:50	353	2:37:57	381	1:40:18	398	396
DNF	669	筒木 忍	女	東京都		0:41:30	366							DNF
DNF	680	井上 里香	女	埼玉県										DNF
DNS	664	増山 葉月	女	群馬県										DNS
DNS	666	赤堀 美希	女	群馬県										DNS
DNS	672	篠藤 章子	女	東京都										DNS
DNS	674	田島 陽子	女	千葉県										DNS
DNS	675	木戸 順子	女	新潟県										DNS
DNS	686	箕田 春香	女	埼玉県										DNS
