総合順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	年齢区分	年齡別順
1	301	⼟⽥ 洋平		男		2:06:00	0:24:10	7	0:57:05	1			0:39:55	2	45-49M	1
2	434	野仲 勝彦		男		2:11:24	0:25:27	17	1:00:55	2			0:39:54	1	50-54M	1
3	229	内栫 将司		男		2:13:27	0:21:27	1	1:07:15	7			0:40:27	3	30-34M	1
4	202	佐藤 輝茂		男		2:19:11	0:24:07	6	1:07:35	9			0:42:59	6	20-24M	1
5	221	合庭 俊⼆		男		2:19:20	0:24:47	10	1:06:27	4			0:43:31	7	25-29M	1
6	451	平井 淳也		男		2:20:26	0:24:13	8	1:07:19	8			0:44:18	9	50-54M	2
7	443	井⼿ 善彦		男		2:23:36	0:24:05	5	1:11:49	23			0:42:31	5	50-54M	3
8	205	⽊場 晴紀		男		2:25:27	0:25:25	16	1:07:48	10			0:44:54	12	20-24M	2
9	427	⽇⾼ 洋⼀		男		2:27:27	0:25:20	15	1:08:53	12			0:48:06	22	50-54M	4
10	411	浜崎 昌⼀郎		男		2:27:38	0:25:31	19	1:11:28	18			0:45:54	17	50-54M	5
11	269	秋⼭ 勇太		男		2:27:44	0:28:31	42	1:08:34	11			0:44:21	10	40-44M	1
12	291	兒⽟ 宜紀		男		2:28:50	0:27:41	31	1:09:43	16			0:44:37	11	45-49M	2
13	484	⻄⼭ 伸⼆		男		2:29:45	0:28:57	45	1:09:39	15			0:45:26	15	55-59M	1
14	318	成⽑ 崇		男		2:32:17	0:30:29	67	1:06:32	5			0:49:09	28	45-49M	3
15	466	池⽥ 徳郎		男		2:33:43	0:24:16	9	1:09:26	14			0:54:01	55	55-59M	2
16	233	前⽥ 直也		男		2:34:17	0:29:38	54	1:13:07	34			0:44:08	8	30-34M	2
17	531	志⽥ 哲也		男		2:34:46	0:28:54	44	1:09:56	17			0:49:31	29	60-64M	1
18	292	⾚川 俊介		男		2:35:19	0:27:42	33	1:15:06	49			0:46:40	19	45-49M	4
19	503	林 真⼀		男		2:37:02	0:29:28	51	1:12:42	31			0:48:17	26	60-64M	2
20	487	守部 丈博		男		2:37:43	0:28:58	46	1:12:46	32			0:50:06	36	55-59M	3
21	510	三宅 弘通		男		2:37:52	0:30:30	68	1:15:18	53			0:45:20	14	60-64M	3
22	458	諸藤 和幸		男		2:38:20	0:29:43	55	1:07:07	6			0:54:38	57	55-59M	4
23	520	千々和 タカシ		男		2:38:36	0:28:27	40	1:09:23	13			0:53:39	51	60-64M	4
24	261	⾳泉 圭		男		2:38:47	0:24:56	12	1:17:06	60			0:51:21	42	40-44M	2
25	315	吉野 公貴		男		2:38:53	0:32:33	103	1:11:40	19			0:48:01	21	45-49M	5
26	241	秋⽉ 直⼈		男		2:39:09	0:31:28	83	1:16:18	57			0:41:27	4	35-39M	1
27	211	⼤塚 海⽃		男		2:40:05	0:31:03	77	1:15:17	52			0:45:31	16	25-29M	2
28	277	⽣⽥ 正⼰		男		2:40:11	0:22:17	3	1:12:27	30			0:57:59	86	40-44M	3
29	533	橋本 光弘		男		2:40:56	0:25:38	20	1:14:23	45			0:55:32	61	60-64M	5
