Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
1	Josh Ferris	M	MPRO	1	3:49:11	0:21:38	2:02:16	1:20:33
2	Mike Phillips	M	MPRO	2	3:52:41	0:23:14	2:04:55	1:19:46
3	Sam Osborne	M	MPRO	3	4:04:06	0:22:39	2:09:00	1:27:28
4	Nicholas Free	M	MPRO	4	4:11:26	0:23:11	2:14:02	1:28:48
5	Amelia Watkinson	F	FPRO	1	4:14:22	0:26:24	2:14:40	1:28:17
6	Calvin Amos	M	MPRO	5	4:14:43	0:27:37	2:12:47	1:28:05
7	Brett Clifford	M	MPRO	6	4:17:38	0:26:43	2:14:45	1:30:51
8	Sophie Malowiecki	F	FPRO	2	4:24:42	0:24:13	2:27:55	1:27:42
9	Tommaso Puccini	M	MPRO	7	4:26:11	0:26:17	2:18:52	1:33:15
10	Ryosuke Ohata	M	M40-44	1	4:26:30	0:26:25	2:24:57	1:28:08
11	Samantha Kingsford	F	FPRO	3	4:27:45	0:25:43	2:24:02	1:32:33
12	Ekaterina Shabalina	F	FPRO	4	4:28:52	0:24:44	2:31:06	1:27:49
13	Yuki Umeda	M	M40-44	2	4:33:19	0:24:46	2:26:00	1:36:06
14	Mervin Rencel Santiago	M	M30-34	1	4:34:59	0:30:04	2:26:06	1:33:18
15	Lauren Hume	F	FPRO	5	4:36:08	0:28:31	2:31:45	1:30:14
16	Rik Beugel	M	M18-24	1	4:36:59	0:30:37	2:33:08	1:27:18
17	Edgie Arances	M	M18-24	2	4:37:03	0:29:41	2:31:04	1:30:57
18	Kazuhiro Oishi	M	M25-29	1	4:38:07	0:26:33	2:22:34	1:42:41
19	Markus Goldinger	M	M40-44	3	4:39:24	0:29:04	2:22:51	1:40:32
20	Niel Amar Flores	M	M18-24	3	4:39:27	0:29:45	2:26:39	1:36:50
21	Petr Lukosz	M	M40-44	4	4:39:58	0:28:24	2:20:21	1:42:55
22	Mayo Yamauchi (Onishi)	F	F35-39	1	4:41:58	0:27:27	2:38:37	1:28:39
23	Kyle Arnold	M	M40-44	5	4:42:30	0:30:28	2:29:01	1:35:45
24	Paige Cranage	F	FPRO	6	4:42:44	0:28:28	2:31:47	1:36:31
25	Eryk John Omandam	M	M18-24	4	4:43:04	0:27:00	2:30:45	1:37:42
26	Kristiane Lim	M	M35-39	1	4:44:14	0:32:40	2:24:01	1:40:57
27	Lin Haoran	M	M25-29	2	4:44:51	0:34:59	2:22:49	1:39:43
28	Kenneth Bonda	M	M18-24	5	4:46:08	0:30:30	2:30:24	1:38:51
29	Arjun Kandikuppa	M	M35-39	2	4:46:39	0:30:00	2:29:39	1:40:27
30	Josh Padlie	M	M25-29	3	4:47:14	0:30:00	2:20:49	1:48:00
31	Craig Douglas	M	M40-44	6	4:48:24	0:29:36	2:27:16	1:44:49
32	Takayuki Sumida	M	M35-39	3	4:48:27	0:28:54	2:31:07	1:41:44
33	Cyril Bedat	M	M40-44	7	4:49:48	0:29:04	2:30:07	1:43:32
34	Jonathan Pagaura	M	M25-29	4	4:50:19	0:29:46	2:29:44	1:45:04
35	Jann Patrick Catan	M	M25-29	5	4:50:51	0:29:54	2:29:01	1:45:35
36	John Dedeus Alcala	M	M30-34	2	4:52:59	0:35:47	2:37:11	1:33:51
37	Jed Radbone	M	M25-29	6	4:53:18	0:24:33	2:26:14	1:56:42
38	Eric Van Der Linden	M	M50-54	1	4:54:50	0:28:44	2:43:04	1:35:42
39	Kimiko Uji	F	F40-44	1	4:55:22	0:29:18	2:42:37	1:35:17
40	Jemuel Clemente	M	M30-34	3	4:55:45	0:37:08	2:32:13	1:37:08
41	Sun Hyunsoo	M	M50-54	2	4:55:52	0:35:26	2:28:13	1:42:08
42	Iman Heizer Pua	M	M25-29	7	4:56:38	0:32:26	2:32:29	1:44:16
43	Arthur Abogado	M	M45-49	1	4:56:52	0:36:32	2:34:12	1:40:00
44	Romeo Calamohoy	M	M25-29	8	4:56:53	0:33:17	2:38:11	1:39:04
45	Julius Alfred Constantino	M	M25-29	9	4:57:18	0:27:43	2:37:47	1:45:10
46	Hajime Sato	M	M55-59	1	4:58:43	0:34:47	2:33:42	1:40:42
47	Clement John Vergara	M	M25-29	10	4:59:05	0:34:52	2:31:54	1:43:58
48	John Rey Tumanda	M	M35-39	4	4:59:35	0:33:02	2:28:42	1:50:54
49	Jacob Rodriguez	M	M18-24	6	4:59:58	0:35:17	2:35:02	1:43:56
