順位	No.	氏名	年齢	性別	総合記録	ｽｲﾑﾗｯﾌﾟ	S順	T1(ﾐﾆﾗﾝ)	ﾊﾞｲｸﾗｯﾌﾟ	B順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	R順	男子順位	女子順位	年齢区分	区分別順
1	491	鈴鹿 将樹	48	男	2:15:24	0:20:51	6	0:02:47	1:08:30	1	1:32:08	1	0:43:16	5	1		40代男子	
2	449	秦 陽一郎	45	男	2:15:46	0:21:06	8	0:02:56	1:09:04	2	1:33:06	2	0:42:40	3	2		40代男子	
3	431	松平 泰	43	男	2:18:06	0:21:58	15	0:02:34	1:11:00	5	1:35:32	5	0:42:34	2	3		40代男子	
4	408	開 健太	41	男	2:18:50	0:20:32	4	0:02:52	1:10:46	4	1:34:10	4	0:44:40	7	4		40代男子	1
5	338	大本 和樹	37	男	2:19:51	0:22:00	16	0:02:50	1:09:04	3	1:33:54	3	0:45:57	9	5		30代男子	1
6	114	細川 江梨子	39	女	2:22:16	0:23:05	21	0:02:23	1:12:58	7	1:38:26	8	0:43:50	6		1	30代女子	
7	309	丸尾 公貞	33	男	2:22:39	0:20:13	2	0:02:47	1:13:36	9	1:36:36	6	0:46:03	10	6		30代男子	2
8	307	田中 大祐	32	男	2:24:32	0:24:04	28	0:02:43	1:15:28	16	1:42:15	15	0:42:17	1	7		30代男子	3
9	336	亀岡 貴史	37	男	2:25:12	0:20:52	7	0:02:46	1:13:42	10	1:37:20	7	0:47:52	19	8		30代男子	4
10	519	久保 孝二	51	男	2:26:03	0:20:10	1	0:02:53	1:16:12	18	1:39:15	9	0:46:48	14	9		50代男子	1
11	534	鈴木 正美	55	男	2:28:46	0:25:20	38	0:03:18	1:13:07	8	1:41:45	13	0:47:01	15	10		50代男子	2
12	201	吉田 晟人	21	男	2:29:18	0:21:21	11	0:02:49	1:18:24	28	1:42:34	17	0:46:44	13	11		29歳以下男子	1
13	41	芥川 悟	49	男	2:29:47	0:22:09	18	0:03:13	1:16:25	19	1:41:47	14	0:48:00	20	12		40代男子	2
14	447	吉原 隆盛	45	男	2:30:08	0:23:44	27	0:03:31	1:15:46	17	1:43:01	18	0:47:07	16	13		40代男子	3
15	516	山内 裕正	51	男	2:30:54	0:23:09	22	0:03:27	1:17:50	24	1:44:26	24	0:46:28	12	14		50代男子	3
16	510	中川 一貴	51	男	2:31:09	0:25:25	39	0:03:08	1:13:51	12	1:42:24	16	0:48:45	23	15		50代男子	4
17	498	三木 琢矢	48	男	2:31:22	0:26:48	59	0:03:11	1:13:43	11	1:43:42	22	0:47:40	18	16		40代男子	4
18	325	古茂田 修一	35	男	2:33:47	0:20:27	3	0:03:07	1:17:14	20	1:40:48	10	0:52:59	48	17		30代男子	5
19	475	大島 康徳	47	男	2:34:03	0:23:26	25	0:03:18	1:14:53	13	1:41:37	11	0:52:26	42	18		40代男子	5
20	353	川中 昭仁	39	男	2:34:38	0:24:19	34	0:04:05	1:15:09	14	1:43:33	21	0:51:05	36	19		30代男子	6
21	318	渡部 勇斗	33	男	2:36:27	0:28:46	100	0:03:48	1:11:44	6	1:44:18	23	0:52:09	38	20		30代男子	7
22	417	市川 雄将	42	男	2:37:36	0:24:15	33	0:03:36	1:18:40	29	1:46:31	25	0:51:05	35	21		40代男子	6
23	346	兵頭 勉	38	男	2:37:55	0:23:20	24	0:03:14	1:15:10	15	1:41:44	12	0:56:11	71	22		30代男子	8
24	203	林 惇	24	男	2:38:06	0:24:04	29	0:02:58	1:23:35	46	1:50:37	33	0:47:29	17	23		29歳以下男子	2
25	532	森 裕二	54	男	2:38:10	0:22:31	20	0:03:13	1:17:36	22	1:43:20	20	0:54:50	61	24		50代男子	5
26	459	村上 広樹	46	男	2:38:44	0:24:09	31	0:03:14	1:25:10	56	1:52:33	36	0:46:11	11	25		40代男子	7
27	306	武智 克弥	32	男	2:39:08	0:22:28	19	0:03:17	1:17:28	21	1:43:13	19	0:55:55	70	26		30代男子	9
28	529	松本 悟	54	男	2:39:14	0:27:20	68	0:03:46	1:18:57	30	1:50:03	32	0:49:11	24	27		50代男子	6
29	540	加地 豊満	56	男	2:39:39	0:25:39	42	0:03:30	1:17:43	23	1:46:52	27	0:52:47	46	28		50代男子	7
30	421	後藤 真紀	42	男	2:41:11	0:26:38	57	0:04:06	1:27:24	75	1:58:08	59	0:43:03	4	29		40代男子	8
31	216	福原 雅史	29	男	2:41:31	0:26:55	62	0:03:01	1:18:09	25	1:48:05	30	0:53:26	50	30		29歳以下男子	3
32	351	山下 恵吾	39	男	2:41:56	0:27:45	74	0:03:23	1:20:03	32	1:51:11	34	0:50:45	34	31		30代男子	10
33	330	大森 健一	36	男	2:42:20	0:28:22	89	0:02:38	1:22:00	42	1:53:00	37	0:49:20	26	32		30代男子	11
34	485	牧野 星	47	男	2:43:32	0:24:06	30	0:03:24	1:19:14	31	1:46:44	26	0:56:48	78	33		40代男子	9
35	506	藤田 勝	50	男	2:45:16	0:26:50	60	0:03:44	1:25:28	60	1:56:02	50	0:49:14	25	34		50代男子	8
36	423	篠崎 成	42	男	2:45:19	0:21:25	12	0:03:40	1:22:35	44	1:47:40	28	0:57:39	87	35		40代男子	10
37	471	長者 耕二	47	男	2:45:41	0:26:29	53	0:02:49	1:20:08	33	1:49:26	31	0:56:15	73	36		40代男子	11
38	536	岩野 哲也	55	男	2:45:44	0:29:07	107	0:03:02	1:21:21	38	1:53:30	39	0:52:14	40	37		50代男子	9
