総合順位	No.	氏名	年齢	性別	登録地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	Ｔ１	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齡別順	選手権順
1	47	石川 剛士	33	男	愛知県	1:05:41	0:12:00	14	0:03:19	0:30:27	1	0:45:46	1	0:19:55	5	1		20歳以上男子	1	
2	19	西川 悠介	17	男	愛知県	1:06:52	0:10:34	3	0:03:20	0:32:10	3	0:46:04	3	0:20:48	9	2		20歳未満男子	1	1
3	15	若竹 慶育	16	男	鳥取県	1:07:06	0:10:36	4	0:02:59	0:34:34	15	0:48:09	6	0:18:57	1	3		20歳未満男子	2	
4	22	本木 蔵人	18	男	東京都	1:07:16	0:11:09	9	0:03:01	0:31:53	2	0:46:03	2	0:21:13	12	4		20歳未満男子	3	
5	16	佐藤 遥	16	男	神奈川県	1:08:56	0:11:00	6	0:03:57	0:34:26	13	0:49:23	8	0:19:33	3	5		20歳未満男子	4	
6	79	竹内 鉄平	47	男	愛知県	1:09:12	0:10:24	2	0:03:46	0:32:49	4	0:46:59	4	0:22:13	17	6		20歳以上男子	2	
7	48	有冨 弘朗	34	男	神奈川県	1:09:25	0:11:55	13	0:03:30	0:34:43	16	0:50:08	12	0:19:17	2	7		20歳以上男子	3	
8	20	松井 麟太郎	17	男	京都府	1:09:33	0:10:21	1	0:03:11	0:34:20	11	0:47:52	5	0:21:41	14	8		20歳未満男子	5	
9	23	山田 壮流	19	男	学連	1:09:54	0:11:54	12	0:03:46	0:33:41	6	0:49:21	7	0:20:33	7	9		20歳未満男子	6	
10	30	上村 洸太	21	男	学連	1:09:55	0:12:20	17	0:04:00	0:33:43	7	0:50:03	9	0:19:52	4	10		20歳以上男子	4	
11	17	長島 正真	17	男	愛知県	1:10:49	0:11:09	8	0:03:34	0:35:28	21	0:50:11	13	0:20:38	8	11		20歳未満男子	7	2
12	14	濱田 翔太	16	男	東京都	1:12:05	0:12:51	19	0:03:27	0:33:48	8	0:50:06	10	0:21:59	16	12		20歳未満男子	8	
13	69	辻 巨樹	43	男	大阪府	1:12:06	0:12:51	18	0:04:04	0:34:04	9	0:50:59	15	0:21:07	11	13		20歳以上男子	5	
14	31	柴田 祐希	21	男	学連	1:13:05	0:13:41	26	0:04:21	0:34:05	10	0:52:07	17	0:20:58	10	14		20歳以上男子	6	
15	13	竹村 泰晃	16	男	静岡県	1:16:01	0:13:52	29	0:03:45	0:37:10	30	0:54:47	26	0:21:14	13	15		20歳未満男子	9	
16	5	渡辺 和	16	女	神奈川県	1:16:16	0:11:52	10	0:04:08	0:37:58	37	0:53:58	23	0:22:18	18		1	20歳未満女子	1	
17	113	平田 泰久	61	男	三重県	1:17:07	0:13:51	28	0:04:48	0:34:56	17	0:53:35	21	0:23:32	24	16		20歳以上男子	7	
18	11	我彦 孝征	15	男	愛知県	1:17:13	0:15:33	39	0:04:39	0:36:37	28	0:56:49	31	0:20:24	6	17		20歳未満男子	10	3
19	45	玉置 眞人	32	男	岐阜県	1:17:26	0:14:42	34	0:04:42	0:36:11	26	0:55:35	27	0:21:51	15	18		20歳以上男子	8	
20	34	石井 航平	26	男	三重県	1:17:38	0:12:58	22	0:04:18	0:33:19	5	0:50:35	14	0:27:03	45	19		20歳以上男子	9	
21	90	白井 稔	52	男	大阪府	1:17:43	0:13:45	27	0:04:46	0:35:00	18	0:53:31	20	0:24:12	27	20		20歳以上男子	10	
22	119	舩坂 勝美	69	男	岐阜県	1:17:47	0:13:37	25	0:04:42	0:35:53	22	0:54:12	24	0:23:35	25	21		20歳以上男子	11	
23	3	坂口 愛紗	15	女	京都府	1:18:39	0:12:55	21	0:03:46	0:39:01	45	0:55:42	28	0:22:57	20		2	20歳未満女子	2	
24	68	渡邉 賢二	42	男	大阪府	1:19:09	0:13:10	23	0:05:31	0:35:00	19	0:53:41	22	0:25:28	33	22		20歳以上男子	12	
25	32	木下 翔生	21	男	学連	1:19:33	0:14:47	35	0:04:57	0:36:22	27	0:56:06	29	0:23:27	22	23		20歳以上男子	13	
26	28	山崎 晃平	21	男	学連	1:19:33	0:12:16	16	0:04:10	0:35:09	20	0:51:35	16	0:27:58	48	24		20歳以上男子	14	
27	29	上手 将太	21	男	学連	1:19:34	0:12:04	15	0:04:59	0:35:54	23	0:52:57	18	0:26:37	40	25		20歳以上男子	15	
28	24	新川 友也	20	男	学連	1:19:34	0:11:01	7	0:04:42	0:34:25	12	0:50:08	11	0:29:26	63	26		20歳以上男子	16	
29	97	友井 則美	53	男	広島県	1:19:45	0:13:20	24	0:04:39	0:36:40	29	0:54:39	25	0:25:06	29	27		20歳以上男子	17	
30	6	谷村 帆夏	18	女	大阪府	1:20:26	0:11:53	11	0:03:51	0:37:45	34	0:53:29	19	0:26:57	42		3	20歳未満女子	3	
31	12	脇坂 駿輔	15	男	愛知県	1:20:54	0:10:39	5	0:03:23	0:43:32	77	0:57:34	34	0:23:20	21	28		20歳未満男子	11	4
32	111	山田 浩司	60	男	東京都	1:21:10	0:15:26	38	0:05:21	0:38:02	38	0:58:49	36	0:22:21	19	29		20歳以上男子	18	
33	26	永冶 彰梧	20	男	学連	1:21:39	0:14:36	33	0:05:25	0:36:06	25	0:56:07	30	0:25:32	34	30		20歳以上男子	19	
34	25	松原 周平	20	男	愛知県	1:22:38	0:14:25	31	0:04:59	0:39:36	50	0:59:00	38	0:23:38	26	31		20歳以上男子	20	
35	72	櫻井 真吾	44	男	愛知県	1:23:09	0:17:43	58	0:05:49	0:34:26	14	0:57:58	35	0:25:11	31	32		20歳以上男子	21	
36	1	冨松 日向子	15	女	愛知県	1:23:25	0:12:53	20	0:05:15	0:39:01	43	0:57:09	33	0:26:16	39		4	20歳未満女子	4	1
37	78	石井 大介	47	男	神奈川県	1:23:42	0:14:11	30	0:05:09	0:37:36	31	0:56:56	32	0:26:46	41	33		20歳以上男子	22	
38	21	野々山 嵩大	18	男	愛知県	1:23:57	0:14:34	32	0:05:16	0:39:01	44	0:58:51	37	0:25:06	30	34		20歳未満男子	12	5
