Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
71	Gustav Hallgren	M	M25-29	7	9:18:36	1:00:45	4:55:12	3:16:57
72	Stefan Bolling	M	M50-54	5	9:19:07	0:56:36	4:52:30	3:21:48
73	Tobias Morban	M	M30-34	18	9:19:10	1:04:12	4:50:22	3:18:18
74	Fredrik Zetterberg	M	M35-39	16	9:19:37	1:00:37	4:39:27	3:33:33
75	Marie Ingerhed	F	FPRO	10	9:21:25	1:07:14	4:43:58	3:25:05
76	Simon Meekers	M	M25-29	8	9:21:34	1:08:28	4:41:10	3:26:49
77	Kevin Frieden	M	M25-29	9	9:21:48	1:05:21	4:45:47	3:23:49
78	Christian Walther	M	M30-34	19	9:21:50	1:16:43	4:40:35	3:16:15
79	William Jansson	M	M25-29	10	9:22:01	1:14:33	4:40:49	3:19:55
80	Alvin Gustavsson	M	M25-29	11	9:22:57	1:06:44	4:45:49	3:23:33
81	Andreas Scherer	M	M45-49	5	9:23:06	0:58:32	4:36:58	3:42:18
82	Lars Sander Viken	M	M18-24	5	9:23:19	1:21:18	4:37:25	3:16:22
83	Matthias Zellinger	M	M30-34	20	9:23:30	1:01:41	4:45:31	3:28:57
84	Lefteris Dimos	M	M30-34	21	9:23:37	0:56:49	4:52:25	3:27:27
85	Nicole Pelin	F	FPRO	11	9:24:18	1:01:31	5:05:09	3:13:11
86	Max Lind	M	M18-24	6	9:24:44	0:52:14	4:59:47	3:25:15
87	Camilla Elofsson	F	FPRO	12	9:25:12	1:11:00	4:56:31	3:11:10
88	Johan Ahlberg	M	M30-34	22	9:25:37	1:07:13	4:53:33	3:16:58
89	Ville Keränen	M	M40-44	11	9:25:42	1:12:16	4:58:37	3:05:11
90	Miguel Barrero Duran	M	M50-54	6	9:26:14	1:08:42	4:48:27	3:21:48
91	Francesco Romani	M	M18-24	7	9:26:20	1:00:39	4:57:09	3:21:21
92	Andreas Westling	M	M40-44	12	9:26:46	1:00:54	4:35:12	3:44:00
93	Casper Oberg	M	M18-24	8	9:27:24	1:19:08	4:33:15	3:28:00
94	Byron Jackson-Miller	M	M30-34	23	9:27:54	0:59:19	4:51:00	3:29:32
95	Martin Widlund	M	M50-54	7	9:28:04	0:58:16	5:01:53	3:21:44
96	Matthias Eriksson	M	M25-29	12	9:29:43	1:05:58	4:44:55	3:31:07
97	Robert Schelin	M	M45-49	6	9:30:16	0:55:27	4:55:19	3:33:40
98	Megan Tuncer	F	FPRO	13	9:30:17	0:57:11	5:03:26	3:24:19
99	Viktor Jarälv	M	M30-34	24	9:30:23	1:02:10	4:44:35	3:35:52
100	Pontus Palmborg	M	M30-34	25	9:31:00	0:55:02	5:21:05	3:05:32
101	Fynn Hannekum	M	M18-24	9	9:31:01	1:05:38	4:42:25	3:35:14
102	Joel Wirehag	M	M40-44	13	9:31:05	1:02:28	4:58:56	3:22:56
103	Viktor Glemne	M	M25-29	13	9:31:56	1:05:00	4:47:24	3:32:25
104	Timo Ronkainen	M	M50-54	8	9:32:15	1:11:34	4:45:24	3:23:42
105	Wouter Detemmerman	M	M40-44	14	9:33:03	1:07:35	4:53:05	3:26:04
106	Tony Andersson	M	M50-54	9	9:33:40	0:55:21	5:02:21	3:30:51
107	Tim Mannaerts	M	M35-39	17	9:33:43	1:06:32	4:56:24	3:24:32
108	Max Froesch	M	M35-39	18	9:33:53	1:01:10	4:34:16	3:51:21
109	Jonas Wechsel	M	M18-24	10	9:34:00	1:04:13	5:03:45	3:17:32
110	Christian Schlierf	M	M40-44	15	9:34:28	0:55:55	4:50:37	3:40:23
111	Alexander Pouzar	M	M35-39	19	9:34:34	1:14:35	4:47:07	3:25:42
112	Erik Lundin	M	M25-29	14	9:34:46	1:08:18	4:41:28	3:35:22
113	Davy Metten	M	M40-44	16	9:35:00	1:13:01	4:47:15	3:23:46
114	Timo Brückhof	M	M40-44	17	9:35:19	1:11:25	4:37:23	3:40:31
115	Christian Tai	M	M18-24	11	9:35:32	0:53:31	5:09:59	3:25:12
116	Caitlin Alexander	F	FPRO	14	9:35:42	1:01:09	5:02:09	3:25:21
117	Rafael Eriksson Ghazinour	M	M18-24	12	9:36:00	1:11:57	4:58:04	3:17:45
118	Vladimir Varfolomeev	M	M40-44	18	9:36:19	1:14:12	4:59:11	3:16:32
119	Per-Åke Sigbrandt	M	M50-54	10	9:36:54	1:10:44	4:52:21	3:21:48
120	Dominik Kiefer	M	M30-34	26	9:37:22	0:59:14	4:57:02	3:34:20
121	Vojtech Joza	M	M40-44	19	9:37:41	1:05:21	4:47:39	3:38:32
122	Kaito Niwa	M	M25-29	15	9:37:47	1:13:22	5:06:28	3:12:35
123	Igors Gucanovics	M	M50-54	11	9:38:03	0:56:42	4:53:14	3:39:41
124	Simas Rindeikis	M	M45-49	7	9:38:36	1:04:10	4:53:30	3:30:48
125	Sam Dixon	M	M30-34	27	9:39:06	1:01:42	5:12:46	3:15:22
126	Kalle Sigfridsson	M	M30-34	28	9:39:39	1:06:11	4:55:31	3:30:22
127	Liam Myrinder	M	M18-24	13	9:40:09	1:01:14	4:54:09	3:38:58
128	Oscar Lövgren	M	M25-29	16	9:40:18	1:05:28	4:49:35	3:39:42
