総合順位	No.	氏名	年齢	性別	総合記録
1	107	渡邉 浩司	39	男	2:02:01
2	101	三宅 真一	39	男	2:02:45
3	108	久保 亘	29	男	2:03:45
4	104	中井 啓太	32	男	2:04:49
5	105	津々見 真二	43	男	2:06:08
6	102	星川 征大	30	男	2:06:17
7	106	中橋 秀明	27	男	2:07:31
8	116	川久保 直希	25	男	2:09:03
9	174	坂本 義博	42	男	2:09:09
10	146	村上 幸宏	37	男	2:09:15
11	191	飯田 博之	46	男	2:11:19
12	148	加納 和典	38	男	2:11:38
13	178	高田 一治	43	男	2:11:50
14	117	向谷 直也	26	男	2:12:52
15	133	池田 憲史	32	男	2:12:55
16	175	三好 英昭	42	男	2:12:58
17	156	石丸 久志	39	男	2:13:35
18	168	青木 誠治	41	男	2:14:07
19	194	浅本 勝一	47	男	2:14:18
20	123	梶田 洋平	29	男	2:14:26
21	166	浅川 秀之	41	男	2:14:28
22	333	亀川 健司	39	男	2:14:32
23	199	富崎 義明	48	男	2:14:43
24	159	松平 泰	39	男	2:15:04
25	210	谷本 聖二	50	男	2:15:04
26	207	幸野 利彦	50	男	2:15:20
27	149	舛形 勲	38	男	2:15:43
28	801	松本 華奈	41	女	2:15:45
29	186	今村 悟朗	45	男	2:15:50
30	150	竹内 啓人	38	男	2:15:58
31	138	田結庄 将岳	34	男	2:16:04
32	120	早馬 和希	27	男	2:16:11
33	141	中村谷 威之	35	男	2:16:28
34	195	龍頭 正浩	47	男	2:16:37
35	219	柘植 孝之	54	男	2:16:42
36	706	中原 久登	30	男	2:16:46
37	124	原田 芳宏	29	男	2:16:49
38	126	宮本 啓太郎	29	男	2:17:07
39	142	多田 康人	36	男	2:17:29
40	163	神月 祥臣	40	男	2:17:34
41	213	仙台 史明	51	男	2:17:44
42	157	多田 将英	39	男	2:17:56
43	221	堀川 光裕	56	男	2:18:06
44	135	後藤 裕治	33	男	2:18:08
45	151	篠崎 成	38	男	2:18:14
46	132	宮下 和洋	32	男	2:18:35
47	209	藤原 康司	50	男	2:19:05
48	197	北村 勝美	47	男	2:19:16
49	161	梅津 剛裕	39	男	2:19:29
50	201	石井 辰哉	48	男	2:19:49
51	814	清水 知恵子	33	女	2:20:02
52	170	辻川 元庸	41	男	2:20:37
53	604	小田 昌彦	52	男	2:20:37
54	196	西山 宏	47	男	2:21:11
55	203	高橋 仁	49	男	2:21:20
56	136	大西 智広	33	男	2:21:36
57	134	堀江 謙一	32	男	2:21:36
58	129	邉見 宗一郎	31	男	2:22:04
59	208	朝倉 壽信	50	男	2:22:17
60	722	渡邉 大介	40	男	2:22:20
61	118	竹治 輝記	26	男	2:22:25
62	803	岡本 直子	27	女	2:22:31
63	218	津田 眞人	53	男	2:22:34
64	114	中村 有一郎	23	男	2:22:40
65	224	内田 哲	57	男	2:23:11
66	804	北吉 舞	40	女	2:23:14
67	805	植村 多美	42	女	2:23:25
68	187	竹内 元	45	男	2:23:28
69	902	PARK BYUNGHOON	43	男	2:23:31
70	204	鳥井 栄造	49	男	2:23:46
71	217	大西 好久	52	男	2:24:12
72	381	西川 秀男	47	男	2:24:15
73	585	唐木 将行	49	男	2:24:25
74	182	小原 壮一	44	男	2:24:37
75	849	殿山 恭代	52	女	2:24:42
76	177	古川 正弥	42	男	2:24:49
77	901	CHOI YOUNGJUN	34	男	2:25:02
78	164	福田 啓太郎	40	男	2:25:21
79	390	山本 浩久	49	男	2:25:34
80	137	吉川 英一	34	男	2:25:36
81	903	JEONG KIHO	36	男	2:26:14
82	577	藤井 靖幸	47	男	2:26:17
83	606	秋山 研龍	53	男	2:26:27
84	411	加地 豊満	52	男	2:26:30
85	303	大林 剛	24	男	2:26:37
86	222	綿野 潔治	56	男	2:26:45
87	189	芥川 悟	45	男	2:26:46
88	339	岩越 祥晃	40	男	2:26:49
89	351	石崎 貴弘	42	男	2:26:51
90	802	大谷 明日香	22	女	2:27:23
91	348	篠原 卓時	42	男	2:27:35
92	822	有澤 あゆみ	38	女	2:27:50
93	158	植松 亮平	39	男	2:28:05
94	181	檜垣 克之	43	男	2:28:12
95	406	宮地 一郎	51	男	2:28:17
96	119	鈴木 基大	27	男	2:28:18
97	188	中西 将之	45	男	2:28:19
98	215	住田 深志	51	男	2:28:23
99	418	河野 正秀	55	男	2:28:27
100	165	三木 勝之	40	男	2:28:41
101	3	瀬戸崎 毅	53	男	2:28:45
102	147	井手 拓郎	37	男	2:28:48
103	725	林 隆之	41	男	2:29:04
104	401	桃井 寛仁	50	男	2:29:05
105	359	笠井 慎二	44	男	2:29:25
106	183	高橋 修一	44	男	2:29:43
107	319	石井 明彦	35	男	2:29:48
108	362	八木 悟	45	男	2:29:53
109	830	中村 眞理	42	女	2:29:55
110	375	市川 謙二	46	男	2:30:04
111	223	宮武 春吉	56	男	2:30:06
112	345	平野 正臣	41	男	2:30:10
113	212	西澤 正志	51	男	2:30:16
114	824	畔上 多恵子	39	女	2:30:21
115	325	柚山 光大	36	男	2:30:26
116	202	田村 桂一	48	男	2:30:37
117	225	福井 啓二	57	男	2:30:38
118	184	竹中 義貴	44	男	2:30:38
119	216	濱田 智一	51	男	2:30:42
120	711	濱田 直樹	32	男	2:30:47
121	173	大西 祥一	41	男	2:30:53
122	407	生島 義弘	51	男	2:30:58
123	556	渡邊 悟	43	男	2:31:00
124	395	東江 栄	49	男	2:31:14
125	128	小野 尚徳	30	男	2:31:17
126	732	川崎 潔	61	男	2:31:24
127	154	中西 智之	38	男	2:31:24
128	344	宮下 哲也	41	男	2:31:29
129	226	大西 哲夫	58	男	2:31:35
130	211	谷口 博哉	50	男	2:31:36
131	900	Yamaguchi Ferdinand	52	男	2:31:47
132	708	宮島 孝広	31	男	2:31:51
133	160	角野 智昭	39	男	2:32:12
134	337	宮原 洋	40	男	2:32:32
135	605	大西 健夫	53	男	2:32:35
136	153	笹野 正広	38	男	2:32:42
137	807	真鍋 明佳	26	女	2:32:46
138	504	西山 雄士	27	男	2:32:52
139	143	倉山 智春	36	男	2:32:52
140	334	大野 員正	39	男	2:32:53
141	200	下谷 譲	48	男	2:33:02
142	520	二川 浩司	36	男	2:33:19
143	744	三木 慶一	65	男	2:33:23
144	354	野島 善満	43	男	2:33:26
145	317	新名 和也	34	男	2:33:54
146	185	永井 新二	44	男	2:33:55
147	385	中野 徹磨	47	男	2:34:10
148	6	入江 建州	28	男	2:34:18
149	361	荒木 寿則	45	男	2:34:21
150	110	鷲辺 明日佳	21	男	2:34:28
151	701	佐達 壮一郎	19	男	2:34:46
152	905	SLOAN CHEN	38	男	2:34:47
153	371	森 勝彦	46	男	2:34:50
154	400	坂井 靖	50	男	2:34:51
155	402	小国 達矢	50	男	2:34:57
156	113	吉田 哲郎	23	男	2:35:07
157	424	田中 栄二	58	男	2:35:10
158	357	香川 誠	44	男	2:35:15
159	704	茶谷 優太	28	男	2:35:21
160	421	荒井 真介	56	男	2:35:30
161	611	花崎 博文	55	男	2:35:32
162	192	松本 直樹	46	男	2:35:35
163	193	清水 優司	46	男	2:35:45
164	179	荻田 健介	43	男	2:35:51
165	180	永田 貴士	43	男	2:35:57
166	329	地良田 大介	37	男	2:36:12
167	140	鳥居 敬之	35	男	2:36:14
168	162	林 岳	39	男	2:36:20
169	545	堀池 一雄	41	男	2:36:35
170	205	土居 和人	49	男	2:36:46
171	369	大家 直樹	45	男	2:37:01
172	751	竹崎 弘	67	男	2:37:18
173	719	梶 秀門	39	男	2:37:24
174	338	荒 誠	40	男	2:37:28
175	532	Fawcett Nicholas	39	男	2:37:38
176	335	間城 裕仁	40	男	2:37:41
177	519	大石 一行	35	男	2:37:43
178	398	沖津 貴司	50	男	2:37:45
179	850	政田 由紀	53	女	2:37:45
180	312	信濃 俊介	34	男	2:38:02
181	624	長尾 公照	59	男	2:38:08
182	740	賀川 泰広	64	男	2:38:13
183	127	銅山 尊之	29	男	2:38:20
184	321	岩崎 琢磨	35	男	2:38:28
185	220	高田 明彦	54	男	2:38:37
186	384	竹村 雄一朗	47	男	2:38:42
187	306	重森 堅士	32	男	2:38:57
188	314	河原 勇一	34	男	2:39:02
189	313	福本 貴彦	34	男	2:39:08
190	326	坪井 建治	36	男	2:39:11
191	353	松田 幸一郎	43	男	2:39:17
192	702	鹿山 大夢	21	男	2:39:25
193	358	浅村 信次	44	男	2:39:30
194	152	若杉 佳宏	38	男	2:39:33
195	505	大長 敬典	30	男	2:39:35
196	382	坂本 博法	47	男	2:39:35
197	379	南原 謙二	47	男	2:39:36
198	115	白尾 高	23	男	2:39:36
199	589	山岡 秀樹	50	男	2:39:38
200	422	新宮 龍二	56	男	2:39:53
201	503	平元 勝也	26	男	2:39:54
202	112	若杉 竜樹	22	男	2:39:54
203	833	中田 満子	45	女	2:39:56
204	541	馬場 達二	40	男	2:39:58
205	720	秋島 弘	39	男	2:40:02
206	808	小暮 千晴	26	女	2:40:07
207	399	北田 光穂	50	男	2:40:16
208	366	大岡 恒美	45	男	2:40:27
209	380	一木 良茂	47	男	2:40:36
210	741	小嶋 健司	64	男	2:40:45
211	571	西川 石雄	46	男	2:40:46
212	742	北山 敏和	64	男	2:40:47
213	596	正岡 勝利	51	男	2:40:57
214	753	松島 進	68	男	2:41:00
215	819	小野 英子	37	女	2:41:04
216	745	内海 義則	65	男	2:41:06
217	507	三好 宏和	31	男	2:41:08
218	171	坪内 伸治	41	男	2:41:10
219	536	清水 雅人	40	男	2:41:14
220	815	鳥居 希	34	女	2:41:21
221	575	西田 泰司	47	男	2:41:27
222	426	里見 貞二	60	男	2:41:42
223	387	辻 重真	48	男	2:41:48
224	412	西 純矢	52	男	2:41:51
225	523	松室 洋平	37	男	2:42:13
226	309	竹内 雄志	33	男	2:42:23
227	567	宮田 幸二	45	男	2:42:27
228	420	兼子 篤三郎	56	男	2:42:35
229	308	清水 友幸	33	男	2:42:36
230	419	草野 崇一	55	男	2:42:37
231	367	下林 正大	45	男	2:42:38
232	2	向井 幸司	64	男	2:42:51
233	840	桶谷 有香	47	女	2:42:51
234	728	小松原 正洋	43	男	2:42:55
235	330	菅 立人	38	男	2:43:16
236	533	蓮井 良太	39	男	2:43:18
237	512	鈴江 真史	33	男	2:43:25
238	397	宇賀 孝司	50	男	2:43:26
239	347	入江 誠	41	男	2:43:28
240	130	東 達也	31	男	2:43:34
