総合順位	No.	氏名	年齢	性別	都道府県	総合記録	ｽｲﾑﾗｯﾌﾟ	S順	T1	ﾊﾞｲｸﾗｯﾌﾟ	B順	T2	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	R順	男子順位	女子順位
1	820	野本 将平	27	男	東京都	1:05:22	0:09:23	3	0:01:17	0:32:57	5	0:01:08	0:43:37	2	0:20:37	8	1	
2	818	亀山 一輝	26	男	茨城県	1:05:38	0:08:54	1	0:01:18	0:34:11	7	0:01:17	0:44:24	3	0:19:57	4	2	
3	846	竹本 禄是	53	男	千葉県	1:06:08	0:12:37	14	0:01:55	0:30:17	1	0:01:13	0:44:49	5	0:20:06	5	3	
4	851	出口 雄二	56	男	福島県	1:06:20	0:10:48	6	0:01:58	0:31:58	4	0:01:13	0:44:44	4	0:20:23	7	4	
5	829	會澤 伶王	39	男	茨城県	1:07:29	0:12:46	17	0:02:21	0:31:55	3	0:01:39	0:47:02	7	0:18:48	1	5	
6	817	林 琉聖	22	男	福島県	1:09:27	0:09:12	2	0:01:33	0:30:50	2	0:01:15	0:41:36	1	0:26:36	24	6	
7	862	境 広志	61	男	東京都	1:09:55	0:10:49	7	0:01:48	0:34:18	8	0:01:22	0:46:56	6	0:21:38	11	7	
8	824	石田 涼太郎	30	男	東京都	1:10:29	0:11:21	9	0:02:22	0:35:14	11	0:01:39	0:48:57	10	0:19:53	3	8	
9	821	岡本 花梨	28	女	栃木県	1:10:56	0:10:21	4	0:01:35	0:36:58	17	0:01:08	0:48:53	9	0:20:55	9		1
10	828	山田 敏明	39	男	宮城県	1:11:08	0:11:32	10	0:01:55	0:34:50	10	0:01:42	0:48:17	8	0:21:08	10	9	
11	830	足立 誠	40	男	神奈川県	1:11:54	0:12:54	22	0:01:50	0:36:08	13	0:01:26	0:50:52	15	0:19:36	2	10	
12	842	桑野 真一	51	男	神奈川県	1:12:19	0:12:48	18	0:01:48	0:36:29	14		0:51:04	16			11	
13	836	亀山 智美	46	女	埼玉県	1:14:18	0:10:28	5	0:02:22	0:36:52	16	0:01:53	0:49:43	12	0:22:43	13		2
14	838	亀山 崇	48	男	埼玉県	1:14:26	0:11:01	8	0:02:09	0:36:34	15	0:01:53	0:49:43	13	0:22:50	14	12	
15	865	駒井 浩	64	男	埼玉県	1:14:43	0:12:48	19	0:01:54	0:34:43	9	0:01:46	0:49:25	11	0:23:32	16	13	
16	852	柏原 繁	56	男	岡山県	1:15:38	0:14:18	29	0:02:28	0:36:08	12		0:52:54	17			14	
17	825	田中 裕輝	32	男	東京都	1:15:41	0:12:24	13	0:02:50	0:38:01	21	0:02:03	0:53:15	19	0:20:23	6	15	
18	864	高橋 修	63	男	宮城県	1:16:41	0:14:28	31	0:01:59	0:34:00	6	0:01:59	0:50:27	14	0:24:16	17	16	
19	873	打越 三紀恵	50	女	東京都	1:18:08	0:13:05	23	0:02:04	0:37:59	20	0:02:01	0:53:08	18	0:22:59	15		3
20	860	馬場 正男	59	男	青森県	1:19:13	0:12:41	15	0:03:41	0:38:38	24	0:01:41	0:55:00	21	0:22:33	12	17	
21	863	中野 博之	62	男	宮城県	1:24:39	0:14:10	28	0:03:44	0:37:22	18	0:03:21	0:55:15	22	0:26:03	22	18	
22	847	鈴木 かおる	55	女	東京都	1:24:58	0:12:43	16	0:02:50	0:40:10	29	0:02:40	0:55:42	24	0:26:36	23		4
23	867	飯塚 仁	66	男	福島県	1:25:20	0:13:50	25	0:03:29	0:39:06	26	0:02:15	0:56:25	25	0:26:40	26	19	
24	826	山本 幸大	34	男	愛知県	1:26:07	0:12:15	12	0:03:02	0:44:15	40	0:02:04	0:59:32	31	0:24:31	18	20	
25	871	北島 明生	72	男	神奈川県	1:27:29	0:13:15	24	0:03:09	0:38:34	22	0:01:56	0:54:58	20	0:30:35	34	21	
26	839	内舘 保明	50	男	岩手県	1:27:44	0:14:05	27	0:02:37	0:43:03	38	0:02:36	0:59:46	33	0:25:21	20	22	
27	859	後藤 誠	59	男	宮城県	1:27:55	0:15:08	34	0:03:26	0:38:37	23	0:03:44	0:57:12	26	0:26:59	29	23	
28	822	大山 良皓	29	男	栃木県	1:28:18	0:17:19	39	0:02:26	0:40:34	30	0:02:22	1:00:19	35	0:25:37	21	24	
29	843	小出 麻紀子	51	女	千葉県	1:28:34	0:15:47	35	0:02:29	0:40:37	31	0:02:52	0:58:53	29	0:26:49	27		5
30	856	塚本 勉	58	男	福島県	1:28:47	0:16:22	36	0:04:36	0:37:34	19	0:03:37	0:58:32	28	0:26:38	25	25	
