順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	区分順位
1	1	山本 淳一	44	男	千葉県	2:00:49	0:20:33	1	0:58:41	1	1:19:14	1	0:41:35	9	1		50歳未満	
2	221	筒井 佑	28	男	佐賀県	2:05:08	0:21:00	2	1:02:46	5	1:23:46	2	0:41:22	7	2		30歳未満	
3	210	宮崎 貴士	32	男	佐賀県	2:07:55	0:21:38	3	1:03:12	9	1:24:50	3	0:43:05	13	3		40歳未満	
4	190	福田 将人	33	男	福岡県	2:07:56	0:26:30	17	1:02:24	2	1:28:54	7	0:39:02	2	4		40歳未満	1
5	54	藤原 彰人	19	男	広島県	2:08:18	0:24:28	8	1:04:24	12	1:28:52	6	0:39:26	3	5		20歳未満	1
6	178	目原 宏輝	38	男	福岡県	2:09:26	0:23:38	6	1:03:58	11	1:27:36	5	0:41:50	11	6		40歳未満	2
7	231	江口 揮房	20	男	佐賀県	2:09:38	0:22:34	5	1:02:35	3	1:25:09	4	0:44:29	24	7		30歳未満	1
8	263	石倉 惠介	53	男	熊本県	2:10:55	0:25:47	14	1:03:12	7	1:28:59	8	0:41:56	12	8		60歳未満	1
9	97	惠﨑 拓真	19	男	福岡県	2:13:12	0:25:48	15	1:05:38	17	1:31:26	11	0:41:46	10	9		20歳未満	2
10	79	早川 博史	42	男	福岡県	2:14:02	0:26:38	19	1:03:12	8	1:29:50	9	0:44:12	22	10		50歳未満	1
11	239	岡本 和也	39	男	佐賀県	2:15:06	0:27:46	25	1:02:38	4	1:30:24	10	0:44:42	25	11		40歳未満	3
12	55	平野 雅人	20	男	広島県	2:15:16	0:27:04	21	1:07:10	21	1:34:14	14	0:41:02	5	12		30歳未満	2
13	250	宇佐美 聖也	23	男	佐賀県	2:17:30	0:31:15	64	1:09:39	36	1:40:54	42	0:36:36	1	13		30歳未満	3
14	102	瀧本 康介	40	男	福岡県	2:17:47	0:28:58	37	1:07:25	23	1:36:23	22	0:41:24	8	14		50歳未満	2
15	52	近藤 有貴	20	男	広島県	2:17:59	0:28:28	31	1:05:24	14	1:33:52	12	0:44:07	19	15		30歳未満	4
16	266	的場 仁志	31	男	熊本県	2:18:41	0:32:39	90	1:02:48	6	1:35:27	17	0:43:14	14	16		40歳未満	4
17	152	後藤 逸斗	37	男	福岡県	2:19:10	0:29:39	40	1:04:40	13	1:34:19	15	0:44:51	27	17		40歳未満	5
18	56	山田 敦大	19	男	広島県	2:20:27	0:32:43	93	1:03:37	10	1:36:20	21	0:44:07	20	18		20歳未満	3
19	262	中原 拓哉	29	男	熊本県	2:20:34	0:29:56	44	1:05:30	16	1:35:26	16	0:45:08	29	19		30歳未満	5
20	185	三嶋 稔	51	男	福岡県	2:21:07	0:26:56	20	1:07:01	20	1:33:57	13	0:47:10	43	20		60歳未満	2
21	40	木村 航士	48	男	神奈川県	2:22:33	0:24:37	9	1:17:28	115	1:42:05	54	0:40:28	4	21		50歳未満	3
22	279	東 聖二	37	男	大分県	2:23:35	0:27:54	27	1:11:29	54	1:39:23	34	0:44:12	21	22		40歳未満	6
23	75	安藤 研策	47	男	福岡県	2:23:54	0:32:26	82	1:06:14	18	1:38:40	30	0:45:14	30	23		50歳未満	4
24	207	小松 眞也	26	男	佐賀県	2:24:22	0:24:53	11	1:10:48	47	1:35:41	18	0:48:41	56	24		30歳未満	6
25	60	前田 優二	42	男	山口県	2:25:03	0:30:08	49	1:09:11	33	1:39:19	32	0:45:44	34	25		50歳未満	5
26	120	末永 幸洋	28	男	福岡県	2:25:18	0:32:17	78	1:09:44	37	1:42:01	53	0:43:17	16	26		30歳未満	7
27	98	橋本 隆一	46	男	福岡県	2:25:37	0:35:51	161	1:08:25	29	1:44:16	63	0:41:21	6	27		50歳未満	6
28	181	平山 魁	25	男	福岡県	2:26:06	0:28:29	32	1:08:01	26	1:36:30	23	0:49:36	60	28		30歳未満	8
29	148	福田 剛	44	男	福岡県	2:26:23	0:30:50	57	1:11:10	52	1:42:00	52	0:44:23	23	29		50歳未満	7
30	280	角 勇人	42	男	大分県	2:26:30	0:29:36	39	1:10:43	46	1:40:19	39	0:46:11	37	30		50歳未満	8
31	287	亀井 浩	47	男	大分県	2:26:31	0:30:51	58	1:05:28	15	1:36:19	20	0:50:12	70	31		50歳未満	9
32	142	中隈 圭祐	36	男	福岡県	2:26:54	0:32:56	100	1:09:53	39	1:42:49	58	0:44:05	18	32		40歳未満	7
33	244	山口 博男	32	男	佐賀県	2:26:55	0:29:32	38	1:10:17	41	1:39:49	35	0:47:06	41	33		40歳未満	8
34	294	永野 義人	53	男	鹿児島県	2:27:13	0:31:03	60	1:08:00	24	1:39:03	31	0:48:10	53	34		60歳未満	3
35	57	小林 士朗	21	男	広島県	2:27:25	0:30:03	46	1:08:34	30	1:38:37	29	0:48:48	57	35		30歳未満	9
36	113	八垣 圭一郎	46	男	福岡県	2:29:00	0:31:36	69	1:14:02	76	1:45:38	73	0:43:22	17	36		50歳未満	10
37	274	坂本 憲治	48	男	熊本県	2:29:10	0:35:50	160	1:08:00	25	1:43:50	62	0:45:20	31	37		50歳未満	11
38	233	有森 進	22	男	佐賀県	2:29:35	0:22:28	4	1:13:35	69	1:36:03	19	0:53:32	104	38		30歳未満	10
39	206	小松 健太	29	男	佐賀県	2:29:45	0:24:26	7	1:16:50	102	1:41:16	47	0:48:29	55	39		30歳未満	11
40	31	牧瀬 わか奈	32	女	佐賀県	2:29:51	0:31:14	63	1:10:29	44	1:41:43	49	0:48:08	52		1	40歳未満	
41	89	高橋 大祐	41	男	福岡県	2:30:10	0:28:01	28	1:12:13	60	1:40:14	37	0:49:56	66	40		50歳未満	12
42	184	長谷川 健二	42	男	福岡県	2:30:25	0:27:45	24	1:12:33	64	1:40:18	38	0:50:07	69	41		50歳未満	13
43	222	山口 裕	59	男	佐賀県	2:30:32	0:27:17	22	1:12:53	66	1:40:10	36	0:50:22	72	42		60歳未満	4
44	260	林田 三浩	46	男	長崎県	2:30:37	0:32:28	84	1:12:27	61	1:44:55	68	0:45:42	33	43		50歳未満	14
45	136	佐野 友昭	46	男	福岡県	2:30:53	0:31:09	61	1:14:46	83	1:45:55	76	0:44:58	28	44		50歳未満	15
46	203	高森 強	45	男	福岡県	2:30:57	0:24:39	10	1:15:48	91	1:40:27	40	0:50:30	75	45		50歳未満	16
47	51	竹村 哲平	19	男	広島県	2:31:15	0:33:33	108	1:08:15	27	1:41:48	50	0:49:27	59	46		20歳未満	4
48	22	坂本 芽生	25	女	福岡県	2:31:33	0:26:31	18	1:17:12	111	1:43:43	61	0:47:50	49		2	30歳未満	
49	160	高橋 徹	44	男	福岡県	2:31:45	0:25:06	12	1:14:15	80	1:39:21	33	0:52:24	89	47		50歳未満	17
50	216	佐伯 琢也	36	男	佐賀県	2:31:55	0:34:03	119	1:10:23	42	1:44:26	66	0:47:29	45	48		40歳未満	9
51	272	亀井 英則	43	男	熊本県	2:32:08	0:30:23	53	1:14:14	79	1:44:37	67	0:47:31	46	49		50歳未満	18
52	186	澤田 直孝	38	男	福岡県	2:32:18	0:30:05	47	1:15:08	84	1:45:13	69	0:47:05	40	50		40歳未満	10
53	150	白川 貴一	40	男	福岡県	2:32:20	0:34:36	140	1:10:49	48	1:45:25	71	0:46:55	39	51		50歳未満	19
54	192	菊池 信行	45	男	福岡県	2:32:22	0:31:55	73	1:06:25	19	1:38:20	27	0:54:02	108	52		50歳未満	20
55	242	松瀬 直樹	36	男	佐賀県	2:32:32	0:34:35	139	1:10:49	49	1:45:24	70	0:47:08	42	53		40歳未満	11
56	211	新ヶ江 一守	50	男	佐賀県	2:32:40	0:30:48	55	1:10:23	43	1:41:11	44	0:51:29	80	54		60歳未満	5
57	258	本村 秀章	57	男	長崎県	2:33:30	0:32:38	89	1:13:02	67	1:45:40	75	0:47:50	48	55		60歳未満	6
58	151	村山 直充	35	男	福岡県	2:33:52	0:34:03	120	1:13:55	74	1:47:58	86	0:45:54	36	56		40歳未満	12
59	140	北垣 徹	50	男	福岡県	2:33:55	0:34:28	133	1:12:01	59	1:46:29	80	0:47:26	44	57		60歳未満	7
60	155	北田 光穂	54	男	福岡県	2:34:12	0:31:39	70	1:11:00	51	1:42:39	57	0:51:33	82	58		60歳未満	8
61	248	南 昭憲	49	男	佐賀県	2:34:22	0:26:26	16	1:10:51	50	1:37:17	25	0:57:05	140	59		50歳未満	21
62	273	酒井 敬治	41	男	熊本県	2:34:23	0:28:42	36	1:12:31	62	1:41:13	46	0:53:10	97	60		50歳未満	22
63	28	恵崎 実優	22	女	佐賀県	2:34:35	0:30:10	50	1:10:31	45	1:40:41	41	0:53:54	107		3	30歳未満	
64	268	葉山 正人	41	男	熊本県	2:34:40	0:33:18	107	1:10:02	40	1:43:20	60	0:51:20	78	61		50歳未満	23
65	73	内田 哲	60	男	福岡県	2:34:49	0:35:35	152	1:08:49	31	1:44:24	65	0:50:25	74	62		70歳未満	1
66	166	池田 大輔	43	男	福岡県	2:35:50	0:32:58	102	1:17:00	107	1:49:58	101	0:45:52	35	63		50歳未満	24
67	264	川崎 英督	38	男	熊本県	2:35:50	0:29:42	41	1:11:31	56	1:41:13	45	0:54:37	118	64		40歳未満	13
68	215	成瀬 了	45	男	佐賀県	2:35:55	0:33:00	103	1:09:33	35	1:42:33	56	0:53:22	100	65		50歳未満	25
69	147	小野 忠相	37	男	福岡県	2:36:06	0:31:24	67	1:11:38	57	1:43:02	59	0:53:04	96	66		40歳未満	14
70	81	松岡 典明	54	男	福岡県	2:36:07	0:35:11	145	1:11:13	53	1:46:24	78	0:49:43	61	67		60歳未満	9
71	293	沖野 秀紀	62	男	鹿児島県	2:36:14	0:28:36	34	1:08:54	32	1:37:30	26	0:58:44	153	68		70歳未満	2
72	110	佐藤 一郎	47	男	福岡県	2:36:53	0:37:41	189	1:13:46	70	1:51:27	115	0:45:26	32	69		50歳未満	26
73	195	矢野 寿	43	男	福岡県	2:37:27	0:35:36	154	1:18:35	135	1:54:11	140	0:43:16	15	70		50歳未満	27
74	30	久保 寛美	44	女	佐賀県	2:37:43	0:28:25	30	1:15:56	92	1:44:21	64	0:53:22	101		4	50歳未満	1
75	133	岩下 隼人	33	男	福岡県	2:38:23	0:28:20	29	1:19:47	153	1:48:07	87	0:50:16	71	71		40歳未満	15
76	182	橋本 洋俊	27	男	福岡県	2:38:42	0:31:57	74	1:19:04	141	1:51:01	111	0:47:41	47	72		30歳未満	12
77	202	末松 敏和	46	男	福岡県	2:39:06	0:30:59	59	1:17:43	120	1:48:42	91	0:50:24	73	73		50歳未満	28
78	72	野田 慎一朗	43	男	福岡県	2:39:14	0:30:02	45	1:15:26	88	1:45:28	72	0:53:46	105	74		50歳未満	29
79	286	永瀬 与志弘	59	男	大分県	2:39:23	0:35:10	144	1:11:53	58	1:47:03	84	0:52:20	87	75		60歳未満	10
