総合順位	No.	氏名	年齢	性別	都道府県	総合記録	スイムラップ	S順	バイクラップ	B順	ランラップ	R順	男子順位	女子順位
21	002	井出 晋一	49	男	長野県	9:13:27	0:53:20	88	4:35:46	30	3:44:21	28	21	
3	003	谷 新吾	48	男	愛知県	8:44:37	0:48:41	28	4:25:42	7	3:30:14	6	3	
73	005	堀 陽子	47	女	ＮＺＬ	9:44:44	0:58:06	200	4:56:19	141	3:50:19	49		
1	006	秦 陽一郎	41	男	大分県	8:24:30	0:45:50	5	4:13:27	1	3:25:13	1	1	
6	007	山本 英治	44	男	愛知県	8:53:42	0:50:39	44	4:31:44	16	3:31:19	7	6	
43	008	細川 江梨子	36	女	愛媛県	9:30:26	0:50:47	47	4:49:11	89	3:50:28	50		
65	009	中原 恭恵	28	女	ＣＨＮ	9:41:32	0:52:30	75	4:29:48	12	4:19:14	151		
76	010	二分 陽子	33	女	鳥取県	9:46:59	0:50:03	37	5:02:08	180	3:54:48	70		
4	011	前田 良孝	42	男	広島県	8:46:48	0:48:08	21	4:29:20	11	3:29:20	5	4	
33	012	信谷 康二郎	39	男	大阪府	9:25:17	0:47:04	12	4:44:00	69	3:54:13	65	33	
57	013	石田 一也	38	男	大阪府	9:38:08	0:47:39	17	4:42:43	65	4:07:46	114	56	
2	014	松下 篤史	42	男	大阪府	8:36:00	0:50:43	45	4:19:03	3	3:26:14	2	2	
141	015	大西 直美	45	女	鳥取県	10:17:41	1:00:16	273	5:23:33	355	3:53:52	62		
71	016	佐藤 彰子	46	女	兵庫県	9:43:30	0:48:19	24	4:59:42	161	3:55:29	76		
619	017	和田 芳勝	49	男	沖縄県	12:46:09	1:30:15	884	5:57:11	606	5:08:43	466	569	
420	030	川向 夏実	25	女	北海道	11:46:05	1:00:10	264	5:09:12	231	5:36:43	621		
354	031	小松 加奈	39	女	北海道	11:27:37	1:16:58	776	6:03:53	650	4:06:46	109		
467	032	野村 恭子	43	女	北海道	11:59:16	1:09:42	606	6:00:12	624	4:49:22	327		
767	033	佐藤 祐子	48	女	栃木県	13:50:12	1:31:05	886	6:39:59	833	5:39:08	634		
	034	舘野 直子	52	女	埼玉県		1:17:16	781						
240	035	川本 和美	41	女	千葉県	10:53:19	1:19:45	811	5:34:04	440	3:59:30	86		
593	036	宮川 順子	43	女	千葉県	12:35:05	1:08:36	567	5:52:08	565	5:34:21	601		
280	037	生井 恭子	39	女	東京都	11:06:10	0:54:50	128	5:38:35	472	4:32:45	214		
631	038	金子 麻有美	40	女	東京都	12:49:45	0:57:59	194	6:04:29	656	5:47:17	674		
766	039	藤岡 久子	41	女	東京都	13:49:54	1:14:08	717	7:09:12	867	5:26:34	571		
679	040	広川 美紀	42	女	東京都	13:07:06	1:15:08	728	6:27:46	787	5:24:12	561		
373	041	鈴木 純子	44	女	東京都	11:33:00	1:07:01	489	5:45:57	513	4:40:02	264		
266	042	河野 芙美子	32	女	神奈川県	11:01:44	0:54:34	118	5:24:59	367	4:32:11	209		
615	043	黒田 亜希子	40	女	神奈川県	12:43:10	0:56:31	153	6:27:38	784	5:19:01	531		
546	044	能勢 百合子	41	女	神奈川県	12:18:58	1:04:44	411	5:38:18	467	5:35:56	615		
249	045	武林 千之	42	女	神奈川県	10:56:56	1:03:35	363	5:17:15	306	4:36:06	233		
637	046	坪川 操	53	女	福井県	12:52:38	1:21:58	829	6:25:04	773	5:05:36	445		
446	047	大村 吉美	39	女	静岡県	11:52:34	0:52:03	69	5:56:29	601	5:04:02	433		
618	048	福居 紀実	32	女	愛知県	12:44:48	1:07:03	492	6:22:14	756	5:15:31	509		
387	049	河合 亜加理	34	女	愛知県	11:36:47	1:04:24	392	5:37:49	463	4:54:34	367		
560	050	中野 真澄	35	女	愛知県	12:25:16	1:26:38	871	6:04:46	660	4:53:52	362		
357	051	佐藤 真希子	37	女	愛知県	11:28:51	0:47:47	18	5:39:09	475	5:01:55	417		
97	052	川谷 陽子	45	女	愛知県	9:58:38	1:08:50	577	5:01:56	176	3:47:52	40		
492	053	松本 陽子	46	女	愛知県	12:05:43	0:59:33	230	5:44:36	503	5:21:34	543		
806	054	武藤 直美	62	女	愛知県	14:08:11	1:25:19	861	6:36:29	822	6:06:23	737		
474	055	近藤 なつき	25	女	三重県	12:01:11	0:48:15	23	6:25:40	774	4:47:16	313		
624	056	五十嵐 幸子	44	女	京都府	12:48:32	1:09:42	606	5:27:28	381	6:11:22	758		
792	057	廣田 稔子	48	女	京都府	14:02:24	1:19:35	808	6:53:12	854	5:49:37	691		
581	058	今井 良子	52	女	京都府	12:31:54	0:47:11	13	5:50:36	550	5:54:07	701		
665	059	松永 順子	58	女	京都府	13:03:08	1:23:53	846	6:35:11	818	5:04:04	435		
717	060	赤塚 千恵	27	女	大阪府	13:22:23	1:07:22	509	6:07:19	670	6:07:42	739		
740	061	下崎 茜	29	女	大阪府	13:32:48	1:03:59	375	6:01:49	634	6:27:00	798		
430	062	西村 慈	31	女	大阪府	11:49:05	0:59:30	229	5:41:20	485	5:08:15	463		
209	063	山本 梓	37	女	大阪府	10:42:43	0:51:23	59	5:14:34	281	4:36:46	239		
	064	栗巣 勇子	38	女	大阪府		1:12:08	662						
597	065	辻江 智子	39	女	大阪府	12:35:49	1:01:38	315	5:59:18	617	5:34:53	604		
751	066	太田良 加弥	40	女	大阪府	13:38:52	1:11:18	643	6:29:54	794	5:57:40	709		
657	067	春山 裕子	41	女	大阪府	13:01:01	1:11:49	653	6:07:59	677	5:41:13	643		
705	068	鈴木 恵子	43	女	大阪府	13:19:10	1:00:13	268	6:23:45	764	5:55:12	704		
395	069	日野 圭子	45	女	大阪府	11:38:48	1:03:24	359	5:45:02	507	4:50:22	336		
575	070	桶谷 有香	47	女	大阪府	12:30:03	1:05:03	429	5:36:38	456	5:48:22	685		
667	071	中川 美幸	47	女	大阪府	13:03:42	1:11:47	652	6:13:29	716	5:38:26	629		
696	072	浜本 輝美	48	女	大阪府	13:12:44	1:20:36	820	6:16:52	733	5:35:16	608		
689	073	澤 直美	51	女	大阪府	13:10:58	1:11:28	648	6:10:50	696	5:48:40	687		
288	074	高沢 佳子	51	女	大阪府	11:07:32	1:13:21	697	5:20:09	325	4:34:02	222		
389	075	今倉 茂尾	52	女	大阪府	11:37:11	1:08:49	575	5:45:41	511	4:42:41	286		
527	076	菊岡 安代	52	女	大阪府	12:14:32	1:06:00	475	6:13:32	717	4:55:00	372		
482	077	福元 永子	55	女	大阪府	12:02:51	1:12:28	674	5:51:57	562	4:58:26	399		
626	078	小枩谷 明美	57	女	大阪府	12:48:56	1:05:29	451	6:12:48	710	5:30:39	587		
799	080	丸岡 あゆみ	26	女	兵庫県	14:06:12	1:19:20	805	6:36:16	821	6:10:36	753		
129	081	藤木 藍子	27	女	兵庫県	10:15:38	0:54:51	129	4:53:50	120	4:26:57	183		
	082	杉原 佳代子	34	女	兵庫県		1:22:12	834						
830	083	片岡 由紀子	44	女	兵庫県	14:20:44	1:26:14	868	6:50:16	852	6:04:14	729		
658	084	三輪 泉	44	女	兵庫県	13:01:15	1:08:15	551	6:28:42	790	5:24:18	562		
599	085	千脇 久美子	47	女	兵庫県	12:36:43	1:32:02	887	6:06:34	666	4:58:07	396		
656	086	久野 淳子	51	女	兵庫県	12:59:56	1:13:13	695	6:07:45	676	5:38:58	631		
555	087	宮武 智恵子	52	女	兵庫県	12:22:42	1:07:27	516	6:04:43	659	5:10:32	482		
	088	小坂 規子	54	女	兵庫県		1:23:27	843						
737	089	友松 奈央子	30	女	奈良県	13:32:05	1:00:28	283	6:45:15	839	5:46:22	669		
544	090	櫻井 理恵	41	女	奈良県	12:18:46	1:10:55	637	6:01:40	632	5:06:11	449		
	091	嶋田 扶佐恵	55	女	奈良県		1:14:02	715						
789	093	新谷 千代	53	女	和歌山県	14:00:46	1:04:38	408	6:22:07	755	6:34:01	810		
418	094	松田 美香	29	女	島根県	11:45:31	0:54:51	129	6:07:38	673	4:43:02	292		
214	095	比田 百合子	44	女	島根県	10:44:03	0:59:33	230	5:16:36	300	4:27:54	188		
	096	内山 華	29	女	岡山県		1:04:33	399	6:08:22	681				
397	097	難波 佐知子	34	女	岡山県	11:40:06	1:15:37	737	5:55:32	596	4:28:57	194		
653	098	片山 奈央	36	女	岡山県	12:58:00	1:24:13	848	6:12:23	709	5:21:24	541		
785	099	水島 ゆかり	39	女	岡山県	13:59:04	1:09:13	587	6:26:30	777	6:23:21	785		
460	100	岩佐 亜生	41	女	岡山県	11:56:31	1:13:28	701	5:46:24	516	4:56:39	386		
848	101	柘野 佐織	42	女	岡山県	14:29:57	1:35:11	892	6:36:33	823	6:18:13	774		
739	102	川上 寿子	45	女	岡山県	13:32:46	1:12:25	672	6:10:27	693	6:09:54	746		
838	103	溝手 珠央	46	女	岡山県	14:22:35	1:16:56	775	7:11:27	869	5:54:12	702		
536	104	小椋 よう子	47	女	岡山県	12:16:54	1:08:28	557	5:51:01	552	5:17:25	521		
727	105	山本 一江	56	女	岡山県	13:27:33	1:20:05	815	6:02:58	645	6:04:30	731		
	106	水津 由美子	59	女	岡山県		1:28:33	878						
821	107	田村 絹子	67	女	岡山県	14:17:45	1:29:12	881	6:22:36	758	6:25:57	794		
417	108	相原 千尋	22	女	広島県	11:45:24	1:02:29	340	5:30:30	411	5:12:25	493		
236	109	坂根 三保	40	女	広島県	10:52:13	0:49:14	33	5:34:16	442	4:28:43	192		
194	110	斉藤 浩美	41	女	広島県	10:36:24	0:53:48	101	5:29:20	397	4:13:16	135		
822	111	塚本 宣恵	41	女	広島県	14:19:09	1:25:23	862	6:43:12	837	6:10:34	752		
	112	岡田 賀世	51	女	広島県									
804	113	林 摩耶	31	女	香川県	14:07:39	1:03:12	355	6:10:53	698	6:53:34	836		
678	114	桑野 加恵	46	女	香川県	13:07:03	1:05:54	471	6:11:08	700	5:40:01	638		
841	115	林 優子	59	女	香川県	14:23:13	1:13:43	707	6:50:35	853	6:18:55	776		
636	116	三好 香苗	42	女	愛媛県	12:51:58	1:16:39	771	6:29:02	792	5:06:17	450		
744	117	中田 満子	45	女	愛媛県	13:35:25	1:08:35	566	5:54:34	587	6:32:16	806		
693	118	金高 純子	49	女	愛媛県	13:11:56	1:25:08	857	6:18:16	743	5:28:32	578		
	119	岡林 純賀子	50	女	高知県		1:12:43	681						
733	120	谷川 美喜子	42	女	長崎県	13:30:15	1:09:28	601	6:20:01	750	6:00:46	720		
	121	内海 由加里	55	女	長崎県		1:21:08	821	7:01:57	863				
472	122	古賀 美紀	47	女	熊本県	12:00:59	1:08:34	563	5:33:39	438	5:18:46	530		
	123	佐久間 宏美	43	女	大分県		1:13:12	694						
545	124	西村 香織	44	女	沖縄県	12:18:50	1:13:10	692	6:08:06	679	4:57:34	392		
761	125	小﨑 望	34	女	鳥取県	13:45:11	1:00:09	261	7:14:18	870	5:30:44	588		
701	126	斉木 博子	44	女	鳥取県	13:15:40	1:29:28	883	6:15:20	725	5:30:52	589		
