総合順位	No.	氏名	年齢	性別	都道府県	総合記録	スイムラップ	S順	T1ラップ	T1順	バイクラップ	B順	ｽﾌﾟﾘｯﾄ	通過	T2ラップ	T2順	ランラップ	R順	ﾍﾟﾅﾙﾃｨ	男子順位	女子順位	エイジ区分	ｴｲｼﾞ順位
OPEN	907	WANHYUK KIM	30	男	韓国	0:55:48	0:12:00		0:01:24		0:24:22		0:37:46		0:00:57		0:17:05		0:00:00			OPEN	
OPEN	905	KWANGJUN PAK	27	男	韓国	0:58:01	0:13:15		0:01:29		0:24:52		0:39:36		0:01:04		0:17:21		0:00:00			OPEN	
1	901	徳地 駿斗	16	男	滋賀県	0:58:02	0:12:44	1	0:01:23	1	0:25:33	1	0:39:40	1	0:00:58	1	0:17:24	1	0:00:00			U23男子	1
2	922	宮垣 昌明	58	男	兵庫県	1:10:26	0:16:14	2	0:03:09	6	0:28:27	2	0:47:50	3	0:01:15	2	0:21:21	4	0:00:00			一般男子	1
3	929	林本 花枝	27	女	愛知県	1:11:28	0:16:22	3	0:02:41	4	0:28:30	3	0:47:33	2	0:01:30	6	0:22:25	6	0:00:00			一般女子	1
4	930	JIHYE MOON	33	女	韓国	1:13:58	0:19:45	6	0:02:00	2	0:28:52	4	0:50:37	4	0:01:28	5	0:21:53	5	0:00:00			一般女子	2
5	904	大石 怜美	19	女	静岡県	1:16:58	0:17:39	4	0:03:35	10	0:32:09	9	0:53:23	5	0:02:26	15	0:21:09	3	0:00:00			U23女子	1
6	912	平賀 眞澄	51	男	三重県	1:18:01	0:20:31	10	0:03:24	8	0:30:27	6	0:54:22	7	0:02:33	16	0:21:06	2	0:00:00			一般男子	2
7	915	大岡 恒美	57	男	大阪府	1:21:17	0:20:36	11	0:03:31	9	0:29:47	5	0:53:54	6	0:02:08	13	0:25:15	9	0:00:00			一般男子	3
8	902	ﾊﾞｰﾁ ｶﾞｰﾄﾞﾅｰ	18	男	滋賀県	1:21:31	0:21:01	12	0:02:57	5	0:33:05	13	0:57:03	8	0:01:45	7	0:22:43	7	0:00:00			U23男子	2
9	903	松田 大河	20	男	三重県	1:26:26	0:20:05	7	0:04:21	13	0:33:13	14	0:57:39	10	0:01:26	4	0:27:21	11	0:00:00			U23男子	3
10	911	水谷 俊一	50	男	愛知県	1:28:39	0:20:21	9	0:04:56	19	0:32:22	11	0:57:39	11	0:02:23	14	0:28:37	13	0:00:00			一般男子	4
11	923	小坂 岳美	63	男	三重県	1:29:26	0:22:13	14	0:04:22	14	0:30:47	7	0:57:22	9	0:02:38	17	0:29:26	14	0:00:00			一般男子	5
12	935	肆矢 ひとみ	54	女	愛知県	1:30:09	0:24:06	21	0:03:23	7	0:32:13	10	0:59:42	12	0:02:04	11	0:28:23	12	0:00:00			一般女子	3
13	932	小栗 有美子	45	女	岐阜県	1:30:55	0:23:21	17	0:04:55	18	0:34:31	16	1:02:47	15	0:01:59	10	0:26:09	10	0:00:00			一般女子	4
14	926	奥川 浩	69	男	三重県	1:38:30	0:24:14	22	0:05:48	23	0:34:24	15	1:04:26	17	0:03:09	19	0:30:55	15	0:00:00			一般男子	6
15	917	岡田 雅宣	57	男	愛知県	1:39:20	0:22:11	13	0:05:57	24	0:32:22	11	1:00:30	13	0:03:10	20	0:35:40	17	0:00:00			一般男子	7
16	909	澤田 章弘	40	男	三重県	1:44:00	0:19:05	5	0:03:52	12	0:41:37	20	1:04:34	18	0:03:18	21	0:36:08	18	0:00:00			一般男子	8
17	927	角田 隆志	75	男	大阪府	1:45:56	0:23:21	16	0:04:51	16	0:35:40	17	1:03:52	16	0:04:26	24	0:37:38	20	0:00:00			一般男子	9
18	919	久山 満	57	男	大阪府	1:46:14	0:24:04	20	0:05:09	21	0:38:12	18	1:07:25	19	0:01:50	8	0:36:59	19	0:00:00			一般男子	10
19	933	橋本 梢	45	女	三重県	1:48:34	0:22:55	15	0:04:51	16	0:42:58	21	1:10:44	20	0:03:07	18	0:34:43	16	0:00:00			一般女子	5
20	921	佐野 進一	58	男	三重県	1:59:24	0:24:00	19	0:05:46	22	1:03:01	24	1:32:47	24	0:01:25	3	0:25:12	8	0:00:00			一般男子	11
21	937	渡部 陽子	62	女	愛媛県	2:02:54	0:28:43	23	0:05:03	20	0:47:25	23	1:21:11	23	0:03:18	21	0:38:25	21	0:00:00			一般女子	6
22	928	竹内 元一	76	男	愛知県	2:04:18	0:29:50	25	0:03:37	11	0:40:46	19	1:14:13	21	0:01:53	9	0:48:12	22	0:00:00			一般男子	12
DNF	918	西田 宜幸	57	男	大阪府		0:23:40	18	0:06:42	25	0:32:04	8	1:02:26	14	0:03:43	23		0				一般男子	0
DNF	925	冨士道 史倫	66	男	愛知県		0:29:03	24	0:04:48	15	0:43:11	22	1:17:02	22	0:02:06	12		0				一般男子	0
DNF	931	EUNJI BONG	36	女	韓国		0:20:21	8	0:02:17	3		0		0		0		0				一般女子	0
DNF	916	間宮 稔	57	男	三重県			0		0		0		0		0		0				一般男子	0
DNF	934	吉永 美帆子	47	女	東京都			0		0		0		0		0		0				一般女子	0
TOV	906	石川 開誠	27	男	三重県		0:31:46	26		0		0		0		0		0				一般男子	0
TOV	939	綾井 裕子	67	女	京都府		0:33:04	27		0		0		0		0		0				一般女子	0
TOV	913	岡田 光司	53	男	兵庫県		0:35:43	28		0		0		0		0		0				一般男子	0
SKIP	908	尾関 勇志	37	男	愛知県			0		0	0:32:04	0		0		0	0:24:21	0				一般男子	0
SKIP	914	大杉 竜哉	54	男	大阪府			0		0		0		0		0		0				一般男子	0
SKIP	936	多賀 寿江	61	女	愛知県			0		0	0:33:29	0		0		0	0:29:31	0				一般女子	0
SKIP	938	山下 桂子	66	女	三重県			0		0	0:45:48	0		0		0	0:35:57	0				一般女子	0
DNS	910	浜野 紘一	47	男	東京都			0		0		0		0		0		0				一般男子	0
DNS	920	三宅 常晴	57	男	岐阜県			0		0		0		0		0		0				一般男子	0
