総合順位	No.	氏名	年齢	性別	都道府県	総合記録	スイムラップ	S順	バイクラップ	B順	ランラップ	R順	男子順位	女子順位
8	001	藤原 裕司	50	男	栃木県	8:46:30	0:50:44	98	4:22:30	6	3:33:16	11	8	
1	002	谷 新吾	47	男	愛知県	8:33:10	0:46:22	31	4:17:22	2	3:29:26	5	1	
15	003	吉村 優介	27	男	山口県	9:02:08	0:40:44	2	4:11:29	1	4:09:55	97	15	
2	004	秦 陽一郎	40	男	大分県	8:34:45	0:44:12	11	4:19:23	3	3:31:10	7	2	
73	005	二分 陽子	32	女	鳥取県	9:50:23	0:45:39	26	5:01:08	144	4:03:36	73		
160	006	松本 華奈	40	女	島根県	10:30:27	0:44:52	16	5:15:26	252	4:30:09	189		
7	007	松下 篤史	41	男	大阪府	8:46:13	0:45:25	22	4:27:33	10	3:33:15	10	7	
10	008	石橋 健志	24	男	大阪府	8:52:18	0:40:20	1	4:27:43	12	3:44:15	20	10	
5	009	信谷 康二郎	38	男	大阪府	8:43:22	0:44:12	11	4:27:43	12	3:31:27	8	5	
222	010	比田 百合子	43	女	島根県	10:50:45	0:54:49	241	5:15:23	251	4:40:33	248		
78	011	大西 直美	44	女	鳥取県	9:51:51	0:57:05	335	5:06:59	186	3:47:47	28		
772	012	瑞慶覧 朝充	34	男	沖縄県	14:03:18	0:57:54	369	6:10:19	660	6:55:05	813	699	
55	031	中原 恭恵	27	女	ＣＨＮ	9:42:55	0:46:37	36	4:39:08	39	4:17:10	127		
559	032	宮田 不二子	34	女	北海道	12:36:10	1:13:43	812	6:17:56	708	5:04:31	398		
526	033	野村 恭子	42	女	北海道	12:23:11	1:08:40	751	6:05:06	641	5:09:25	417		
133	034	小林 恵	41	女	山形県	10:17:05	0:49:52	82	4:41:14	46	4:45:59	279		
770	035	國井 直子	45	女	埼玉県	14:02:24	1:21:10	853	6:56:28	838	5:44:46	587		
593	036	米田 有希	21	女	東京都	12:47:27	0:45:27	25	5:41:02	457	6:20:58	739		
781	037	小林 千枝	31	女	東京都	14:06:12	1:07:54	725	6:37:19	798	6:20:59	740		
383	038	生井 恭子	38	女	東京都	11:38:41	0:50:47	100	6:02:48	624	4:45:06	273		
687	039	林 マリ	38	女	東京都	13:21:01	1:01:12	484	6:16:17	699	6:03:32	673		
788	040	竹本 裕美	42	女	東京都	14:08:35	0:54:58	253	6:50:59	827	6:22:38	749		
	041	舟越 悦子	48	女	東京都		1:53:22	871						
400	042	斎藤 佳代子	54	女	東京都	11:43:33	1:10:12	774	5:47:40	511	4:45:41	275		
	043	上田 しおみ	45	女	神奈川県		1:16:05	832						
409	044	小野 恭子	49	女	神奈川県	11:46:49	1:07:36	716	5:47:49	515	4:51:24	307		
540	045	坪川 操	52	女	福井県	12:27:29	1:09:01	757	6:17:26	706	5:01:02	369		
238	046	望月 美和	50	女	山梨県	10:55:08	0:53:02	172	5:19:29	287	4:42:37	256		
496	047	大村 吉美	38	女	静岡県	12:15:57	0:49:03	69	5:53:49	568	5:33:05	528		
297	048	檀野 裕美	36	女	愛知県	11:14:04	1:12:29	799	5:35:01	412	4:26:34	169		
510	049	渡邉 直子	42	女	愛知県	12:18:51	0:54:44	237	6:30:38	779	4:53:29	324		
691	050	浜田 典子	48	女	愛知県	13:22:11	1:03:45	603	6:26:11	758	5:52:15	623		
	051	清水 眞由美	54	女	愛知県		0:57:56	373	6:32:17	785				
667	052	酒井 まち子	56	女	愛知県	13:13:51	0:57:23	346	5:25:26	347	6:51:02	807		
704	053	武藤 直美	61	女	愛知県	13:26:27	1:14:55	820	6:43:46	812	5:27:46	502		
516	054	松永 順子	57	女	京都府	12:20:46	1:11:09	786	6:14:48	688	4:54:49	330		
803	055	赤塚 千恵	26	女	大阪府	14:14:09	1:03:10	576	6:39:51	803	6:31:08	775		
793	056	下崎 茜	28	女	大阪府	14:11:04	0:58:46	408	6:49:34	822	6:22:44	751		
99	057	宇治 公子	32	女	大阪府	10:03:00	0:47:07	41	5:23:25	319	3:52:28	44		
608	058	辻江 智子	38	女	大阪府	12:51:15	0:57:49	366	6:05:01	639	5:48:25	608		
597	059	春山 裕子	40	女	大阪府	12:48:01	1:04:53	648	6:03:54	630	5:39:14	558		
649	060	鈴木 恵子	42	女	大阪府	13:06:09	0:54:08	207	6:17:31	707	5:54:30	635		
343	062	日野 圭子	44	女	大阪府	11:26:09	0:56:28	304	5:41:24	460	4:48:17	297		
505	063	人見 晴美	44	女	大阪府	12:17:55	0:47:01	39	6:29:35	774	5:01:19	371		
796	064	南 伸子	46	女	大阪府	14:12:20	1:19:54	847	6:50:40	826	6:01:46	661		
431	065	浜本 輝美	47	女	大阪府	11:53:45	1:05:41	658	5:53:05	563	4:54:59	331		
814	066	澤 直美	50	女	大阪府	14:24:32	1:08:07	733	6:51:58	831	6:24:27	758		
228	067	高沢 佳子	50	女	大阪府	10:52:23	1:03:23	588	5:17:30	268	4:31:30	204		
538	068	今倉 茂尾	51	女	大阪府	12:26:52	1:07:46	720	6:15:48	694	5:03:18	388		
521	069	菊岡 安代	51	女	大阪府	12:22:17	1:00:06	438	6:19:38	720	5:02:33	380		
773	070	片田 知子	53	女	大阪府	14:03:35	1:16:43	840	6:29:21	772	6:17:31	722		
534	071	福元 永子	54	女	大阪府	12:25:39	1:07:30	713	6:19:42	722	4:58:27	345		
678	072	浦嶋 純子	55	女	大阪府	13:18:03	1:03:35	595	6:48:22	820	5:26:06	490		
592	073	小枩谷 明美	56	女	大阪府	12:47:11	1:02:42	542	6:14:35	687	5:29:54	517		
742	074	倉橋 由美子	58	女	大阪府	13:47:54	1:04:25	633	6:20:08	727	6:23:21	754		
743	075	丸岡 あゆみ	25	女	兵庫県	13:48:10	1:07:08	702	6:56:39	839	5:44:23	583		
207	076	藤木 藍子	26	女	兵庫県	10:46:42	0:48:57	66	4:56:45	119	5:01:00	368		
502	077	吉川 奈緒子	29	女	兵庫県	12:17:35	1:13:27	810	5:49:04	528	5:15:04	445		
	078	杉原 佳代子	33	女	兵庫県		1:16:42	839						
761	080	片岡 由紀子	43	女	兵庫県	13:57:47	1:27:23	864	6:34:52	791	5:55:32	638		
102	081	佐藤 彰子	45	女	兵庫県	10:04:55	0:46:33	34	5:13:03	229	4:05:19	79		
580	082	千脇 久美子	46	女	兵庫県	12:43:33	1:21:05	852	6:12:45	677	5:09:43	421		
614	083	久野 淳子	50	女	兵庫県	12:53:58	1:06:16	672	6:12:43	676	5:34:59	539		
531	084	宮武 智恵子	51	女	兵庫県	12:24:31	1:03:46	604	6:10:59	664	5:09:46	423		
671	087	友松 奈央子	29	女	奈良県	13:14:30	0:51:17	118	6:27:38	767	5:55:35	639		
558	088	櫻井 理恵	40	女	奈良県	12:35:59	1:06:49	692	6:19:45	723	5:09:25	417		
767	089	嶋田 扶佐恵	54	女	奈良県	14:00:50	1:08:32	749	6:41:01	806	6:11:17	709		
778	090	福原 沙織	32	女	和歌山県	14:05:09	1:06:46	688	7:04:38	848	5:53:45	632		
595	091	川崎 妙子	46	女	和歌山県	12:47:49	1:11:46	795	6:41:32	807	4:54:31	329		
654	092	西坂 麻里	49	女	和歌山県	13:08:39	1:01:43	505	6:26:56	762	5:40:00	561		
	093	新谷 千代	52	女	和歌山県		1:00:26	451	6:58:52	841				
	094	阪部 貴美	58	女	和歌山県		1:02:43	543						
623	095	松田 美香	28	女	島根県	12:57:05	0:48:56	65	6:19:50	724	5:48:19	606		
	096	藤田 久子	63	女	島根県		1:09:36	768						
469	097	内山 華	28	女	岡山県	12:06:33	0:54:49	241	6:19:13	719	4:52:31	319		
701	098	清本 純子	35	女	岡山県	13:26:00	0:51:59	142	6:32:51	787	6:01:10	660		
	099	山口 みちる	37	女	岡山県		1:08:38	750	7:20:19	852				
494	100	水島 ゆかり	38	女	岡山県	12:15:43	0:57:48	365	5:34:46	410	5:43:09	577		
583	101	岩佐 亜生	40	女	岡山県	12:44:08	1:04:46	644	5:52:01	553	5:47:21	602		
	102	柘野 佐織	41	女	岡山県		1:08:46	753	6:51:37	830				
662	103	川上 寿子	44	女	岡山県	13:12:45	1:08:13	738	6:12:52	678	5:51:40	619		
805	104	溝手 珠央	45	女	岡山県	14:14:33	1:13:09	806	6:56:05	837	6:05:19	682		
362	105	小椋 よう子	46	女	岡山県	11:32:38	1:01:26	494	5:38:57	443	4:52:15	314		
713	106	山本 一江	55	女	岡山県	13:31:30	1:11:04	785	6:01:46	616	6:18:40	727		
776	107	田村 絹子	67	女	岡山県	14:04:29	1:15:30	826	6:37:15	797	6:11:44	710		
509	108	岸田 裕子	38	女	広島県	12:18:44	0:51:38	124	5:52:50	559	5:34:16	538		
331	109	坂根 三保	39	女	広島県	11:23:46	0:47:25	44	5:44:34	485	4:51:47	309		
235	110	斉藤 浩美	40	女	広島県	10:53:58	0:50:11	88	5:39:54	450	4:23:53	159		
724	111	岡田 賀世	50	女	広島県	13:38:38	1:09:23	764	6:26:35	761	6:02:40	666		
