総合順位	No.	氏名	年齢	性別	都道府県	総合記録	ｽｲﾑﾗｯﾌﾟ	S順	T1	ﾊﾞｲｸﾗｯﾌﾟ	B順	T2	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	R順	男子順位	女子順位	年代区分	年代順位
1	226	渡邊俊輔	37	男	山形県	2:12:24	0:22:49	6	0:02:08	1:01:03	3	0:00:53	1:26:00	1	0:45:31	14	1		30歳代男子	1
2	212	北條孝樹	29	男	埼玉県	2:12:48	0:24:22	13	0:01:22	1:00:45	2	0:01:08	1:26:30	3	0:45:11	13	2		20歳代男子	1
3	219	服部勇佑	33	男	岩手県	2:13:20	0:24:12	11	0:02:28	1:03:20	9	0:01:01	1:30:00	12	0:42:19	5	3		30歳代男子	2
4	607	北條碧	30	女	埼玉県	2:13:25	0:19:18	2	0:01:46	1:07:07	30	0:01:10	1:28:10	6	0:44:04	7		1	30歳代女子	1
5	419	秋山優	46	男	宮城県	2:13:26	0:25:54	28	0:01:45	1:00:14	1	0:01:03	1:27:53	5	0:44:30	8	4		40歳代男子	1
6	209	山崎晃	28	男	千葉県	2:15:39	0:25:42	23	0:01:57	1:02:16	6	0:00:57	1:29:56	11	0:44:46	9	5		20歳代男子	2
7	412	亀井健太	43	男	神奈川県	2:16:30	0:24:52	15	0:01:53	1:01:06	4	0:01:13	1:27:51	4	0:47:26	22	6		40歳代男子	2
8	520	氏家正裕	53	男	宮城県	2:16:46	0:25:25	18	0:02:01	1:02:10	5	0:01:36	1:29:35	7	0:45:36	15	7		50歳代男子	1
9	218	松本功也	33	男	岩手県	2:17:32	0:24:23	14	0:02:23	1:04:26	17	0:01:11	1:31:12	14	0:45:09	12	8		30歳代男子	3
10	623	加来奈津子	40	女	東京都	2:17:35	0:20:56	3	0:01:44	1:07:34	31	0:01:04	1:30:14	13	0:46:16	18		2	40歳代女子	1
11	432	山口俊輔	48	男	埼玉県	2:18:25	0:26:18	29	0:02:06	1:04:10	15	0:01:02	1:32:34	16	0:44:49	10	9		40歳代男子	3
12	548	沢田秀二	61	男	宮城県	2:20:06	0:23:32	8	0:02:01	1:04:12	16	0:01:26	1:29:44	8	0:48:56	27	10		60歳代男子	1
13	626	佐々木麻瑚	19	女	滋賀県	2:20:40	0:21:23	4	0:01:30	1:06:54	29	0:00:45	1:29:46	9	0:50:08	32		3	10歳代女子	1
14	208	服部一希	27	男	神奈川県	2:21:00	0:25:09	17	0:02:03	1:06:23	26	0:01:20	1:33:35	18	0:46:06	17	11		20歳代男子	3
15	232	竹中敦一	38	男	千葉県	2:22:04	0:26:54	30	0:02:14	1:04:30	18	0:01:21	1:33:37	19	0:47:06	20	12		30歳代男子	4
16	206	田澤拓也	27	男	岩手県	2:22:32	0:28:14	40	0:01:57	1:03:59	14	0:01:20	1:34:10	21	0:47:03	19	13		20歳代男子	4
