総合順位	No.	氏名	性別	年齢区分	総合記録	ｽｲﾑﾗｯﾌﾟ	T1	ﾊﾞｲｸﾗｯﾌﾟ	ﾗﾝﾗｯﾌﾟ	ステータス
1	675	RIPPEL MATHEUS	男	30-34男子	1:52:30	0:24:02	0:02:45	0:40:32	0:45:11	DSQ
2	3	篠崎 友	男	40-44男子	2:00:42	0:21:53	0:02:03	0:59:27	0:37:19	
3	51	山岸 穂高	男	25-29男子	2:02:04	0:23:07	0:02:53	1:01:11	0:34:53	
4	162	星 大樹	男	35-39男子	2:03:05	0:22:50	0:02:21	0:59:39	0:38:15	
5	196	渡邉 優介	男	35-39男子	2:03:46	0:25:13	0:02:13	1:02:13	0:34:07	
6	85	五十川 陸斗	男	30-34男子	2:05:21	0:20:05	0:02:02	1:03:31	0:39:43	
7	145	大野 剛	男	35-39男子	2:05:45	0:25:50	0:02:25	1:00:34	0:36:56	
8	248	後藤 公成	男	40-44男子	2:07:32	0:20:53	0:02:10	1:05:32	0:38:57	
9	803	平川 太陽	男	40-44男子	2:07:55	0:22:33	0:02:41	1:01:32	0:41:09	
10	27	吉原 佑哉	男	25-29男子	2:10:35	0:23:00	0:02:16	1:07:17	0:38:02	
11	1	竹谷 賢二	男	55-59男子	2:11:00	0:25:21	0:03:07	1:00:37	0:41:55	
12	139	妹尾 元気	男	30-34男子	2:11:58	0:19:59	0:01:41	1:08:11	0:42:07	
13	127	山本 哲也	男	30-34男子	2:12:27	0:28:07	0:02:29	1:04:40	0:37:11	
14	753	中野 諒太	男	25-29男子	2:12:45	0:22:25	0:02:08	1:06:08	0:42:04	
15	326	畑地 慶三	男	45-49男子	2:13:04	0:24:58	0:02:40	1:05:18	0:40:08	
16	259	渡辺 誉史	男	40-44男子	2:13:36	0:25:21	0:02:32	1:05:58	0:39:45	
17	384	ABSOUS Olivier	男	45-49男子	2:13:39	0:22:57	0:02:55	1:06:33	0:41:14	
18	216	Pellegrini Marco	男	40-44男子	2:14:21	0:22:28	0:02:42	1:09:51	0:39:20	
19	770	西里 将志	男	30-34男子	2:14:58	0:35:06	0:04:17	0:44:48	0:50:47	DSQ
20	309	笹岡 圭介	男	45-49男子	2:15:20	0:37:06	0:05:42	0:37:00	0:55:32	DSQ
21	291	佐久間 信太朗	男	45-49男子	2:15:26	0:25:08	0:02:40	1:08:28	0:39:10	
22	190	小坂 進吾	男	35-39男子	2:16:28	0:28:34	0:02:17	1:05:27	0:40:10	
23	2	細田 雄一	男	40-44男子	2:16:46	0:20:03	0:01:48	1:18:06	0:36:49	
24	799	岡本 潤	男	40-44男子	2:17:30	0:39:21	0:06:19	1:14:58	0:16:52	DSQ
25	324	岡田 優	男	45-49男子	2:18:27	0:23:48	0:02:31	1:10:08	0:42:00	
26	129	渡邊 翔太	男	30-34男子	2:18:29	0:27:40	0:03:32	1:09:57	0:37:20	
27	471	中野 正紀	男	50-54男子	2:18:42	0:29:13	0:02:01	1:06:34	0:40:54	
28	759	竹内 祐太朗	男	25-29男子	2:19:10	0:26:48	0:02:49	1:07:28	0:42:05	
29	861	平柳 美月	女	30-34女子	2:20:14	0:24:11	0:02:06	1:11:17	0:42:40	
30	754	塩田 倖大	男	25-29男子	2:20:27	0:23:17	0:02:33	1:08:16	0:46:21	
31	177	保坂 憲司	男	35-39男子	2:21:05	0:26:49	0:02:37	1:09:56	0:41:43	
32	11	沓掛 光	男	20-24男子	2:21:08	0:23:46	0:03:00	1:15:19	0:39:03	
33	61	内田 郁弥	男	25-29男子	2:21:22	0:24:29	0:02:43	1:08:55	0:45:15	
34	32	瀬川 拓海	男	25-29男子	2:21:24	0:21:45	0:03:01	1:14:59	0:41:39	
