総合順位	No.	氏名	年齢	性別	登録	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齡別順	選手権順
1	1005	原田 洋旭	17	男	兵庫県	1:05:13	0:09:52	1	0:36:14	2	0:46:06	1	0:19:07	2	1		19歳以下男子	1	
2	1004	蜂矢 涼	17	男	愛知県	1:05:37	0:10:50	4	0:36:43	3	0:47:33	3	0:18:04	1	2		19歳以下男子	2	1
3	1010	昼神 諒	19	男	学生連合	1:07:07	0:10:53	5	0:36:46	4	0:47:39	5	0:19:28	3	3		19歳以下男子	3	
4	1002	斎藤 佑大	17	男	新潟県	1:07:30	0:09:53	2	0:37:42	8	0:47:35	4	0:19:55	5	4		19歳以下男子	4	
5	1523	高嶺 寛己	33	男	東京都	1:09:53	0:11:41	9	0:35:51	1	0:47:32	2	0:22:21	13	5		20歳以上男子	1	
6	1006	大谷 成哉	18	男	愛知県	1:10:25	0:10:53	6	0:38:18	10	0:49:11	6	0:21:14	10	6		19歳以下男子	5	2
7	1506	福永 晃樹裕	25	男	茨城県	1:10:59	0:12:51	14	0:37:02	5	0:49:53	7	0:21:06	9	7		20歳以上男子	2	
8	1014	森山 美空	16	女	愛知県	1:11:27	0:11:36	8	0:39:16	13	0:50:52	11	0:20:35	6		1	19歳以下女子	1	1
9	1009	河澄 英武	19	男	愛知県	1:11:45	0:14:08	19	0:38:05	9	0:52:13	13	0:19:32	4	8		19歳以下男子	6	
10	1001	金 稜宇	16	男	愛知県	1:12:45	0:11:30	7	0:39:14	12	0:50:44	10	0:22:01	12	9		19歳以下男子	7	3
11	1521	石原 潤哉	33	男	愛知県	1:13:48	0:12:47	13	0:37:34	7	0:50:21	9	0:23:27	17	10		20歳以上男子	3	
12	1559	舩坂 勝美	63	男	岐阜県	1:13:58	0:13:11	16	0:39:04	11	0:52:15	14	0:21:43	11	11		20歳以上男子	4	
13	1012	山内 怜旺	19	男	学生連合	1:14:41	0:13:38	18	0:37:21	6	0:50:59	12	0:23:42	19	12		19歳以下男子	8	
14	1013	小林 未来	16	女	愛知県	1:14:55	0:12:45	12	0:41:14	19	0:53:59	17	0:20:56	8		2	19歳以下女子	2	2
15	1526	稲葉 祐介	36	男	静岡県	1:15:01	0:12:31	11	0:40:07	16	0:52:38	15	0:22:23	14	13		20歳以上男子	5	
16	1538	佐藤 伸一	47	男	愛知県	1:15:56	0:12:53	15	0:39:59	15	0:52:52	16	0:23:04	16	14		20歳以上男子	6	
17	1015	野口 ななみ	18	女	新潟県	1:16:24	0:10:24	3	0:39:52	14	0:50:16	8	0:26:08	26		3	19歳以下女子	3	
18	1016	山田 杏奈	19	女	学生連合	1:19:05	0:14:45	21	0:41:50	21	0:56:35	21	0:22:30	15		4	19歳以下女子	4	
19	1504	前田 健登	24	男	兵庫県	1:19:36	0:12:18	10	0:42:31	22	0:54:49	19	0:24:47	20	15		20歳以上男子	7	
20	1503	松田 崚佑	23	男	滋賀県	1:20:26	0:15:08	24	0:44:26	26	0:59:34	22	0:20:52	7	16		20歳以上男子	8	
21	1527	宮﨑 潤平	36	男	愛知県	1:21:00	0:14:45	22	0:40:48	18	0:55:33	20	0:25:27	22	17		20歳以上男子	9	
22	1007	鈴木 蓮也	18	男	愛知県	1:24:00	0:14:12	20	0:40:35	17	0:54:47	18	0:29:13	50	18		19歳以下男子	9	4
23	1530	村松 利昭	40	男	愛知県	1:25:11	0:15:07	23	0:44:30	27	0:59:37	23	0:25:34	24	19		20歳以上男子	10	
24	1514	鈴木 希人	28	男	愛知県	1:27:47	0:15:13	25	0:46:01	32	1:01:14	25	0:26:33	29	20		20歳以上男子	11	
25	1536	小野 浩示	46	男	愛知県	1:29:45	0:13:12	17	0:47:36	43	1:00:48	24	0:28:57	47	21		20歳以上男子	12	
26	1501	澤木 優馬	20	男	愛知県	1:29:53	0:17:05	31	0:45:35	30	1:02:40	28	0:27:13	34	22		20歳以上男子	13	
27	1517	林 祐治	30	男	愛知県	1:30:36	0:20:45	56	0:43:36	23	1:04:21	33	0:26:15	27	23		20歳以上男子	14	
28	1534	石田 克洋	44	男	愛知県	1:30:47	0:19:27	51	0:46:31	38	1:05:58	43	0:24:49	21	24		20歳以上男子	15	
29	1528	武田 裕規	37	男	愛知県	1:30:49	0:18:45	46	0:45:30	29	1:04:15	32	0:26:34	30	25		20歳以上男子	16	
30	1522	志智 佳祐	33	男	愛知県	1:31:23	0:19:42	52	0:46:14	33	1:05:56	42	0:25:27	23	26		20歳以上男子	17	
31	1535	渡辺 一博	45	男	愛知県	1:31:56	0:18:56	50	0:46:20	34	1:05:16	38	0:26:40	31	27		20歳以上男子	18	
32	1550	中村 隆	53	男	長野県	1:32:02	0:18:04	36	0:44:13	25	1:02:17	26	0:29:45	55	28		20歳以上男子	19	
33	1516	谷口 和也	30	男	静岡県	1:32:05	0:16:54	30	0:46:42	40	1:03:36	30	0:28:29	42	29		20歳以上男子	20	
34	1539	間野 公太	47	男	愛知県	1:32:07	0:18:55	49	0:44:35	28	1:03:30	29	0:28:37	44	30		20歳以上男子	21	
35	1529	澤村 俊輔	39	男	愛知県	1:32:16	0:16:35	28	0:47:51	44	1:04:26	34	0:27:50	40	31		20歳以上男子	22	
36	1558	宮本 文治	62	男	愛知県	1:32:19	0:18:20	38	0:46:23	35	1:04:43	35	0:27:36	38	32		20歳以上男子	23	
37	1008	葛西 光希	19	男	学生連合	1:32:35	0:18:24	40	0:46:29	36	1:04:53	36	0:27:42	39	33		19歳以下男子	10	
38	1507	遠藤 隼斗	26	男	愛知県	1:33:09	0:19:52	54	0:45:46	31	1:05:38	39	0:27:31	36	34		20歳以上男子	24	
39	1502	大國 滉尚	23	男	愛知県	1:33:30	0:18:23	39	0:47:32	42	1:05:55	41	0:27:35	37	35		20歳以上男子	25	
40	1543	高見澤 一伸	50	男	長野県	1:33:41	0:18:46	47	0:43:48	24	1:02:34	27	0:31:07	59	36		20歳以上男子	26	
41	1541	大島 亘晴	49	男	愛知県	1:34:04	0:18:34	42	0:49:10	50	1:07:44	47	0:26:20	28	37		20歳以上男子	27	
42	1566	守屋 和美	49	女	愛知県	1:34:10	0:19:46	53	0:47:04	41	1:06:50	45	0:27:20	35		5	20歳以上女子	1	
43	1533	山岡 宗一郎	43	男	東京都	1:34:38	0:17:55	34	0:48:05	45	1:06:00	44	0:28:38	45	38		20歳以上男子	28	
44	1518	畑中 祐人	31	男	愛知県	1:34:48	0:26:18	68	0:41:40	20	1:07:58	49	0:26:50	32	39		20歳以上男子	29	
45	1552	浜口 聡	56	男	愛知県	1:34:57	0:15:46	26	0:49:52	54	1:05:38	40	0:29:19	52	40		20歳以上男子	30	
46	1554	雨宮 弘	58	男	静岡県	1:35:03	0:18:46	48	0:48:16	46	1:07:02	46	0:28:01	41	41		20歳以上男子	31	
47	1509	高橋 尚也	26	男	愛知県	1:35:38	0:18:40	44	0:49:52	53	1:08:32	51	0:27:06	33	42		20歳以上男子	32	
48	1553	伊藤 正明	57	男	長野県	1:36:32	0:17:38	33	0:46:30	37	1:04:08	31	0:32:24	60	43		20歳以上男子	33	
49	1512	前田 篤成	27	男	愛知県	1:37:00	0:18:42	45	0:49:10	51	1:07:52	48	0:29:08	48	44		20歳以上男子	34	
