総合順位	No.	氏名	性別	年齢区分	合計タイム	Swimラップ	S順	バイクラップ	B順	通過	ランラップ	R順	年代別順位
1	908	二段坂46			2:11:40	0:24:42	2	1:11:51	1	1	0:35:09	1	1
19	903	ライトニング			2:26:28	0:26:01	4	1:22:06	3	3	0:38:21	2	2
42	904	チームTYM			2:32:09	0:24:57	3	1:22:33	5	2	0:44:41	4	3
71	902	高山・葛原・喜多村			2:40:43	0:22:44	1	1:29:11	7	6	0:48:49	7	4
88	907	チームDONGURI			2:44:56	0:32:52	7	1:18:58	2	5	0:53:07	8	5
92	909	クインバウチャー			2:46:02	0:27:45	6	1:29:41	8	7	0:48:36	6	6
99	906	team宙〇純			2:47:20	0:37:04	8	1:28:01	6	8	0:42:16	3	7
158	905	LEGALISS			3:00:29	0:26:23	5	1:22:25	4	4	1:11:41	9	8
233	901	山崎・金子・國澤			3:29:50	0:55:01	9	1:46:28	9	9	0:48:22	5	9
2	102	田邊 稜志	男	30未満	2:15:28	0:25:58	5	1:12:37	1	2	0:36:54	1	1
7	106	大上 雅弘	男	30未満	2:19:37	0:22:31	1	1:14:23	3	1	0:42:44	6	2
9	103	小原 壮貴	男	30未満	2:21:25	0:26:26	6	1:14:26	4	3	0:40:33	5	3
13	134	藤井 一哉	男	30未満	2:24:14	0:28:47	9	1:15:55	5	6	0:39:32	3	4
16	130	寒川 清志郎	男	30未満	2:24:51	0:30:23	13	1:14:15	2	5	0:40:15	4	5
21	108	南屋 拓志	男	30未満	2:26:55	0:30:51	14	1:16:36	6	8	0:39:29	2	6
24	111	川口 諄	男	30未満	2:27:55	0:24:56	4	1:17:19	7	4	0:45:42	11	7
35	104	宇高 樹	男	30未満	2:31:04	0:29:59	12	1:17:45	8	9	0:43:21	8	8
56	115	北村 凱平	男	30未満	2:36:21	0:32:32	18	1:18:38	9	11	0:45:12	10	9
57	128	小林 健人	男	30未満	2:36:23	0:22:41	2	1:23:09	11	7	0:50:34	17	10
61	133	伴野 大成	男	30未満	2:37:22	0:30:58	15	1:19:46	10	10	0:46:39	13	11
79	118	福田 真也	男	30未満	2:42:18	0:32:53	19	1:26:19	15	16	0:43:06	7	12
86	126	高市 宏樹	男	30未満	2:44:53	0:28:48	10	1:23:50	13	12	0:52:16	18	13
94	105	足⽴ 迅	男	30未満	2:46:31	0:34:55	23	1:27:49	16	19	0:43:49	9	14
96	135	中野 暁太	男	30未満	2:47:08	0:37:38	29	1:23:36	12	17	0:45:55	12	15
101	136	中山 寛章	男	30未満	2:47:51	0:27:08	7	1:31:40	21	15	0:49:04	16	16
125	124	田中 智也	男	30未満	2:52:56	0:35:46	25	1:28:17	17	22	0:48:54	15	17
130	110	大畠 遼	男	30未満	2:54:12	0:28:50	11	1:37:53	26	24	0:47:29	14	18
135	132	白井 直也	男	30未満	2:56:22	0:28:16	8	1:34:58	24	20	0:53:09	19	19
146	114	平野 耕一	男	30未満	2:58:07	0:23:17	3	1:34:32	23	14	1:00:19	27	20
148	113	錦織 光輝	男	30未満	2:58:29	0:32:32	17	1:28:58	18	18	0:57:00	24	21
159	129	菅 貴治	男	30未満	3:01:10	0:33:42	22	1:31:45	22	23	0:55:44	21	22
163	109	遠藤 滉治	男	30未満	3:02:45	0:31:43	16	1:31:36	20	21	0:59:27	26	23
182	125	戸田 克⺒	男	30未満	3:06:38	0:33:13	20	1:24:04	14	13	1:09:21	28	24
190	117	横畑 宏樹	男	30未満	3:08:16	0:33:37	21	1:39:32	28	25	0:55:08	20	25
199	131	荻野 大樹	男	30未満	3:11:34	0:44:12	30	1:31:20	19	27	0:56:03	22	26
202	122	神原 智大	男	30未満	3:12:21	0:37:19	27	1:38:52	27	28	0:56:11	23	27
205	121	藤村 貴規	男	30未満	3:12:52	0:37:29	28	1:36:59	25	26	0:58:24	25	28
236	123	池尻 直人	男	30未満	3:30:57	0:34:57	24	1:46:36	29	29	1:09:25	29	29
3	225	山内 光春	男	30代	2:15:44	0:19:56	1	1:15:45	5	1	0:40:04	4	1
10	242	後藤 周作	男	30代	2:22:14	0:26:46	4	1:13:33	2	3	0:41:57	7	2
14	208	稲田 雄	男	30代	2:24:32	0:29:47	13	1:15:08	4	5	0:39:38	3	3
15	252	平本 昌樹	男	30代	2:24:38	0:32:04	20	1:17:36	9	13	0:34:59	1	4
26	237	井上 健一	男	30代	2:29:05	0:28:04	9	1:10:27	1	2	0:50:35	26	5
29	235	浅野 学司	男	30代	2:30:07	0:29:02	11	1:16:26	7	6	0:44:40	13	6
30	216	津和野 太史	男	30代	2:30:10	0:27:59	8	1:21:25	18	12	0:40:47	5	7
33	256	旅人 増勠	男	30代	2:30:43	0:27:57	7	1:23:30	24	17	0:39:17	2	8
34	215	⽵本 翼	男	30代	2:30:54	0:29:57	14	1:14:56	3	4	0:46:01	18	9
37	218	渡辺 好章	男	30代	2:31:38	0:28:23	10	1:20:03	14	9	0:43:13	10	10
