総合順位	No.	氏名	年齢	性別	都道府県	総合記録	ｽｲﾑﾗｯﾌﾟ	S順	T1	ﾊﾞｲｸﾗｯﾌﾟ	B順	T2	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	R順	男子順位	女子順位	年代区分	年代順位
1	213	近藤 浄士	22	男	福島県	1:34:22	0:15:57	3	0:01:21	0:57:27	2	0:00:49	1:14:45	2	0:18:48	9	1		20歳～29歳男子	1
2	228	阿部  有希	32	男	福島県	1:36:44				0:59:09	4	0:01:08	1:16:43	3	0:18:52	11	2		30歳～39歳男子	1
3	211	山田 達	21	男	宮城県	1:37:24	0:17:22	10	0:01:20	0:59:53	6	0:00:54	1:18:35	5	0:17:55	1	3		20歳～29歳男子	2
4	216	高平 丈	22	男	宮城県	1:37:26	0:16:22	5	0:01:20	1:00:42	8	0:01:06	1:18:25	4	0:17:55	3	4		20歳～29歳男子	3
5	401	岩渕 努	40	男	宮城県	1:38:21	0:18:48	18	0:01:31	0:58:17	3	0:00:58	1:18:36	6	0:18:47	8	5		40歳～49歳男子	1
6	220	澤村 悠里	25	男	青森県	1:39:55	0:16:38	6	0:01:53	1:00:20	7	0:01:02	1:18:51	7	0:20:03	25	6		20歳～29歳男子	4
7	203	樋口  碧生	20	男	宮城県	1:40:19	0:16:18	4	0:01:32	1:03:48	22	0:00:46	1:21:38	11	0:17:55	2	7		20歳～29歳男子	5
8	240	伊藤 陽平	19	男		1:40:38	0:17:37	11	0:01:57	1:00:56	9	0:00:55	1:20:29	9	0:19:14	13	8		19歳以下男子	1
9	232	服部 勇佑	34	男	岩手県	1:41:39	0:20:04	29	0:02:08	0:59:33	5	0:01:02	1:21:45	12	0:18:52	10	9		30歳～39歳男子	2
10	212	須賀 祥太	22	男	神奈川県	1:41:43	0:15:48	1	0:01:31	1:02:36	17	0:01:06	1:19:55	8	0:20:42	31	10		20歳～29歳男子	6
11	217	熊谷 優希	23	男	宮城県	1:41:51	0:19:14	23	0:01:38	1:01:12	10	0:01:06	1:22:04	13	0:18:41	7	11		20歳～29歳男子	7
12	206	國井 優大	20	男	宮城県	1:42:30	0:15:51	2	0:01:36	1:04:07	26	0:00:54	1:21:34	10	0:20:02	24	12		20歳～29歳男子	8
13	209	丸山 吏紀	21	男	宮城県	1:42:56	0:16:58	8	0:01:41	1:04:07	25	0:01:07	1:22:47	14	0:19:02	12	13		20歳～29歳男子	9
14	224	田澤 拓也	28	男	岩手県	1:43:24	0:19:09	21	0:01:58	1:02:47	18	0:01:08	1:23:54	19	0:18:22	4	14		20歳～29歳男子	10
15	210	日野 龍杜	21	男	宮城県	1:44:12	0:17:58	16	0:01:55	1:04:57	34	0:00:48	1:24:50	25	0:18:34	6	15		20歳～29歳男子	11
16	219	菊地 優志	25	男	千葉県	1:44:22	0:20:00	27	0:01:31	1:02:07	14	0:00:53	1:23:38	15	0:19:51	20	16		20歳～29歳男子	12
17	552	中込 英夫	58	男	神奈川県	1:44:39	0:16:58	7	0:01:48	1:05:19	36	0:01:17	1:24:05	23	0:19:17	14	17		50歳～59歳男子	1
18	207	忍田 雄哉	21	男	千葉県	1:44:53	0:19:56	26	0:01:38	1:02:17	15	0:01:02	1:23:52	18	0:19:59	23	18		20歳～29歳男子	13
19	218	平塚 純太	23	男	宮城県	1:44:57	0:20:36	36	0:01:33	1:01:49	12	0:01:03	1:23:58	22	0:19:55	21	19		20歳～29歳男子	14
20	507	釈迦野 亮	50	男	東京都	1:45:47	0:21:38	41				0:00:50	1:25:11	26	0:19:46	18	20		50歳～59歳男子	2
21	564	沢田 秀二	62	男	宮城県	1:45:54				1:02:53	20	0:01:19	1:24:37	24	0:19:59	22	21		60歳～69歳男子	1
22	421	岡田 優	47	男	千葉県	1:46:34	0:17:40	12	0:02:00	1:04:08	27	0:01:30	1:23:48	17	0:21:16	35	22		40歳～49歳男子	2
23	423	吉田 拓也	48	男	愛知県	1:46:52				1:03:23	21	0:01:11	1:25:51	28	0:19:50	19	23		40歳～49歳男子	3
24	205	下久保 信之介	20	男	東京都	1:47:40				1:02:47	19	0:00:59	1:23:57	21	0:22:43	51	24		20歳～29歳男子	15
25	201	中本 純平	18	男	大阪府	1:48:37	0:19:12	22	0:01:46	1:08:17	49	0:00:48	1:29:16	40	0:18:33	5	25		19歳以下男子	2
26	420	秋山 優	47	男	宮城県	1:48:37	0:20:34	34	0:02:06	1:03:55	23	0:01:23	1:26:35	30	0:20:39	30	26		40歳～49歳男子	4
27	221	池亀 晃	25	男	茨城県	1:49:06	0:22:15	47	0:01:58	1:04:16	29	0:00:56	1:28:28	35	0:19:42	17	27		20歳～29歳男子	16
28	208	渡邉 倖大	21	男	福島県	1:49:16	0:20:01	28	0:01:57	1:01:57	13	0:00:54	1:23:55	20	0:24:26	74	28		20歳～29歳男子	17
29	231	松本 功也	34	男	岩手県	1:49:27	0:19:24	24	0:01:59	1:04:37	30	0:01:37	1:26:00	29	0:21:50	39	29		30歳～39歳男子	3
