総合順位	No.	氏名	年齢	性別	居住地	総合記録	スイムラップ	S順	バイクラップ	B順	スプリット	通過	ランラップ	R順	男子順位	女子順位	年代区分	年代順位
1	417	武田 空我	20	男	東京都	1:02:12	0:09:14	1	0:35:24	3	0:44:38	1	0:17:34	1	1		29歳以下男子	
2	423	橋本 有広	26	男	秩父郡	1:04:40	0:12:36	10	0:34:11	1	0:46:47	3	0:17:53	3	2		29歳以下男子	
3	416	山本 結仁	20	男	神奈川県	1:05:16	0:11:09	6	0:35:09	2	0:46:18	2	0:18:58	6	3		29歳以下男子	
4	412	上條 琉聖	19	男	深谷市	1:09:41	0:10:14	3	0:37:31	7	0:47:45	4	0:21:56	14	4		29歳以下男子	
5	421	高島 志郎	23	男	東京都	1:10:15	0:12:59	11	0:36:15	4	0:49:14	6	0:21:01	11	5		29歳以下男子	
6	414	須賀 祥太	20	男	神奈川県	1:10:21	0:09:28	2	0:38:34	10	0:48:02	5	0:22:19	16	6		29歳以下男子	
7	443	出口 雄二	53	男	福島県	1:10:32	0:13:59	16	0:36:30	5	0:50:29	8	0:20:03	9	7		50歳代男子	1
8	435	山本 泰資	42	男	静岡県	1:10:35	0:12:35	9	0:36:58	6	0:49:33	7	0:21:02	12	8		40歳代男子	1
9	410	高田 怜志	19	男	千葉県	1:10:52	0:10:49	4	0:41:33	17	0:52:22	13	0:18:30	5	9		29歳以下男子	1
10	406	佐藤 らら	21	女	東京都	1:11:02	0:11:03	5	0:40:21	13	0:51:24	11	0:19:38	8		1	29歳以下女子	
11	407	今関 優海	22	女	神奈川県	1:12:04	0:11:17	7	0:40:30	14	0:51:47	12	0:20:17	10		2	29歳以下女子	
12	420	木内 悠斗	23	男	東京都	1:12:44	0:13:39	15	0:37:41	8	0:51:20	10	0:21:24	13	10		29歳以下男子	2
13	413	今江 翔大	20	男	神奈川県	1:12:45	0:16:10	24	0:38:10	9	0:54:20	15	0:18:25	4	11		29歳以下男子	3
14	437	浅香 聡	45	男	東京都	1:13:06	0:11:55	8	0:38:53	11	0:50:48	9	0:22:18	15	12		40歳代男子	2
15	411	齋藤 智哉	19	男	神奈川県	1:13:14	0:15:24	21	0:40:06	12	0:55:30	16	0:17:44	2	13		29歳以下男子	4
