順位	No.	氏名	年齢	性別	カテゴリ	所属	総合記録	スイム	バイク	ラン	備考
1	236	岡田 和幸	30	男	2部	姫路市	2:21:12	0:33:25	1:08:02	0:39:45	ＧＯＴＵ 総合１位
2	202	増田 大成	19	男	2部	香芝市	2:21:55	0:27:56	1:11:38	0:42:21	大阪体育大学 総合２位
3	252	三木 琢矢	46	男	2部	たつの市	2:23:47	0:31:07	1:08:32	0:44:08	総合３位
4	284	井田 勲	44	男	2部	香芝市	2:26:29	0:28:11	1:09:06	0:49:12	シロッコ 総合４位
5	265	大塚 雄樹	45	男	2部	貝塚市	2:29:37	0:30:52	1:13:55	0:44:50	和歌山三菱鉄人会 総合５位
6	312	丸岡 正和	42	男	2部	大阪市	2:33:08	0:33:20	1:11:28	0:48:20	総合６位
7	269	堀尾 勝英	46	男	2部	姫路市	2:33:14	0:30:24	1:14:50	0:48:00	総合７位
8	226	McAuliffe Sean3 3 ﾏｺ大ｰﾘ阪ﾌ市 ｼｮｰﾝ		男	2部		2:34:55	0:32:41	1:12:23	0:49:51	総合８位
9	229	春井 康之	35	男	2部	姫路市	2:37:13	0:34:16	1:14:30	0:48:27	３０歳代１位
10	305	真崎 義久	51	男	2部	京都市	2:37:21	0:36:09	1:12:46	0:48:26	５０歳代１位
11	238	立花 淳志	32	男	2部	川西市	2:38:53	0:31:52	1:19:26	0:47:35	３０歳代２位
12	213	岩川 丈亮	23	男	2部	尼崎市	2:39:05	0:29:05	1:19:31	0:50:29	ビースト ２０歳代１位
13	271	佐藤 義郎	47	男	2部	京都市	2:39:34	0:32:42	1:16:51	0:50:01	五月山ウォンバット ４０歳代１位
14	209	平山 大介	22	男	2部	大阪市	2:39:58	0:39:27	1:16:22	0:44:09	２０歳代２位
15	201	辻 真好	24	男	2部	東近江市	2:40:10	0:34:43	1:20:22	0:45:05	一本道RC ２０歳代３位
16	287	田畑 稔	40	男	2部	堺市	2:40:44	0:34:40	1:20:18	0:45:46	４０歳代２位
17	224	吉岡 伸章	30	男	2部	姫路市	2:41:26	0:33:12	1:16:53	0:51:21	３０歳代３位
18	258	三輪 敦	42	男	2部	箕面市	2:43:05	0:31:52	1:17:55	0:53:18	４０歳代３位
19	361	武田 久美子	54	女	2部	高槻市	2:43:19	0:33:09	1:17:23	0:52:47	Teamケロさん 総合１位
20	250	松村 元弘	43	男	2部	茨木市	2:43:25	0:31:16	1:19:26	0:52:43	
21	205	廣田 一輝	22	男	2部	三田市	2:43:39	0:39:40	1:19:38	0:44:21	
22	282	藤田 博之	49	男	2部	京都市	2:44:46	0:38:04	1:18:20	0:48:22	
23	270	眞弓 勝志	46	男	2部	堺市	2:44:49	0:36:34	1:17:12	0:51:03	
24	225	玉井 孝司	33	男	2部	大阪市	2:46:01	0:33:19	1:17:21	0:55:21	GOTU
25	218	西尾 昭宏	32	男	2部	大阪市	2:46:13	0:31:49	1:22:13	0:52:11	GOTU
26	302	神戸 昭雄	50	男	2部	栗東市	2:46:51	0:36:40	1:17:50	0:52:21	５０歳代２位
27	263	出野 正悟	44	男	2部	野洲市	2:47:30	0:36:49	1:18:56	0:51:45	
28	266	尾田 政義	45	男	2部	長岡京市	2:47:36	0:36:23	1:19:24	0:51:49	
29	233	齊藤 尊久	37	男	2部	京都市	2:47:41	0:40:41	1:22:17	0:44:43	
30	310	三木 学	62	男	2部	姫路市	2:49:07	0:34:21	1:21:51	0:52:55	クライム 60歳以上１位
31	280	安田 圭宏	45	男	2部	大和高田市	2:49:45	0:41:52	1:20:53	0:47:00	ヤスダケミカル
32	278	坂田 篤	43	男	2部	半田市	2:50:09	0:33:36	1:19:17	0:57:16	
33	240	沼田 弥寿久	39	男	2部	加古川市	2:50:29	0:35:21	1:23:21	0:51:47	
34	231	泉 勝治	37	男	2部	豊中市	2:51:36	0:41:53	1:21:03	0:48:40	ＡＤＥＸ株式会社日本経済広告
35	256	都築 臨太郎	40	男	2部	明石市	2:52:12	0:29:51	1:23:34	0:58:47	
36	264	西田 達矢	44	男	2部	大阪市	2:54:21	0:34:34	1:22:25	0:57:22	
37	298	山村 重光	55	男	2部	佐用郡	2:55:02	0:36:51	1:22:50	0:55:21	相生ｺｽﾓｽ ５０歳代３位
38	274	柳井 英之	48	男	2部	大阪市	2:55:04	0:33:20	1:24:47	0:56:57	
39	355	土田 聡子	45	女	2部	京丹後市	2:56:20	0:42:43	1:23:20	0:50:17	総合２位
40	246	鈴木 幸治	34	男	2部	久留米市	2:56:35	0:38:59	1:20:46	0:56:50	
41	291	井上 泰三	43	男	2部	高槻市	2:56:58	0:37:12	1:21:36	0:58:10	アスリートライオン
42	268	友井 則美	45	男	2部	三原市	2:57:01	0:30:31	1:26:40	0:59:50	
43	232	西村 武士	37	男	2部	吹田市	2:57:43	0:38:56	1:28:17	0:50:30	リンメット
44	207	北原 文武	28	男	2部	嘉麻市	2:58:08	0:37:31	1:22:40	0:57:57	
45	357	辻野 純子	44	女	2部	大阪市	2:58:13	0:39:14	1:25:08	0:53:51	総合３位
46	285	清水 幹也	46	男	2部	大津市	2:58:34	0:36:05	1:25:49	0:56:40	
47	206	青野 泰正	25	男	2部	京都市	2:59:02	0:30:02	1:29:06	0:59:54	
48	360	南口 多見子	54	女	2部	京都市	3:01:18	0:32:30	1:29:39	0:59:09	総合４位
49	303	政井 悟	54	男	2部	三鷹市	3:01:21	0:37:59	1:24:13	0:59:09	
50	292	歌原 秀晃	44	男	2部	神戸市	3:02:03	0:37:03	1:23:04	1:01:56	
51	216	田中 雅士	28	男	2部	岸和田市	3:02:21	0:35:47	1:24:26	1:02:08	
52	273	光嶋 太郎	48	男	2部	川西市	3:03:51	0:44:27	1:22:44	0:56:40	
53	248	小野 友義	36	男	2部	倉敷市	3:04:43	0:40:40	1:22:39	1:01:24	
54	288	吉本 拓夫	40	男	2部	箕面市	3:04:59	0:40:08	1:21:55	1:02:56	
55	306	尼崎 佳三	61	男	2部	赤穂市	3:05:35	0:39:05	1:28:12	0:58:18	６０歳以上２位
56	251	笹井 卓巳	44	男	2部	茨木市	3:05:46	0:33:41	1:24:40	1:07:25	
57	210	横江 卓幸	28	男	2部	京都市	3:06:33	0:36:35	1:28:17	1:01:41	
58	352	清水 絢子	39	女	2部	大阪市	3:07:25	0:39:59	1:20:07	1:07:19	チューズトゥファイト 総合５位
59	208	松浦 吉晃	29	男	2部	大津市	3:08:00	0:37:42	1:19:32	1:10:46	
60	259	今井 康彦	43	男	2部	相生市	3:08:53	0:34:46	1:25:17	1:08:50	
61	275	安良田 法生	49	男	2部	瀬戸内市	3:09:05	0:41:37	1:22:16	1:05:12	
62	279	松原 岳生	41	男	2部	相楽郡	3:09:29	0:40:24	1:26:33	1:02:32	奈良学園小学校
63	257	田中 伸和	41	男	2部	伊丹市	3:10:13	0:40:57	1:28:52	1:00:24	
64	243	重永 拓郎	39	男	2部	摂津市	3:10:31	0:44:22	1:21:11	1:04:58	しげなが歯科
65	313	山高 可継	52	男	2部	大阪市	3:10:58	0:36:12	1:21:52	1:12:54	
66	295	高橋 和宏	49	男	2部	たつの市	3:11:31	0:44:39	1:25:07	1:01:45	
67	277	田中 純一	49	男	2部	半田市	3:11:52	0:39:47	1:22:28	1:09:37	
68	212	高橋 良介	29	男	2部	西宮市	3:12:23	0:44:14	1:26:41	1:01:28	
69	297	岸田 安弘	53	男	2部	和泉市	3:13:22	0:44:13	1:28:28	1:00:41	ﾁｰﾑ･ｻﾞ･ｾﾞﾛ
70	241	戸田 貴英	37	男	2部	西脇市	3:14:48	0:41:29	1:33:09	1:00:10	
71	308	小松原 章	67	男	2部	田辺市	3:17:00	0:41:04	1:29:02	1:06:54	６０歳以上３位
72	235	道下 智章	38	男	2部	池田市	3:17:42	0:41:40	1:30:04	1:05:58	
73	311	横山 孝	66	男	2部	赤穂郡	3:18:04	0:38:01	1:34:10	1:05:53	Ｂ＆Ｇ上郡
74	217	中内 晋二郎	32	男	2部	鳥取市	3:18:55	0:47:36	1:25:01	1:06:18	
75	362	太田 千代	52	女	2部	葛城市	3:18:57	0:46:04	1:40:46	0:52:07	総合６位
76	301	日下 俊彦	52	男	2部	豊能郡	3:19:42	0:46:13	1:33:33	0:59:56	チームアンカー
77	254	真鍋 正則	46	男	2部	広島市	3:21:38	0:44:18	1:22:00	1:15:20	ﾁｰﾑ真鍋家
78	249	藤井 利通	40	男	2部	福山市	3:22:17	0:45:15	1:31:44	1:05:18	
79	253	宮野 直規	46	男	2部	長岡京市	3:23:07	0:51:54	1:37:07	0:54:06	
80	227	高野 健吾	34	男	2部	東村山市	3:25:00	0:42:03	1:33:45	1:09:12	
81	228	芝野 剛史	35	男	2部	横浜市	3:25:42	0:41:43	1:37:02	1:06:57	GLENN
82	304	樋上 慎二	50	男	2部	大阪市	3:25:59	0:58:34	1:28:05	0:59:20	大阪高裁
83	276	難波 壮一	49	男	2部	大阪市	3:26:12	0:55:32	1:29:02	1:01:38	
84	314	大村 浩之	42	男	2部	吹田市	3:26:57	0:47:16	1:31:46	1:07:55	
85	203	神納 夢大	20	男	2部	宇治市	3:27:13	1:07:49	1:26:33	0:52:51	チームサンヒルズ
86	223	上山 秀樹	30	男	2部	堺市	3:28:26	0:34:29	1:36:54	1:17:03	GOTU
87	309	大久保 利昭	71	男	2部	宝塚市	3:33:21	0:44:31	1:35:59	1:12:51	㈱ｻｲｺｰ
88	267	嶌岡 正浩	45	男	2部	桜井市	3:33:48	0:52:58	1:30:51	1:09:59	シロッコ
89	351	植村 真里	33	女	2部	大阪市	3:34:14	0:41:49	1:42:35	1:09:50	総合７位
90	204	大場 礼	23	男	2部	宇治市	3:34:43	0:46:22	1:37:57	1:10:24	チームサンヒルズ
91	286	吉田 秀章	43	男	2部	大阪市	3:35:43	0:52:26	1:36:29	1:06:48	
92	272	渡部 慎	47	男	2部	神戸市	3:36:44	0:45:57	1:38:11	1:12:36	
93	260	若菜 敏幸	43	男	2部	草津市	3:38:12	0:45:44	1:30:51	1:21:37	ヤサカ
94	299	増田 一成	50	男	2部	香芝市	3:40:58	0:53:20	1:35:34	1:12:04	
95	356	森本 弥生	47	女	2部	鳥取市	3:41:15	0:46:05	1:35:55	1:19:15	総合８位
96	222	今野 千秋	37	男	2部	港区	3:42:43	0:50:09	1:33:03	1:19:31	
97	289	笹川 大輔	42	男	2部	大阪市	3:46:35	0:40:54	1:32:12	1:33:29	
98	239	水溪 悠樹	31	男	2部	高槻市	3:47:11	0:44:35	1:39:15	1:23:21	創志学園
99	359	ﾍﾞｱｰﾃ･ﾌｫﾝ･ﾃﾞｱ5･2ｵｽﾃ港ﾝ区		女	2部		3:47:40	0:46:46	1:44:28	1:16:26	５０歳代１位
100	307	大和 義幸	65	男	2部	徳島市	3:52:30	0:36:46	1:41:57	1:33:47	ﾊｯﾋﾟｰRD
101	358	谷本 葉子	41	女	2部	広島市	3:54:33	0:51:44	1:36:47	1:26:02	４０歳代１位
102	293	池谷 拓	44	男	2部	玉野市	3:56:08	0:40:43	1:36:19	1:39:06	
103	281	藤本 哲也	42	男	2部	向日市	3:59:29	0:38:47	1:28:45	1:51:57	
104	353	伊藤 清佳	39	女	2部	城陽市	4:00:10	0:45:49	1:44:11	1:30:10	３０歳代１位
105	300	真鍋 康二	59	男	2部	倉敷市	4:11:33	0:59:31	1:43:27	1:28:35	
106	283	土田 潤一	44	男	2部	京都市	4:20:26	0:57:20	1:54:46	1:28:20	
