総合順位	No.	氏名	年齢	性別	居住地	総合記録	1ランラップ	1R順	バイクラップ	B順	スプリット	通過	2ランラップ	2R順	男子順位	女子順位	年齢区分	年齢別順
1	501	原田 和範	31	男	滋賀県	2:16:59	0:19:40	1	1:34:09	2	1:53:49	1	0:23:10	1	1
2	689	原田 稔久	29	男	滋賀県	2:19:14	0:21:39	2	1:32:42	1	1:54:21	2	0:24:53	3	2
3	568	黒田 厚司	51	男	福井県	2:23:00	0:22:06	3	1:35:31	4	1:57:37	3	0:25:23	5	3		50-54
4	537	林 純也	40	男	加賀市	2:24:15	0:23:11	8	1:34:55	3	1:58:06	4	0:26:09	7	4		40-44
5	509	池見 真一	47	男	能美市	2:26:14	0:22:41	5	1:39:09	7	2:01:50	5	0:24:24	2	5		45-49
6	522	橋本 勝太郎	26	男	加賀市	2:27:14	0:22:40	4	1:39:12	8	2:01:52	6	0:25:22	4	6
7	556	清水 桂	39	男	大阪府	2:31:05	0:24:29	11	1:40:26	12	2:04:55	10	0:26:10	8	7		35-39	1
8	683	桜吉 啓介	55	男	金沢市	2:32:42	0:24:40	13	1:40:37	13	2:05:17	11	0:27:25	11	8		55-59	1
9	534	山崎 裕平	38	男	かほく市	2:33:40	0:24:36	12	1:39:46	9	2:04:22	8	0:29:18	16	9		35-39	2
10	678	橋本 知人	43	男	金沢市	2:34:16	0:24:29	10	1:42:47	16	2:07:16	13	0:27:00	10	10		40-44	1
11	519	大木本 泉久	59	男	滋賀県	2:34:57	0:25:00	14	1:39:52	10	2:04:52	9	0:30:05	19	11		55-59	2
12	673	磯貝 宇	46	男	金沢市	2:36:01	0:22:52	6	1:40:10	11	2:03:02	7	0:32:59	31	12		45-49	1
13	647	細沢 一夫	43	男	金沢市	2:39:19	0:26:26	20	1:38:52	6	2:05:18	12	0:34:01	36	13		40-44	2
14	532	松坂 義隆	60	男	滋賀県	2:39:46	0:26:10	19	1:45:34	20	2:11:44	17	0:28:02	12	14		60-64	1
15	548	寺本 忠利	65	男	愛知県	2:43:25	0:26:52	27	1:47:25	25	2:14:17	23	0:29:08	13	15		65-69	1
16	538	岡崎 道男	64	男	兵庫県	2:43:36	0:27:07	29	1:47:16	24	2:14:23	25	0:29:13	14	16		60-64	2
