総合順位	No.	氏名	年齢	性別	登録地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	Ｔ１	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齡別順	選手権順
1	826	平山 悠	15	男	東京都	0:35:25	0:04:40	1	0:02:53	0:17:25	1	0:24:58	1	0:10:27	5	1		20歳未満男子	1	
2	822	徳地 駿斗	15	男	滋賀県	0:36:32	0:05:20	2	0:02:58	0:18:32	7	0:26:50	2	0:09:42	1	2		20歳未満男子	2	
3	820	平良 幸翼	15	男	沖縄県	0:37:11	0:05:36	6	0:02:53	0:18:39	9	0:27:08	6	0:10:03	2	3		20歳未満男子	3	
4	827	榊 大地	15	男	愛知県	0:37:44	0:05:51	10	0:03:02	0:18:37	8	0:27:30	8	0:10:14	3	4		20歳未満男子	4	1
5	823	渡辺 葵	15	男	埼玉県	0:37:49	0:05:30	5	0:03:07	0:18:24	6	0:27:01	4	0:10:48	8	5		20歳未満男子	5	
6	821	滝本 弦太朗	15	男	福井県	0:38:26	0:06:12	14	0:03:06	0:17:59	3	0:27:17	7	0:11:09	9	6		20歳未満男子	6	
7	825	延命 結斗	15	男	石川県	0:38:29	0:05:25	4	0:03:19	0:18:23	5	0:27:07	5	0:11:22	10	7		20歳未満男子	7	
8	834	竹内 鉄平	49	男	愛知県	0:39:21	0:05:24	3	0:03:43	0:17:53	2	0:27:00	3	0:12:21	17	8		20歳以上男子	1	
9	816	知名 純希	14	男	沖縄県	0:39:26	0:06:08	12	0:03:12	0:19:21	10	0:28:41	10	0:10:45	7	9		20歳未満男子	8	
10	804	岡 美陽	14	女	京都府	0:39:59	0:05:45	7	0:03:16	0:19:27	11	0:28:28	9	0:11:31	12		1	20歳未満女子	1	
11	814	宇野 奎舟	13	男	福井県	0:40:11	0:06:13	15	0:03:14	0:20:17	14	0:29:44	12	0:10:27	6	10		20歳未満男子	9	
12	802	望月 梨愛	13	女	滋賀県	0:40:20	0:06:35	17	0:03:07	0:20:23	15	0:30:05	15	0:10:15	4		2	20歳未満女子	2	
13	806	川森 ひなの	14	女	三重県	0:41:33	0:06:09	13	0:03:25	0:20:33	17	0:30:07	16	0:11:26	11		3	20歳未満女子	3	
14	805	稲井 悠華	14	女	徳島県	0:41:43	0:06:33	16	0:03:13	0:20:16	13	0:30:02	14	0:11:41	14		4	20歳未満女子	4	
15	840	生井 和平	53	男	東京都	0:42:00	0:07:24	18	0:03:55	0:18:13	4	0:29:32	11	0:12:28	18	11		20歳以上男子	2	
16	824	渡邉 瑠泉	15	男	愛知県	0:42:49	0:05:51	9	0:03:33	0:20:26	16	0:29:50	13	0:12:59	20	12		20歳未満男子	10	2
17	818	小西 勇飛	14	男	愛知県	0:43:33	0:08:01	24	0:03:27	0:20:15	12	0:31:43	17	0:11:50	15	13		20歳未満男子	11	3
18	812	鈴木 彩介	13	男	京都府	0:44:18	0:07:50	21	0:03:38	0:21:09	20	0:32:37	20	0:11:41	13	14		20歳未満男子	12	
19	811	篠田 伊吹	12	男	愛知県	0:46:01	0:08:40	28	0:03:59	0:21:15	22	0:33:54	22	0:12:07	16	15		20歳未満男子	13	4
20	819	松居 遼太郎	14	男	愛知県	0:46:28	0:08:44	29	0:03:47	0:21:25	23	0:33:56	23	0:12:32	19	16		20歳未満男子	14	5
21	813	赤木 智哉	13	男	京都府	0:46:56	0:07:50	22	0:03:38	0:21:14	21	0:32:42	21	0:14:14	21	17		20歳未満男子	15	
22	801	平山 更	13	女	東京都	0:47:25	0:05:45	8	0:03:50	0:23:00	29	0:32:35	19	0:14:50	25		5	20歳未満女子	5	
23	815	田中 蓮	13	男	福井県	0:48:22	0:07:49	20	0:03:36	0:20:45	19	0:32:10	18	0:16:12	29	18		20歳未満男子	16	
24	817	竹内 琥珀	14	男	愛知県	0:48:33	0:07:35	19	0:04:29	0:22:09	25	0:34:13	24	0:14:20	22	19		20歳未満男子	17	6
25	803	五藤 穂	13	女	愛知県	0:50:30	0:06:02	11	0:04:41	0:23:55	34	0:34:38	25	0:15:52	28		6	20歳未満女子	6	1
26	835	中山 公威	50	男	愛知県	0:50:58	0:08:26	26	0:06:00	0:20:41	18	0:35:07	26	0:15:51	27	20		20歳以上男子	3	
27	838	小林 勝太郎	52	男	愛知県	0:52:16	0:09:06	30	0:06:11	0:22:10	26	0:37:27	27	0:14:49	24	21		20歳以上男子	4	
28	808	河田 綾恵	41	女	奈良県	0:54:47	0:08:31	27	0:05:30	0:24:20	35	0:38:21	28	0:16:26	30		7	20歳以上女子	1	
29	841	矢田 雅之	54	男	愛知県	0:56:01	0:11:49	35	0:06:01	0:22:23	27	0:40:13	32	0:15:48	26	22		20歳以上男子	5	
30	831	青木 拓也	33	男	滋賀県	0:57:48	0:12:21	38	0:07:50	0:23:07	30	0:43:18	36	0:14:30	23	23		20歳以上男子	6	
31	836	篠田 大博	51	男	三重県	0:58:52	0:12:07	37	0:07:45	0:21:59	24	0:41:51	33	0:17:01	34	24		20歳以上男子	7	
32	842	蔵地 章仁	55	男	愛知県	0:59:04	0:11:24	33	0:06:51	0:24:21	36	0:42:36	35	0:16:28	31	25		20歳以上男子	8	
33	844	古井 佳雄	66	男	愛知県	0:59:12	0:09:54	32	0:06:26	0:23:19	31	0:39:39	29	0:19:33	40	26		20歳以上男子	9	
34	828	原 琉之真	20	男	愛知県	0:59:21	0:08:02	25	0:08:34	0:23:29	32	0:40:05	30	0:19:16	39	27		20歳以上男子	10	
35	843	山本 成良	56	男	愛知県	1:00:00	0:12:24	39	0:06:49	0:22:50	28	0:42:03	34	0:17:57	36	28		20歳以上男子	11	
36	829	林 勇輝	22	男	愛知県	1:01:33	0:11:36	34	0:08:02	0:25:04	39	0:44:42	37	0:16:51	32	29		20歳以上男子	12	
37	837	原 紋登	51	男	愛知県	1:02:24	0:07:53	23	0:08:43	0:23:34	33	0:40:10	31	0:22:14	42	30		20歳以上男子	13	
38	833	森田 雄一	41	男	愛知県	1:03:26	0:09:49	31	0:10:41	0:24:35	37	0:45:05	38	0:18:21	37	31		20歳以上男子	14	
39	807	MINAMIHAR ALINE	34	女	愛知県	1:04:33	0:13:13	42	0:06:53	0:27:09	40	0:47:15	40	0:17:18	35		8	20歳以上女子	2	
40	839	松原 昌弘	52	男	愛知県	1:05:03	0:11:52	36	0:06:30	0:27:28	41	0:45:50	39	0:19:13	38	32		20歳以上男子	15	
41	846	竹内 元一	75	男	愛知県	1:14:02	0:12:42	40	0:11:04	0:24:50	38	0:48:36	41	0:25:26	43	33		20歳以上男子	16	
42	845	小宮山 哲生	68	男	愛知県	1:20:40	0:16:58	43	0:12:02	0:30:34	42	0:59:34	42	0:21:06	41	34		20歳以上男子	17	
43	810	多胡 パウラ	44	女	愛知県	1:21:39	0:12:49	41	0:06:26	0:45:29	43	1:04:44	43	0:16:55	33		9	20歳以上女子	3	
DNS	809	丸山 文枝	42	女	愛知県													20歳以上女子		
DNS	830	加藤 凌麻	32	男	愛知県													20歳以上男子		
