Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
73	Tim Bradley	M	M60-64	1	10:16:24	1:18:57	5:17:40	3:26:39
74	Brennen Field	M	M25-29	10	10:16:40	0:58:05	5:15:06	3:55:56
75	Morey Smith	M	M18-24	7	10:16:48	1:10:32	5:36:58	3:17:51
76	Jason Crisp	M	M45-49	14	10:17:13	1:08:27	5:29:01	3:25:05
77	Craig Schneider	M	M25-29	11	10:17:16	1:10:42	5:34:48	3:22:06
78	Bobby Morales	M	M35-39	15	10:19:01	1:08:51	5:11:13	3:41:07
79	Will Karnick	M	M18-24	8	10:21:32	1:10:40	5:37:43	3:18:36
80	Ben Goldstein	M	M25-29	12	10:22:24	0:56:38	5:35:26	3:38:33
81	Tyler Hatton	M	M30-34	20	10:23:31	1:09:56	5:17:53	3:40:29
82	Jeffrey Krotche	M	M18-24	9	10:23:32	0:56:35	5:37:37	3:39:28
83	Liam Belson	M	M25-29	13	10:23:44	1:15:48	5:19:49	3:34:00
84	Danilo Hojo Navarro	M	M35-39	16	10:23:49	1:05:08	5:34:35	3:32:36
85	Matthew Saverin	M	M30-34	21	10:24:00	1:04:06	5:36:16	3:32:18
86	Carlos Echeverría	M	M45-49	15	10:24:18	1:10:24	5:26:49	3:35:23
87	Dennis Forst	M	M35-39	17	10:24:27	1:05:09	5:18:51	3:48:57
88	Dougie Cowan	M	M18-24	10	10:25:42	1:04:58	5:39:57	3:30:51
89	Tony Battah	M	M30-34	22	10:26:32	1:23:31	5:28:40	3:17:48
90	Scott Sanders	M	M45-49	16	10:26:54	0:59:45	5:40:30	3:34:38
91	Scott Yamada	M	M40-44	9	10:27:06	0:58:59	5:26:34	3:51:17
92	Matthew Sweeney	M	M18-24	11	10:27:41	1:14:31	5:50:25	3:12:25
93	Luke Aldrich	M	M40-44	10	10:27:48	1:07:38	5:35:18	3:33:36
94	Steven Wert	M	M35-39	18	10:27:53	1:23:25	5:39:51	3:13:37
95	Andrew Schroeder	M	M45-49	17	10:28:02	1:18:52	5:42:09	3:11:04
96	Jonathan Whitehead	M	M60-64	2	10:28:04	0:59:26	5:37:31	3:35:52
97	Austen Scudder	M	M40-44	11	10:28:29	1:04:37	5:19:07	3:52:34
98	Tom Laken	M	M25-29	14	10:28:45	1:06:15	5:24:29	3:47:00
99	Bill Kessler	M	M50-54	3	10:29:38	1:06:14	5:47:12	3:18:29
100	Martin Treu	M	M45-49	18	10:29:56	1:00:13	5:38:19	3:36:41
101	River Elms	M	M25-29	15	10:30:10	0:51:31	6:05:41	3:17:08
102	Christian Ricks	M	M40-44	12	10:30:25	1:06:37	5:28:41	3:44:49
103	Thaddeus Ingersoll	M	M55-59	1	10:31:01	0:53:16	5:54:03	3:32:18
104	Leah Winckler	F	F30-34	1	10:31:03	0:57:33	5:32:41	3:49:33
105	Sebastien Ros	M	M45-49	19	10:31:42	1:06:00	5:29:58	3:42:44
106	Brian Slinger	M	M45-49	20	10:31:56	0:55:41	5:31:51	3:51:22
107	Bruno Glaser	M	M55-59	2	10:32:30	1:07:40	5:26:57	3:47:05
108	Aidan Jacobsen	M	M18-24	12	10:32:34	0:52:15	5:30:03	3:59:38
109	Drew Boysen	M	M30-34	23	10:32:40	1:14:21	5:23:40	3:41:45
110	David Jones	M	M35-39	19	10:33:02	1:10:17	5:25:25	3:46:24
111	Daniel Regalado	M	M35-39	20	10:34:06	1:23:52	6:00:46	2:53:58
112	Daniel Smith	M	M18-24	13	10:34:17	1:06:50	5:40:36	3:36:36
113	Friedrich Dietz	M	M50-54	4	10:34:21	1:08:31	5:33:58	3:36:40
114	Benjamin Spence	M	M45-49	21	10:36:03	0:55:52	5:40:48	3:46:20
115	Jeffrey Kinlan	M	M40-44	13	10:36:47	1:09:35	5:54:34	3:19:50
116	Elliott Kerbel	M	M30-34	24	10:37:02	0:57:17	5:48:09	3:38:01
117	Jeremy Sikkema	M	M40-44	14	10:37:41	1:05:15	5:20:00	4:01:23
118	Evan Deutsch	M	M50-54	5	10:37:45	1:08:14	5:17:51	4:02:03
119	Doug Farre	M	M35-39	21	10:38:01	1:10:02	5:41:20	3:32:27
120	Kent Porter	M	M40-44	15	10:38:48	1:21:03	5:09:43	3:54:49
121	Neil Browne	M	M30-34	25	10:38:48	1:00:19	5:50:28	3:37:37
122	Nicholas Schremp	M	M35-39	22	10:39:02	1:17:48	5:21:25	3:45:42
123	Becker Meylor	M	M35-39	23	10:39:03	1:06:26	5:25:59	3:50:32
124	Dave Bartoszewski	M	M45-49	22	10:39:04	1:06:35	5:46:41	3:31:49
125	John Schatzlein	M	M35-39	24	10:39:17	1:01:12	5:43:16	3:43:42
126	Noah Hargrove	M	M18-24	14	10:39:31	0:53:43	5:44:39	3:50:43
127	Chris Jacobson	M	M40-44	16	10:39:40	1:06:36	5:58:13	3:24:58
128	Neil Mccann	M	M45-49	23	10:40:02	1:12:14	5:42:18	3:29:01
129	Pierre Granet	M	M45-49	24	10:40:02	1:15:11	5:46:03	3:27:05
130	Hayden Porter	M	M30-34	26	10:40:04	1:08:29	5:40:00	3:41:06
131	John Peterson	M	M18-24	15	10:40:31	1:17:00	6:01:48	3:08:27
132	Andy Schrom	M	M25-29	16	10:40:57	1:06:58	5:34:48	3:46:57
133	Alec Patterson	M	M18-24	16	10:41:09	1:07:03	5:45:41	3:35:40
