順位	氏名	性別	年齢	ランク	ｾﾞｯｹﾝ	スイム	バイク	ラン	合計
289	佐伯 昇	M	39	2	231	0:44:28	1:26:34	0:55:45	3:06:47
290	林 優子	F	59	9	765	0:36:24	1:32:26	0:57:58	3:06:48
291	豊田 篤志	M	44	3	266	0:41:08	1:30:06	0:55:41	3:06:55
292	内田 学	M	58	4	540	0:40:51	1:26:30	0:59:36	3:06:57
293	杉野 淳	M	36	2	48	0:39:10	1:26:13	1:01:35	3:06:58
294	宮城 卓也	M	42	3	87	0:33:36	1:35:43	0:57:43	3:07:02
295	葛原 一彦	M	41	3	466	0:39:19	1:32:23	0:55:23	3:07:05
296	尾﨑 渉	M	32	2	210	0:38:47	1:30:42	0:57:49	3:07:18
297	濱田 圭	M	29	1	420	0:35:16	1:37:29	0:54:49	3:07:34
298	千田 尚奈	F	29	6	706	0:28:04	1:32:57	1:06:38	3:07:39
299	東澤 翔太	M	32	2	430	0:41:26	1:18:59	1:07:31	3:07:56
300	毛利 寛治	M	62	5	612	0:35:15	1:26:31	1:06:21	3:08:07
301	赤岡 浩之	M	55	4	531	0:39:08	1:33:13	0:55:50	3:08:11
302	三好 道宏	M	54	4	141	0:32:43	1:25:57	1:09:36	3:08:16
303	大野 宏明	M	43	3	479	0:41:11	1:31:32	0:55:59	3:08:42
304	玉井 里美	F	56	9	761	0:27:58	1:34:25	1:06:25	3:08:48
305	岡村  直人	M	44	3	483	0:38:16	1:35:09	0:55:35	3:09:00
306	金高 純子	F	50	9	748	0:41:38	1:26:47	1:00:39	3:09:04
307	西村 幸保	M	45	3	490	0:39:41	1:29:08	1:00:47	3:09:36
308	森 康弘	M	55	4	337	0:36:48	1:31:15	1:01:39	3:09:42
309	森 史江	F	27	6	703	0:42:32	1:29:14	0:58:12	3:09:58
310	山口 基	M	63	5	615	0:39:10	1:33:04	0:57:56	3:10:10
311	由本 新	M	61	5	607	0:36:22	1:36:12	0:57:50	3:10:24
312	山本 真也	M	57	4	537	0:35:12	1:31:34	1:03:40	3:10:26
313	Erica Jensen	F	24	6	701	0:43:05	1:31:50	0:55:40	3:10:35
314	沖田 典子	F	43	8	728	0:36:29	1:36:49	0:57:29	3:10:47
315	福家 崇恭	M	41	3	242	0:37:04	1:34:47	0:59:06	3:10:57
316	二宮 洋一	M	51	4	311	0:33:26	1:37:01	1:00:31	3:10:58
317	三好 一久	M	51	4	315	0:37:32	1:35:16	0:58:28	3:11:16
318	熊本 英治	M	61	5	608	0:34:52	1:38:44	0:57:48	3:11:24
319	酒井 茂雄	M	52	4	522	0:38:54	1:24:59	1:07:32	3:11:25
320	山田 和也	M	42	3	470	0:44:59	1:30:33	0:56:03	3:11:35
321	稲生 三郎	M	55	4	144	0:32:24	1:34:33	1:04:43	3:11:40
322	増田 達也	M	28	1	417	0:43:06	1:27:12	1:01:25	3:11:43
323	入山 信香	F	51	9	754	0:41:34	1:35:04	0:55:14	3:11:52
324	大森 貴允	M	32	2	431	0:42:06	1:29:09	1:00:38	3:11:53
325	山本 哲	M	65	5	626	0:40:21	1:33:05	0:58:37	3:12:03
326	川原 靖代	F	47	8	739	0:30:34	1:35:01	1:06:29	3:12:04
327	若狭 孝太郎	M	53	4	524	0:39:54	1:29:12	1:03:08	3:12:14
328	竹中 靖明	M	43	3	481	0:42:03	1:28:01	1:02:14	3:12:18
329	吉田 太地	M	41	3	244	0:39:26	1:32:44	1:00:10	3:12:20
330	中田 美恵子	F	40	8	721	0:40:59	1:31:45	0:59:38	3:12:22
331	石田 直樹	M	46	3	284	0:38:32	1:26:30	1:07:29	3:12:31
332	佐々木 康之	M	42	3	92	0:27:42	1:31:02	1:13:52	3:12:36
333	南條 弘幸	M	48	3	499	0:39:51	1:25:00	1:07:45	3:12:36
334	香川 直輝	M	24	1	404	0:40:45	1:33:10	0:58:42	3:12:37
335	太田 秀臣	M	44	3	255	0:33:11	1:33:03	1:06:27	3:12:41
