総合順位	No.	氏名	年齢	性別	登録地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齡別順
1	513	横橋 輝人	20	男	学連	1:07:35	0:11:00	8	0:38:59	6	0:49:59	3	0:17:36	3	1		M20-24	
2	509	朝倉 康成	20	男	学連	1:08:34	0:11:36	11	0:38:07	2	0:49:43	2	0:18:51	6	2		M20-24	
3	512	津田 莞太	20	男	学連	1:09:28	0:15:03	48	0:38:21	3	0:53:24	13	0:16:04	1	3		M20-24	
4	514	大森 周	23	男	学連	1:11:03	0:12:38	19	0:37:58	1	0:50:36	4	0:20:27	18	4		M20-24	1
5	537	北川 貴士	47	男	滋賀県	1:11:19	0:10:17	3	0:39:04	7	0:49:21	1	0:21:58	35	5		M45-49	1
6	543	山口 俊輔	50	男	埼玉県	1:11:52	0:12:58	25	0:39:38	8	0:52:36	11	0:19:16	8	6		M50-54	1
7	558	齋藤 修	56	男	栃木県	1:11:58	0:13:47	33	0:38:49	4	0:52:36	10	0:19:22	11	7		M55-59	1
8	549	生井 和平	54	男	東京都	1:12:09	0:12:19	15	0:38:49	5	0:51:08	7	0:21:01	24	8		M50-54	2
9	546	飯島 隆介	52	男	東京都	1:12:15	0:12:25	16	0:40:34	12	0:52:59	12	0:19:16	9	9		M50-54	3
10	516	野本 将平	27	男	東京都	1:12:21	0:11:36	10	0:39:40	9	0:51:16	8	0:21:05	26	10		M25-29	1
11	518	小林 樹	30	男	東京都	1:12:25	0:10:59	7	0:40:09	11	0:51:08	6	0:21:17	30	11		M30-34	1
12	567	松山 文人	59	男	神奈川県	1:13:06	0:10:51	6	0:41:12	14	0:52:03	9	0:21:03	25	12		M55-59	2
13	508	渡部 景太	19	男	学連	1:13:52	0:10:44	4	0:43:24	23	0:54:08	16	0:19:44	15	13		M15-19	1
14	503	海老原 龍之介	19	男	学連	1:14:04	0:09:35	1	0:44:48	32	0:54:23	17	0:19:41	14	14		M15-19	2
15	584	惣宇利 彩椰	17	女	東京都	1:14:08	0:09:54	2	0:43:38	24	0:53:32	14	0:20:36	22		1	F15-19	
16	501	佐野 樹玄	18	男	学連	1:14:28	0:14:00	37	0:41:01	13	0:55:01	19	0:19:27	12	15		M15-19	3
17	545	沼田 貴俊	51	男	神奈川県	1:15:09	0:10:48	5	0:40:04	10	0:50:52	5	0:24:17	51	16		M50-54	4
18	521	オルロフ バシリー	32	男	東京都	1:15:37	0:12:49	23	0:44:32	28	0:57:21	26	0:18:16	5	17		M30-34	2
19	515	北村 豊土	23	男	東京都	1:15:39	0:13:27	30	0:42:32	20	0:55:59	20	0:19:40	13	18		M20-24	2
20	504	太田 凱也	19	男	学連	1:15:39	0:13:18	27	0:44:36	30	0:57:54	28	0:17:45	4	19		M15-19	4
21	550	山本 英永	54	男	神奈川県	1:16:01	0:12:32	17	0:41:23	15	0:53:55	15	0:22:06	36	20		M50-54	5
22	576	阿部 功	65	男	神奈川県	1:16:21	0:12:44	22	0:41:56	16	0:54:40	18	0:21:41	32	21		M65-69	1
23	505	栗城 楓	19	男	学連	1:16:47	0:14:44	45	0:42:11	18	0:56:55	24	0:19:52	16	22		M15-19	5
24	536	中嶋 出	46	男	神奈川県	1:17:22	0:13:45	32	0:42:21	19	0:56:06	21	0:21:16	28	23		M45-49	2
25	507	中道 誠人	19	男	学連	1:17:44	0:13:26	29	0:47:19	45	1:00:45	40	0:16:59	2	24		M15-19	6
26	502	鈴木 徹志	18	男	学連	1:18:33	0:15:01	47	0:44:16	27	0:59:17	33	0:19:16	7	25		M15-19	7
27	528	足立 誠	40	男	神奈川県	1:18:44	0:15:34	55	0:43:52	25	0:59:26	35	0:19:18	10	26		M40-44	1
28	526	前野 悠作	35	男	東京都	1:19:46	0:11:18	9	0:45:25	35	0:56:43	23	0:23:03	40	27		M35-39	1
29	517	入内島 友貴	28	男	香川県	1:19:54	0:12:05	13	0:46:03	37	0:58:08	29	0:21:46	33	28		M25-29	2
30	538	石塚 大治	48	男	神奈川県	1:19:57	0:16:00	62	0:42:09	17	0:58:09	30	0:21:48	34	29		M45-49	3
31	541	小川 俊介	48	男	神奈川県	1:20:00	0:13:56	36	0:45:30	36	0:59:26	34	0:20:34	21	30		M45-49	4
32	588	鶴岡 彩	33	女	神奈川県	1:20:54	0:16:37	66	0:43:05	21	0:59:42	37	0:21:12	27		2	F30-34	
33	561	高橋 玄	57	男	東京都	1:20:59	0:12:44	21	0:44:46	31	0:57:30	27	0:23:29	44	31		M55-59	3
34	572	長田 浩史	62	男	千葉県	1:21:21	0:13:22	28	0:43:14	22	0:56:36	22	0:24:45	54	32		M60-64	1
35	586	蛯名 真弓	21	女	学連	1:21:42	0:12:09	14	0:46:43	42	0:58:52	31	0:22:50	39		3	F20-24	
36	506	中野 泰賀	19	男	学連	1:21:44	0:15:38	57	0:44:50	33	1:00:28	38	0:21:16	29	33		M15-19	8
37	510	高畠 隼斗	20	男	学連	1:21:44	0:12:44	20	0:44:35	29	0:57:19	25	0:24:25	52	34		M20-24	3
