総合順位	No.	氏名	年齢	性別	登録地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	Ｔ１	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齡別順	選手権順
1	10	松井 麟太郎	18	男	京都府	1:07:09	0:10:12	1	0:03:18	0:33:16	4	0:46:46	1	0:20:23	1	1		20歳未満男子	1	
2	6	若竹 慶育	17	男	鳥取県	1:07:39	0:10:18	2	0:03:04	0:33:29	6	0:46:51	2	0:20:48	4	2		20歳未満男子	2	
3	11	山田 壮流	20	男	学連	1:07:44	0:11:49	6	0:03:28	0:31:45	2	0:47:02	4	0:20:42	3	3		20歳以上男子	1	
4	39	淺井 邦人	44	男	静岡県	1:09:18	0:11:21	5	0:03:23	0:32:16	3	0:47:00	3	0:22:18	11	4		20歳以上男子	2	
5	1	高田 真音	15	男	京都府	1:09:42	0:10:43	3	0:03:07	0:34:28	11	0:48:18	5	0:21:24	6	5		20歳未満男子	3	
6	9	知名 透真	18	男	愛知県	1:11:00	0:14:18	29	0:03:53	0:30:27	1	0:48:38	6	0:22:22	12	6		20歳未満男子	4	1
7	8	竹村 泰晃	17	男	静岡県	1:11:50	0:11:53	10	0:03:34	0:34:43	15	0:50:10	11	0:21:40	7	7		20歳未満男子	5	
8	5	濱田 翔太	17	男	東京都	1:11:59	0:12:01	12	0:03:32	0:34:11	9	0:49:44	9	0:22:15	10	8		20歳未満男子	6	
9	47	服部 雅司	46	男	愛知県	1:13:34	0:13:21	18	0:03:40	0:34:07	7	0:51:08	12	0:22:26	13	9		20歳以上男子	3	
10	141	Jethro Karl Ramos	43	男	PHI	1:13:41	0:11:51	7	0:03:43	0:34:33	12	0:50:07	10	0:23:34	16	10		20歳以上男子	4	
11	7	佐藤 遥	17	男	神奈川県	1:14:07	0:10:48	4	0:03:29	0:34:27	10	0:48:44	7	0:25:23	26	11		20歳未満男子	7	
12	3	杉本 壮優	16	男	愛知県	1:14:23	0:11:52	9	0:03:13	0:34:38	14	0:49:43	8	0:24:40	20	12		20歳未満男子	8	2
13	25	栗山 哲也	35	男	大阪府	1:14:57	0:13:51	25	0:03:56	0:35:13	16	0:53:00	15	0:21:57	8	13		20歳以上男子	5	
14	2	我彦 孝征	16	男	愛知県	1:15:38	0:15:19	42	0:03:56	0:35:41	18	0:54:56	22	0:20:42	2	14		20歳未満男子	9	3
15	4	白井 翔也	16	男	愛知県	1:15:50	0:12:24	13	0:03:24	0:39:13	44	0:55:01	23	0:20:49	5	15		20歳未満男子	10	4
16	69	三田村 達也	53	男	石川県	1:16:18	0:13:42	24	0:03:46	0:34:09	8	0:51:37	13	0:24:41	21	16		20歳以上男子	6	
17	82	西澤 正志	56	男	滋賀県	1:17:22	0:13:39	23	0:04:11	0:36:32	28	0:54:22	19	0:23:00	14	17		20歳以上男子	7	
18	124	平田 泰久	62	男	三重県	1:17:45	0:13:31	21	0:04:26	0:35:19	17	0:53:16	17	0:24:29	19	18		20歳以上男子	8	
19	30	牧野 健太郎	39	男	愛知県	1:17:49	0:15:28	45	0:04:18	0:35:56	22	0:55:42	25	0:22:07	9	19		20歳以上男子	9	
20	93	南谷 麻衣	29	女	愛知県	1:17:56	0:12:00	11	0:04:15	0:36:22	26	0:52:37	14	0:25:19	25		1	20歳以上女子	1	
21	88	境 広志	59	男	東京都	1:18:11	0:14:24	31	0:04:10	0:36:14	24	0:54:48	21	0:23:23	15	20		20歳以上男子	10	
22	58	溝端 祐一	50	男	大阪府	1:18:22	0:14:42	35	0:03:53	0:35:50	21	0:54:25	20	0:23:57	17	21		20歳以上男子	11	
23	121	古石 浩	61	男	滋賀県	1:20:50	0:14:56	37	0:04:26	0:36:18	25	0:55:40	24	0:25:10	24	22		20歳以上男子	12	
24	60	竹本 禄是	51	男	千葉県	1:21:46	0:17:26	62	0:04:14	0:34:37	13	0:56:17	26	0:25:29	28	23		20歳以上男子	13	
25	27	宇野 佑紀	36	男	愛知県	1:22:13	0:11:51	8	0:04:59	0:37:12	31	0:54:02	18	0:28:11	46	24		20歳以上男子	14	
26	13	野々山 颯太	21	男	愛知県	1:22:27	0:13:28	20	0:04:59	0:39:45	51	0:58:12	35	0:24:15	18	25		20歳以上男子	15	
27	42	櫻井 真吾	45	男	愛知県	1:23:20	0:15:56	51	0:05:53	0:36:41	30	0:58:30	37	0:24:50	22	26		20歳以上男子	16	
28	29	丹羽 正憲	39	男	愛知県	1:23:40	0:15:25	44	0:05:23	0:36:05	23	0:56:53	28	0:26:47	33	27		20歳以上男子	17	
29	133	舩坂 勝美	70	男	岐阜県	1:24:01	0:13:58	27	0:05:18	0:38:33	39	0:57:49	33	0:26:12	30	28		20歳以上男子	18	
30	57	岩佐 信吾	50	男	長野県	1:24:17	0:15:52	50	0:07:11	0:33:19	5	0:56:22	27	0:27:55	40	29		20歳以上男子	19	
31	126	斉藤 茂之	63	男	埼玉県	1:24:49	0:14:21	30	0:05:06	0:37:33	34	0:57:00	30	0:27:49	39	30		20歳以上男子	20	
32	79	小林 充	55	男	埼玉県	1:25:08	0:15:15	41	0:05:24	0:38:10	38	0:58:49	38	0:26:19	31	31		20歳以上男子	21	
33	50	渡辺 淳	47	男	愛知県	1:25:30	0:12:44	17	0:05:46	0:39:47	52	0:58:17	36	0:27:13	35	32		20歳以上男子	22	
34	84	伊藤 一夫	57	男	愛知県	1:25:44	0:15:33	47	0:04:54	0:37:15	33	0:57:42	32	0:28:02	42	33		20歳以上男子	23	
35	92	入江 花	17	女	滋賀県	1:25:45	0:12:31	15	0:04:22	0:40:44	65	0:57:37	31	0:28:08	44		2	20歳未満女子	1	
36	53	原 理仁	48	男	愛知県	1:25:59	0:13:38	22	0:04:23	0:39:51	54	0:57:52	34	0:28:07	43	34		20歳以上男子	24	
37	91	冨松 日向子	16	女	愛知県	1:27:37	0:12:26	14	0:04:27	0:36:23	27	0:53:16	16	0:34:21	86		3	20歳未満女子	2	1
38	35	渡邉 賢二	43	男	大阪府	1:27:42	0:14:12	28	0:07:04	0:35:41	19	0:56:57	29	0:30:45	59	35		20歳以上男子	25	
39	95	鈴木 友理	29	女	長野県	1:28:16	0:13:27	19	0:05:09	0:41:31	71	1:00:07	42	0:28:09	45		4	20歳以上女子	2	
40	115	森 悦子	61	女	東京都	1:28:36	0:15:05	39	0:04:29	0:39:28	46	0:59:02	39	0:29:34	54		5	20歳以上女子	3	
41	12	松原 周平	21	男	愛知県	1:28:38	0:13:58	26	0:05:42	0:41:40	74	1:01:20	43	0:27:18	36	36		20歳以上男子	26	
42	43	ＯＮＥＡＬ ＧＥＯＲＧＥ	46	男	新潟県	1:28:58	0:16:04	52	0:08:02	0:38:07	37	1:02:13	46	0:26:45	32	37		20歳以上男子	27	
43	87	池田 勝次	58	男	神奈川県	1:29:32	0:15:30	46	0:05:16	0:41:20	68	1:02:06	45	0:27:26	37	38		20歳以上男子	28	
44	36	宮崎 潤平	43	男	愛知県	1:29:47	0:14:40	34	0:06:26	0:37:57	35	0:59:03	40	0:30:44	58	39		20歳以上男子	29	
45	90	安部 苺花	15	女	愛知県	1:30:15	0:12:36	16	0:04:44	0:41:56	76	0:59:16	41	0:30:59	62		6	20歳未満女子	3	2
46	54	新實 晃英	49	男	愛知県	1:30:22	0:18:35	77	0:06:30	0:36:32	29	1:01:37	44	0:28:45	50	40		20歳以上男子	30	
47	107	打越 三紀恵	48	女	東京都	1:30:41	0:17:23	61	0:05:22	0:39:57	55	1:02:42	48	0:27:59	41		7	20歳以上女子	4	
48	123	山本 義夫	62	男	岡山県	1:30:44	0:20:29	92	0:06:43	0:35:44	20	1:02:56	49	0:27:48	38	41		20歳以上男子	31	
49	45	近藤 竹慶	46	男	愛知県	1:31:28	0:15:39	48	0:06:45	0:41:58	77	1:04:22	54	0:27:06	34	42		20歳以上男子	32	
50	16	土屋 優貴	25	男	神奈川県	1:32:18	0:15:22	43	0:05:20	0:41:34	73	1:02:16	47	0:30:02	56	43		20歳以上男子	33	
51	135	川崎 潔	71	男	大阪府	1:32:24	0:16:33	55	0:06:48	0:39:40	50	1:03:01	50	0:29:23	52	44		20歳以上男子	34	
52	22	原 大知	30	男	愛知県	1:32:29	0:22:25	105	0:07:10	0:38:02	36	1:07:37	71	0:24:52	23	45		20歳以上男子	35	
53	55	笹谷 武	49	男	愛知県	1:32:52	0:17:08	58	0:06:51	0:40:41	64	1:04:40	57	0:28:12	47	46		20歳以上男子	36	
54	101	河村 知可子	37	女	愛知県	1:33:55	0:17:09	59	0:05:59	0:41:30	70	1:04:38	56	0:29:17	51		8	20歳以上女子	5	
55	74	山嵜 英二郎	53	男	愛知県	1:34:01	0:15:03	38	0:07:16	0:41:18	67	1:03:37	51	0:30:24	57	47		20歳以上男子	37	
56	33	鳥潟 迪博	40	男	愛知県	1:34:14	0:16:04	53	0:06:52	0:42:46	82	1:05:42	61	0:28:32	48	48		20歳以上男子	38	
57	61	有田 和英	51	男	愛知県	1:34:45	0:18:18	74	0:10:29	0:40:32	61	1:09:19	81	0:25:26	27	49		20歳以上男子	39	
58	62	川内 健	51	男	愛知県	1:35:50	0:21:54	101	0:08:18	0:40:09	57	1:10:21	83	0:25:29	29	50		20歳以上男子	40	
59	41	小田 宗史	45	男	愛知県	1:35:51	0:15:47	49	0:08:11	0:42:22	80	1:06:20	63	0:29:31	53	51		20歳以上男子	41	
60	40	川崎 雅義	44	男	愛知県	1:36:52	0:21:11	97	0:07:49	0:39:18	45	1:08:18	76	0:28:34	49	52		20歳以上男子	42	
61	37	山本 泰祐	43	男	静岡県	1:37:04	0:17:20	60	0:08:04	0:39:29	47	1:04:53	58	0:32:11	70	53		20歳以上男子	43	
62	34	土田 実	42	男	長野県	1:37:12	0:19:31	85	0:06:34	0:39:38	49	1:05:43	62	0:31:29	67	54		20歳以上男子	44	
63	117	高嶋 秀子	64	女	大阪府	1:37:28	0:20:31	93	0:05:53	0:39:58	56	1:06:22	64	0:31:06	64		9	20歳以上女子	6	
64	72	籾山 佳宏	53	男	愛知県	1:38:41	0:20:16	90	0:07:54	0:39:11	42	1:07:21	69	0:31:20	66	55		20歳以上男子	45	
65	110	西津 菜穂子	55	女	愛知県	1:38:46	0:14:27	33	0:06:17	0:44:33	96	1:05:17	60	0:33:29	77		10	20歳以上女子	7	
66	71	加藤 健次	53	男	愛知県	1:38:57	0:17:46	66	0:08:30	0:41:10	66	1:07:26	70	0:31:31	68	56		20歳以上男子	46	
67	64	林 宏樹	52	男	三重県	1:39:05	0:16:50	56	0:07:52	0:40:27	59	1:05:09	59	0:33:56	82	57		20歳以上男子	47	
68	44	森川 尚彦	46	男	愛知県	1:40:19	0:18:05	71	0:08:19	0:40:33	62	1:06:57	65	0:33:22	76	58		20歳以上男子	48	
69	66	新實 守	52	男	愛知県	1:40:31	0:18:13	72	0:06:32	0:39:49	53	1:04:34	55	0:35:57	89	59		20歳以上男子	49	
70	24	伊藤 雅也	35	男	愛知県	1:40:39	0:14:50	36	0:11:50	0:41:33	72	1:08:13	74	0:32:26	72	60		20歳以上男子	50	
71	49	曽我 充弘	47	男	神奈川県	1:41:00	0:16:32	54	0:06:37	0:40:39	63	1:03:48	52	0:37:12	94	61		20歳以上男子	51	
72	56	原 大治朗	49	男	岐阜県	1:41:20	0:18:18	75	0:07:09	0:42:11	79	1:07:38	72	0:33:42	81	62		20歳以上男子	52	
73	128	菅沼 一裕	63	男	静岡県	1:41:49	0:17:49	67	0:07:29	0:41:42	75	1:07:00	66	0:34:49	88	63		20歳以上男子	53	
74	99	小林 沙苗	33	女	愛知県	1:42:18	0:21:31	100	0:06:37	0:40:31	60	1:08:39	78	0:33:39	80		11	20歳以上女子	8	
75	132	城下 輝治	66	男	大阪府	1:42:22	0:15:06	40	0:07:16	0:45:48	107	1:08:10	73	0:34:12	84	64		20歳以上男子	54	
76	17	伊藤 大雅	26	男	愛知県	1:43:40	0:19:07	82	0:07:38	0:45:07	102	1:11:52	89	0:31:48	69	65		20歳以上男子	55	
77	67	岡澤 公治	52	男	長野県	1:44:12	0:20:09	88	0:07:59	0:38:53	41	1:07:01	67	0:37:11	93	66		20歳以上男子	56	
78	31	壁谷 雄太	40	男	愛知県	1:44:23	0:19:20	83	0:10:03	0:44:00	92	1:13:23	93	0:31:00	63	67		20歳以上男子	57	
79	86	吉本 晋二	57	男	愛知県	1:44:26	0:17:41	64	0:06:22	0:43:07	87	1:07:10	68	0:37:16	95	68		20歳以上男子	58	
80	48	原 康暢	47	男	愛知県	1:44:37	0:20:39	96	0:07:49	0:42:51	83	1:11:19	85	0:33:18	75	69		20歳以上男子	59	
81	32	近藤 功	40	男	愛知県	1:45:32	0:21:29	99	0:08:01	0:39:13	43	1:08:43	79	0:36:49	92	70		20歳以上男子	60	
82	20	太田 航生	28	男	愛知県	1:45:37	0:19:43	87	0:06:07	0:45:30	103	1:11:20	86	0:34:17	85	71		20歳以上男子	61	
83	100	山田 彩華	34	女	愛知県	1:46:11	0:20:17	91	0:07:49	0:40:26	58	1:08:32	77	0:37:39	98		12	20歳以上女子	9	
84	14	都筑 健吾	24	男	愛知県	1:46:11	0:18:56	81	0:09:07	0:44:29	94	1:12:32	90	0:33:39	79	72		20歳以上男子	62	
85	76	鈴木 勝久	54	男	岐阜県	1:46:23	0:17:40	63	0:08:34	0:42:02	78	1:08:16	75	0:38:07	103	73		20歳以上男子	63	
86	122	大矢 復	61	男	神奈川県	1:46:39	0:17:50	68	0:07:46	0:43:25	89	1:09:01	80	0:37:38	97	74		20歳以上男子	64	
87	108	小林 智子	49	女	愛知県	1:47:21	0:22:09	102	0:06:56	0:44:42	97	1:13:47	94	0:33:34	78		13	20歳以上女子	10	
88	78	渋井 信治	55	男	埼玉県	1:47:39	0:32:07	121	0:05:16	0:37:14	32	1:14:37	96	0:33:02	73	75		20歳以上男子	65	
89	105	池田 智代	41	女	愛知県	1:47:43	0:22:28	106	0:07:51	0:39:36	48	1:09:55	82	0:37:48	100		14	20歳以上女子	11	
90	96	白井 友美	31	女	愛知県	1:47:49	0:26:01	113	0:07:22	0:43:36	90	1:16:59	105	0:30:50	61		15	20歳以上女子	12	
91	28	藤原 圭史	38	男	愛知県	1:48:05	0:18:38	78	0:08:48	0:44:04	93	1:11:30	87	0:36:35	91	76		20歳以上男子	66	
92	116	武田 久美子	63	女	大阪府	1:48:12	0:20:38	95	0:07:41	0:45:32	105	1:13:51	95	0:34:21	87		16	20歳以上女子	13	
93	111	浦田 勝江	55	女	大阪府	1:49:19	0:17:42	65	0:08:53	0:51:37	118	1:18:12	109	0:31:07	65		17	20歳以上女子	14	
94	46	林 清永	46	男	長野県	1:49:31	0:18:05	70	0:07:08	0:38:49	40	1:04:02	53	0:45:29	113	77		20歳以上男子	67	
95	59	松野 淳二	50	男	愛知県	1:50:17	0:30:16	119	0:06:57	0:43:05	84	1:20:18	112	0:29:59	55	78		20歳以上男子	68	
96	125	永瀬 龍洋	62	男	愛知県	1:50:19	0:20:09	89	0:08:06	0:43:24	88	1:11:39	88	0:38:40	104	79		20歳以上男子	69	
97	106	山口 朋美	44	女	愛知県	1:50:51	0:21:24	98	0:06:55	0:46:32	111	1:14:51	97	0:36:00	90		18	20歳以上女子	15	
98	94	三浦 理華子	29	女	愛知県	1:51:01	0:18:52	80	0:07:57	0:50:56	117	1:17:45	108	0:33:16	74		19	20歳以上女子	16	
