総合順位	No.	氏名	年齢	所属	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	区分	区分順位
43	255	斉藤 茂之	63	埼玉県トライアスロン連合	1:18:05	0:13:07	35	0:38:26	48	0:54:03	41	0:24:02	49	M60-64	4
44	253	及川 満	62	埼玉県トライアスロン連合	1:18:11	0:15:06	51	0:37:39	45	0:55:39	47	0:22:32	42	M60-64	5
45	251	小森谷 功	61	神奈川県トライアスロン連合	1:19:08	0:14:04	48	0:36:31	36	0:53:44	40	0:25:24	51	M60-64	6
46	265	川崎 潔	71	大阪府トライアスロン協会	1:19:40	0:15:18	53	0:38:30	49	0:56:08	48	0:23:32	46	M70-74	2
47	257	千原 寿一	66	大阪府トライアスロン協会	1:19:57	0:16:46	59	0:38:07	47	0:56:47	49	0:23:10	44	M65-69	1
48	249	山田 浩司	61	東京都トライアスロン連合	1:20:19	0:16:04	58	0:39:24	51	0:58:15	54	0:22:04	39	M60-64	7
49	212	土屋 優貴	25	神奈川県トライアスロン連合	1:21:19	0:13:40	43	0:41:54	56	0:57:42	50	0:23:37	47	M25-29	2
50	263	石橋 剛	70	大阪府トライアスロン協会	1:24:33	0:15:20	54	0:39:33	53	0:58:07	53	0:26:26	53	M70-74	3
51	250	古石 浩	61	滋賀県トライアスロン協会	1:24:57	0:13:30	41	0:36:05	30	0:51:50	36	0:33:07	59	M60-64	8
52	256	大松 智一	66	東京都トライアスロン連合	1:25:21	0:14:01	47	0:40:46	55	0:58:06	52	0:27:15	54	M65-69	2
53	217	山本 幸大	32	愛知県トライアスロン協会	1:26:36	0:13:47	45	0:45:16	59	1:03:23	58	0:23:13	45	M30-34	5
54	261	森本 正法	69	東京都トライアスロン連合	1:27:25	0:15:20	55	0:39:25	52	0:57:49	51	0:29:36	57	M65-69	3
55	259	猪瀬 浩	67	茨城県トライアスロン協会	1:27:48	0:15:13	52	0:40:07	54	0:58:49	55	0:28:59	56	M65-69	4
56	260	田浦 健朗	68	京都府トライアスロン協会	1:29:13	0:17:41	60	0:42:27	58	1:03:19	57	0:25:54	52	M65-69	5
57	268	白桃 繁行	76	大阪府トライアスロン協会	1:31:40	0:18:02	61	0:42:15	57	1:03:46	59	0:27:54	55	M75-79	1
58	247	高橋 修	61	宮城県トライアスロン協会	1:31:51	0:26:31	63	0:37:32	43	1:07:02	60	0:24:49	50	M60-64	9
59	258	城下 輝治	66	大阪府トライアスロン協会	1:33:41	0:13:46	44	0:45:47	60	1:03:05	56	0:30:36	58	M65-69	6
60	224	大野 雄一朗	40	東京都トライアスロン連合	1:42:47	0:12:51	31	0:36:49	38	0:55:29	46	0:47:18	61	M40-44	4
61	266	中島 安興	75	富山県トライアスロン協会	1:59:59	0:19:25	62	0:49:36	61	1:13:55	61	0:46:04	60	M75-79	2
DNF	206	杉浦 巧真	20	日本学生トライアスロン連合		0:12:51	30							M20-24	
DNF	214	草間 大雅	27	千葉県トライアスロン連合		0:11:51	20							M25-29	
DNF	262	前崎 泰亮	67	熊本県トライアスロン連合		0:30:54	64							M65-69	
DNF	267	中西 啓一	76	岡山県トライアスロン協会		0:30:54	65							M75-79	
DSQ	236	溝端 祐一	50	大阪府トライアスロン協会	0:57:12	0:13:08		0:31:59		0:46:56		0:10:16		M50-54	
DNS	227	渡邉 祥平	43	東京都トライアスロン連合										M40-44	
DNS	252	鈴木 基則	61	埼玉県トライアスロン連合										M60-64	
