総合順位	No.	氏名	年齢	性別	所属／登録	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	T1	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	T2	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齢別順
1	2	大羽 勝仁	39	男	愛知県	3:10:31	0:39:36	2	0:03:38	2:27:17	1	3:10:31	1				1			
2	3	渡辺 淳	49	男	愛知県	3:17:34	0:37:48	1	0:03:46	2:36:00	2	3:17:34	2				2			
3	5	後藤 篤夫	74	男	静岡県	4:10:54	0:52:34	3	0:06:10	3:12:10	3	4:10:54	3				3			
4	7003	畑中 泰二	72	男	埼玉県	4:15:11	0:55:09	4	0:07:25	3:12:37	4	4:15:11	4				4		M70-74	
DNS	1	小林 沙苗	35	女	愛知県															
DNS	4	佐藤 清貴	61	男	愛知県															
