総合順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	区分	区分別順
1	181	瀬戸内 章宏	32	男	愛知県	1:07:14	0:12:23	1	0:35:38	1	0:48:01	1	0:19:13	1	1		30歳代男子	
2	187	山本 泰資	40	男	静岡県	1:11:11	0:12:37	2	0:37:38	2	0:50:15	2	0:20:56	3	2		40歳代男子	
3	192	鈴木 大	40	男	静岡県	1:14:07	0:13:20	5	0:40:14	3	0:53:34	3	0:20:33	2	3		40歳代男子	
4	191	榊原 秀憲	38	男	静岡県	1:16:34	0:12:50	3	0:40:46	5	0:53:36	4	0:22:58	6	4		30歳代男子	
5	205	金原 匡利	39	男	静岡県	1:18:22	0:14:32	6	0:40:32	4	0:55:04	5	0:23:18	7	5		30歳代男子	
6	206	福地 智	38	男	静岡県	1:23:14	0:15:13	10	0:43:12	6	0:58:25	6	0:24:49	12	6		30歳代男子	
7	219	近藤 清人	51	男	愛知県	1:25:44	0:17:28	19	0:46:42	12	1:04:10	15	0:21:34	4	7		50歳以上男子	1
8	183	奥塚 元	46	男	神奈川県	1:27:08	0:18:02	23	0:44:33	8	1:02:35	10	0:24:33	10	8		40歳代男子	1
9	190	大石 智康	47	男	静岡県	1:27:27	0:17:48	22	0:44:36	9	1:02:24	8	0:25:03	13	9		40歳代男子	2
10	233	川口 智子	41	女	愛知県	1:27:45	0:16:15	12	0:46:04	10	1:02:19	7	0:25:26	16		1	40歳代女子	
11	193	西澤 侑	35	男	静岡県	1:29:44	0:17:29	20	0:47:05	14	1:04:34	16	0:25:10	14	10		30歳代男子	1
12	215	堀池 泰司	47	男	静岡県	1:30:31	0:16:43	16	0:49:11	21	1:05:54	21	0:24:37	11	11		40歳代男子	3
13	225	大沼 海斗	18	男	長野県	1:31:29	0:16:18	13	0:46:47	13	1:03:05	12	0:28:24	25	12		29歳以下男子	1
14	218	原田 悠平	32	男	神奈川県	1:31:33	0:16:09	11	0:47:31	16	1:03:40	13	0:27:53	20	13		30歳代男子	2
15	197	徳永 康祐	39	男	愛知県	1:31:51	0:18:10	25	0:44:23	7	1:02:33	9	0:29:18	30	14		30歳代男子	3
16	234	神谷 光代	36	女	京都府	1:31:52	0:18:20	26	0:48:13	19	1:06:33	23	0:25:19	15		2	30歳代女子	
17	232	フィンドレー デイジー	15	女	群馬県	1:32:42	0:14:58	8	0:47:46	17	1:02:44	11	0:29:58	32		3	29歳以下女子	
18	221	北川 翔司	37	男	愛知県	1:32:51	0:18:31	28	0:49:59	25	1:08:30	26	0:24:21	8	15		30歳代男子	4
19	226	藤森 恵多	15	男	長野県	1:33:15	0:16:58	18	0:51:52	30	1:08:50	27	0:24:25	9	16		29歳以下男子	2
20	211	森 和也	33	男	静岡県	1:33:28	0:18:22	27	0:46:38	11	1:05:00	17	0:28:28	26	17		30歳代男子	5
21	208	谷川 佳明	56	男	埼玉県	1:33:52	0:16:30	15	0:49:16	22	1:05:46	20	0:28:06	22	18		50歳以上男子	2
22	210	古川 正敏	63	男	東京都	1:34:17	0:16:49	17	0:48:53	20	1:05:42	19	0:28:35	27	19		50歳以上男子	3
23	201	佐野 広幸	35	男	山梨県	1:35:27	0:18:34	29	0:49:46	24	1:08:20	25	0:27:07	17	20		30歳代男子	6
24	186	長山 成行	50	男	群馬県	1:36:10	0:16:22	14	0:47:47	18	1:04:09	14	0:32:01	37	21		50歳以上男子	4
25	212	木村 太郎	19	男	静岡県	1:36:37	0:23:22	45	0:50:43	27	1:14:05	34	0:22:32	5	22		29歳以下男子	3
26	223	川上 雄一	54	男	静岡県	1:36:40	0:18:44	30	0:50:18	26	1:09:02	28	0:27:38	19	23		50歳以上男子	5
27	188	小高 弘行	43	男	神奈川県	1:36:48	0:13:13	4	0:52:48	32	1:06:01	22	0:30:47	35	24		40歳代男子	4
28	198	畠 敦志	41	男	静岡県	1:36:49	0:14:49	7	0:54:38	35	1:09:27	29	0:27:22	18	25		40歳代男子	5
29	217	原田 甲子郎	38	男	神奈川県	1:37:46	0:18:50	32	0:50:54	29	1:09:44	30	0:28:02	21	26		30歳代男子	7
30	200	小栗 凌河	18	男	長野県	1:38:22	0:14:59	9	0:52:28	31	1:07:27	24	0:30:55	36	27		29歳以下男子	4
31	182	吉田 豊行	50	男	大阪府	1:39:09	0:18:03	24	0:47:22	15	1:05:25	18	0:33:44	40	28		50歳以上男子	6
32	214	今井 信樹	45	男	愛知県	1:40:51	0:19:24	34	0:53:18	33	1:12:42	32	0:28:09	23	29		40歳代男子	6
33	209	杉浦 宏哉	47	男	愛知県	1:42:11	0:22:07	42	0:50:46	28	1:12:53	33	0:29:18	29	30		40歳代男子	7
34	202	大須賀 稔典	62	男	静岡県	1:43:01	0:18:44	31	0:56:07	38	1:14:51	36	0:28:10	24	31		50歳以上男子	7
35	199	FINDLAY DAVID	68	男	群馬県	1:43:49	0:21:23	39	0:49:33	23	1:10:56	31	0:32:53	39	32		50歳以上男子	8
36	224	高村 博也	57	男	埼玉県	1:45:43	0:19:02	33	0:57:44	40	1:16:46	39	0:28:57	28	33		50歳以上男子	9
37	185	滝口 康之	65	男	愛知県	1:47:31	0:21:40	40	0:55:13	37	1:16:53	40	0:30:38	34	34		50歳以上男子	10
38	222	谷口 勝彦	36	男	神奈川県	1:47:48	0:17:41	21	0:57:45	41	1:15:26	38	0:32:22	38	35		30歳代男子	8
39	213	青井 賢	45	男	岐阜県	1:48:10	0:20:29	36	0:57:21	39	1:17:50	41	0:30:20	33	36		40歳代男子	8
40	230	岡田 久美子	50	女	愛知県	1:48:23	0:20:37	37	0:58:02	42	1:18:39	42	0:29:44	31		4	50歳以上女子	1
41	229	近藤 沙織	44	女	愛知県	1:48:57	0:19:37	35	0:54:42	36	1:14:19	35	0:34:38	41		5	40歳代女子	1
42	231	Sugiura Liza	45	女	愛知県	1:51:10	0:21:00	38	0:54:10	34	1:15:10	37	0:36:00	42		6	40歳代女子	2
43	189	植田 恭史	37	男	静岡県	2:01:06	0:21:42	41	0:59:31	43	1:21:13	43	0:39:53	43	37		30歳代男子	9
44	194	永松 宏一	40	男	愛知県	2:24:28	0:22:26	44	1:02:39	44	1:25:05	44	0:59:23	44	38		40歳代男子	9
DNF	204	阪口 利彦	76	男	大阪府		0:22:13	43									50歳以上男子	
DNF	216	佐藤 博司	59	男	静岡県		0:25:27	46									50歳以上男子	
DNS	184	柴田 大輔	24	男	神奈川県												29歳以下男子	
DNS	195	加藤 進太郎	43	男	岐阜県												40歳代男子	
DNS	196	山本 浩之	40	男	静岡県												40歳代男子	
DNS	203	谷口 光司	71	男	滋賀県												50歳以上男子	
DNS	207	齋木 淳	41	男	茨城県												40歳代男子	
DNS	220	伊藤 年伸	56	男	愛知県												50歳以上男子	
DNS	235	武内 里佳	53	女	埼玉県												50歳以上女子	
