総合順位	No.	氏名	性別	居住地	総合記録	スイムラップ	S順	バイクラップ	B順	スプリット	通過	ランラップ	R順	男子順位	女子順位	年齢区分	年齢別順
1	41	久山 司	男	茨城県	02:26:47	00:24:10	9	01:22:07	2	01:46:17	1	00:40:30	1	1		男子20-29歳	
2	3	正木 拓海	男	大阪府	02:29:30	00:27:04	31	01:19:17	1	01:46:21	2	00:43:09	3	2		男子18-19歳	
3	9	山田 達	男	宮城県	02:31:19	00:22:51	3	01:26:02	5	01:48:53	4	00:42:26	2	3		男子20-29歳	
4	27	中野 雄大	男	東京都	02:34:23	00:24:40	13	01:26:10	6	01:50:50	6	00:43:33	4	4		男子20-29歳	1
5	2	伊藤 陽平	男	宮城県	02:36:46	00:22:55	4	01:25:52	4	01:48:47	3	00:47:59	20	5		男子18-19歳	1
6	23	馬場 航太朗	男	宮城県	02:37:14	00:26:46	29	01:22:34	3	01:49:20	5	00:47:54	19	6		男子20-29歳	2
7	39	田澤 拓也	男	岩手県	02:40:23	00:25:02	19	01:31:37	11	01:56:39	11	00:43:44	5	7		男子20-29歳	3
8	13	川杉 侑	男	愛知県	02:41:59	00:25:36	23	01:29:03	8	01:54:39	8	00:47:20	18	8		男子20-29歳	4
9	8	大倉 侑季	男	宮城県	02:42:52	00:24:46	15	01:31:43	12	01:56:29	10	00:46:23	13	9		男子20-29歳	5
10	11	竹井 一真	男	大阪府	02:43:34	00:30:04	58	01:29:21	9	01:59:25	15	00:44:09	7	10		男子20-29歳	6
11	100	秋山 優	男	宮城県	02:43:44	00:27:08	33	01:30:22	10	01:57:30	13	00:46:14	11	11		男子40-49歳	1
12	86	杉本 宏樹	男	埼玉県	02:45:15	00:22:03	1	01:35:53	21	01:57:56	14	00:47:19	17	12		男子40-49歳	2
13	33	星野 輝	男	千葉県	02:45:36	00:27:32	35	01:32:36	16	02:00:08	18	00:45:28	10	13		男子20-29歳	7
14	12	山﨑 航汰	男	東京都	02:46:37	00:23:25	7	01:38:07	23	02:01:32	19	00:45:05	9	14		男子20-29歳	8
15	45	宮 有希	男	群馬県	02:47:17	00:24:50	18	01:32:33	14	01:57:23	12	00:49:54	25	15		男子30-39歳	1
16	34	八代 大智	男	神奈川県	02:47:41	00:25:46	24	01:28:45	7	01:54:31	7	00:53:10	38	16		男子20-29歳	9
17	1	小山 森主	男	東京都	02:50:09	00:24:49	17	01:41:31	33	02:06:20	23	00:43:49	6	17		男子18-19歳	2
18	77	櫻田 慎	男	岩手県	02:50:47	00:29:28	50	01:34:27	18	02:03:55	20	00:46:52	14	18		男子40-49歳	3
19	146	嶋谷 圭司	男	大阪府	02:52:15	00:24:39	12	01:35:06	19	01:59:45	16	00:52:30	34	19		男子50-59歳	1
20	16	野田 脩人	男	愛知県	02:53:18	00:23:13	5	01:36:48	22	02:00:01	17	00:53:17	40	20		男子20-29歳	10
21	5	甘利 宗大	男	東京都	02:53:23	00:23:21	6	01:32:35	15	01:55:56	9	00:57:27	56	21		男子20-29歳	11
22	150	早川 真	男	岩手県	02:53:53	00:30:17	61	01:35:25	20	02:05:42	21	00:48:11	21	22		男子50-59歳	2
23	43	金子 文也	男	神奈川県	02:54:19	00:27:36	37	01:38:12	24	02:05:48	22	00:48:31	23	23		男子30-39歳	2
24	187	沢田 秀二	男	宮城県	02:56:13	00:25:49	25	01:42:06	36	02:07:55	27	00:48:18	22	24		男子60-69歳	1
25	6	中神 賢治	男	大阪府	02:56:14	00:36:40	115	01:32:20	13	02:09:00	31	00:47:14	16	25		男子20-29歳	12
26	48	安藤 健哉	男	宮城県	02:56:35	00:28:47	45	01:41:30	32	02:10:17	33	00:46:18	12	26		男子30-39歳	3
27	67	伊藤 徳史	男	岩手県	02:58:02	00:33:26	81	01:39:35	27	02:13:01	39	00:45:01	8	27		男子30-39歳	4
28	128	森山 岳	男	埼玉県	02:59:29	00:28:07	43	01:38:47	25	02:06:54	24	00:52:35	35	28		男子50-59歳	3
29	92	東井 久実子	女	岩手県	02:59:45	00:27:07	32	01:40:48	31	02:07:55	26	00:51:50	32		1	女子40-49歳	
30	38	小林 諒祐	男	山形県	03:00:07	00:24:46	14	01:45:28	45	02:10:14	32	00:49:53	24	29		男子20-29歳	13
31	64	蔵本 葵	女	埼玉県	03:00:37	00:22:44	2	01:46:06	48	02:08:50	30	00:51:47	31		2	女子30-39歳	
32	112	鬼澤 秀和	男	茨城県	03:01:38	00:29:21	49	01:39:01	26	02:08:22	28	00:53:16	39	30		男子40-49歳	4
33	147	竹内 源人	男	新潟県	03:02:36	00:30:10	60	01:42:06	35	02:12:16	37	00:50:20	27	31		男子50-59歳	4
34	58	吉田 有佑	男	千葉県	03:03:10	00:27:38	38	01:44:34	42	02:12:12	36	00:50:58	29	32		男子30-39歳	5
