Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
71	Mitchell Connellan	M	M25-29	9	4:37:02	0:30:10	2:31:47	1:29:28
72	Erdem Demirel	M	M40-44	14	4:37:23	0:33:08	2:22:15	1:35:43
73	Nabil Bouzoubaa	M	M40-44	15	4:38:06	0:34:29	2:24:07	1:33:34
74	Ian Farrell	M	M40-44	16	4:38:08	0:39:24	2:16:33	1:36:27
75	Sophie Kirk	F	F30-34	3	4:39:27	0:29:28	2:26:57	1:37:51
76	Toby Davies	M	M30-34	9	4:39:29	0:34:12	2:24:30	1:34:41
77	Steven Phillips	M	M45-49	6	4:39:48	0:33:59	2:27:51	1:31:14
78	Gary Price	M	M40-44	17	4:39:55	0:40:33	2:20:10	1:30:28
79	Tigran Nersesyan	M	M40-44	18	4:40:59	0:36:54	2:18:51	1:37:46
80	Gavin Gallimore	M	M40-44	19	4:41:23	0:30:21	2:21:32	1:43:47
81	Dmitri Tchernenko	M	M40-44	20	4:41:25	0:35:56	2:27:26	1:32:57
82	Tugberk Hasanoglu	M	M30-34	10	4:41:44	0:33:03	2:23:09	1:34:39
83	Pierre-Luc Pelletier	M	M40-44	21	4:43:19	0:31:41	2:28:12	1:38:15
84	Ross Mckiernan	M	M30-34	11	4:43:33	0:31:52	2:25:35	1:40:47
85	Fabien Cresp	M	M40-44	22	4:43:53	0:32:05	2:26:57	1:36:08
86	Neil Mcloughlin	M	M60-64	1	4:44:06	0:30:44	2:28:22	1:37:53
87	Roderz Hill	M	M50-54	11	4:44:15	0:31:59	2:25:46	1:39:54
88	Roman Glavatskyi	M	M35-39	21	4:44:52	0:26:45	2:33:04	1:39:33
89	Russell Wright	M	M45-49	7	4:44:53	0:34:54	2:22:36	1:41:34
90	Hussein Mowafi	M	M35-39	22	4:44:55	0:31:10	2:26:27	1:41:02
91	Glen Osmond	M	M50-54	12	4:45:21	0:29:35	2:21:54	1:49:07
92	Thomas Glanz	M	M60-64	2	4:45:47	0:29:58	2:22:18	1:47:01
93	Hamish Baxter	M	M30-34	12	4:45:49	0:31:03	2:28:10	1:38:30
94	Roberto Federici	M	M50-54	13	4:45:59	0:31:01	2:34:54	1:32:06
95	Saleh Almuhaini	M	M35-39	23	4:46:14	0:35:16	2:29:15	1:34:20
96	Varjavand Contractor	M	M25-29	10	4:46:18	0:29:50	2:28:25	1:42:04
97	Shahrez Khan	M	M40-44	23	4:46:25	0:32:24	2:33:37	1:31:05
98	Khalifa Aldarmaki	M	M40-44	24	4:46:27	0:36:31	2:24:41	1:38:43
99	Bakhit Alqars	M	M35-39	24	4:46:30	0:34:59	2:34:45	1:30:59
100	Liesbeth Leysen	F	F50-54	1	4:46:42	0:35:42	2:30:48	1:34:13
101	Bradley Howard	M	M35-39	25	4:47:05	0:34:09	2:31:47	1:33:57
102	Marco Bergese	M	M35-39	26	4:47:34	0:31:42	2:34:45	1:34:46
103	Vitaly Yakovlev	M	M40-44	25	4:48:02	0:34:45	2:26:11	1:39:25
104	Bachir Nasr	M	M50-54	14	4:48:24	0:34:07	2:30:06	1:38:12
105	Marco De Leo	M	M45-49	8	4:48:47	0:29:10	2:27:14	1:45:42
106	Gülaga Yalin Yildirim	M	M35-39	27	4:49:03	0:30:34	2:24:54	1:45:28
107	Fahad Ali	M	M35-39	28	4:49:16	0:41:51	2:32:51	1:28:56
108	Petros Solomou	M	M40-44	26	4:49:21	0:33:15	2:23:31	1:45:51
109	Nael Al Koudsi	M	M40-44	27	4:49:48	0:35:03	2:27:40	1:40:15
110	Damir Kopbayev	M	M35-39	29	4:49:49	0:38:47	2:21:45	1:42:53
111	Isabelle Darby	F	F25-29	1	4:49:50	0:33:26	2:30:12	1:40:26
112	Artem Sekachev	M	M35-39	30	4:49:51	0:38:13	2:32:07	1:33:06
113	Marco Suozzi	M	M50-54	15	4:49:51	0:32:20	2:20:46	1:51:02
114	Tamara Meteleva	F	F30-34	4	4:49:58	0:36:17	2:37:55	1:29:29
115	Paul Sharry	M	M35-39	31	4:50:12	0:37:12	2:35:22	1:30:07
116	Marwan Albanna	M	M25-29	11	4:50:13	0:34:42	2:32:59	1:37:04
117	Tommaso Boffi	M	M35-39	32	4:50:16	0:33:29	2:34:49	1:35:45
118	Andreas Maos	M	M30-34	13	4:50:36	0:28:29	2:37:03	1:32:27
119	Wolfgang Ofenböck	M	M50-54	16	4:50:38	0:33:27	2:27:39	1:43:44
120	Alexey Perchikov	M	M45-49	9	4:50:46	0:32:39	2:17:01	1:51:26
121	Harrison Webb	M	M30-34	14	4:50:48	0:44:04	2:22:04	1:36:09
122	Oliviera Coutinho Domingo	M	M55-59	2	4:51:03	0:35:13	2:34:39	1:34:04
123	Jenni Paglia	F	F40-44	1	4:51:05	0:31:56	2:31:27	1:41:27
124	Emma Gibbins	F	F35-39	2	4:51:20	0:33:27	2:37:25	1:34:16
125	Khalid Al Khatib	M	M40-44	28	4:51:22	0:33:33	2:27:21	1:43:58
126	Sione Jongstra	F	F45-49	1	4:51:26	0:28:43	2:35:51	1:42:06
127	William New	M	M25-29	12	4:51:42	0:33:18	2:25:59	1:44:42
128	Izzet Nafiyev	M	M40-44	29	4:51:50	0:38:20	2:27:17	1:39:03
129	Bond Martin	M	M50-54	17	4:51:57	0:28:40	2:29:26	1:47:23
130	Hansruedi Trachsler	M	M50-54	18	4:52:06	0:34:17	2:35:53	1:35:10
131	James Milner	M	M30-34	15	4:52:19	0:34:31	2:30:46	1:40:33
132	Alexis Chatzinikolaou	M	M45-49	10	4:52:37	0:28:46	2:24:33	1:52:23
133	Christian Dahl	M	M50-54	19	4:52:59	0:43:05	2:28:42	1:33:38
134	Mohammed Aifan	M	M45-49	11	4:53:35	0:35:32	2:34:57	1:37:01
135	David Gomez	M	M30-34	16	4:53:47	0:38:02	2:31:29	1:37:22
136	Kaupo Jansen	M	M45-49	12	4:54:04	0:38:05	2:30:53	1:38:34
137	Cameron Grassi	M	M25-29	13	4:54:05	0:28:54	2:31:25	1:47:22
138	Abdulaziz Alhouti	M	M30-34	17	4:54:48	0:39:06	2:40:00	1:29:28
139	Sandra Ofenböck	F	F45-49	2	4:55:06	0:34:32	2:37:14	1:38:12
140	Ian Russell	M	M45-49	13	4:55:11	0:31:56	2:24:31	1:51:22
141	Mark Julier	M	M50-54	20	4:55:27	0:29:25	2:26:04	1:53:08
142	Ewan Cameron	M	M55-59	3	4:55:49	0:32:30	2:33:05	1:43:56
143	Matteo Segre	M	M35-39	33	4:55:49	0:37:51	2:32:51	1:36:09
144	Mohamad Taymour	M	M30-34	18	4:56:55	0:34:39	2:32:03	1:44:20
145	Mario Zinßer	M	M30-34	19	4:57:28	0:35:28	2:40:00	1:35:33
146	Andreas Zimmerschied	M	M45-49	14	4:57:35	0:38:45	2:30:40	1:40:00
147	Barry Egan	M	M35-39	34	4:57:37	0:37:23	2:38:27	1:34:54
148	Mohammed Amrani Joutei	M	M40-44	30	4:57:37	0:30:56	2:34:55	1:45:10
149	Cedric Hainaut	M	M40-44	31	4:57:41	0:30:21	2:34:21	1:45:32
150	Pier Carlo La Corte	M	M40-44	32	4:57:47	0:36:47	2:44:31	1:29:19
151	Ahmed Alhosani	M	M30-34	20	4:58:03	0:38:09	2:38:39	1:34:39
152	Abdullah Al Hasani	M	M30-34	21	4:58:21	0:40:48	2:27:51	1:42:45
153	Robert Tansley	M	M40-44	33	4:58:35	0:31:11	2:36:48	1:41:58
154	Matthieu Prouillac	M	M40-44	34	4:58:37	0:34:10	2:29:15	1:48:44
155	Vincent De Cleer	M	M60-64	3	4:59:13	0:33:02	2:37:01	1:42:47
156	Hugo Ricciardi	M	M30-34	22	4:59:25	0:32:05	2:33:43	1:45:47
157	Adam Radkowski	M	M45-49	15	4:59:44	0:40:02	2:22:42	1:48:01
158	Lionel Fery	M	M55-59	4	4:59:50	0:33:29	2:38:46	1:40:46
159	Ben Jones	M	M45-49	16	5:00:01	0:33:37	2:26:48	1:52:09
160	Mohd Alshuraiqi	M	M25-29	14	5:01:03	0:38:19	2:37:50	1:38:27
161	Marco Paggiaro	M	M55-59	5	5:01:20	0:33:10	2:45:51	1:33:27
162	Olga Egorova	F	F35-39	3	5:01:20	0:35:08	2:46:10	1:34:33
163	Khalid Alshamsi	M	M25-29	15	5:01:40	0:37:58	2:34:27	1:40:30
164	Daniel Norton	M	M45-49	17	5:01:40	0:30:39	2:18:37	2:05:54
165	Salim Alnabhani	M	M25-29	16	5:01:44	0:34:32	2:26:49	1:55:00
166	Ufuk Türkoglu	M	M40-44	35	5:01:44	0:39:51	2:36:04	1:39:17
167	Mohammed Almarzouki	M	M35-39	35	5:01:51	0:32:08	2:40:51	1:42:30
168	Mishaal Al-Sulaiman	M	M50-54	21	5:01:57	0:31:43	2:41:01	1:42:29
169	Aziz Mimouni	M	M55-59	6	5:02:04	0:32:33	2:43:26	1:39:12
170	Samuel Oldham	M	M35-39	36	5:02:16	0:29:35	2:38:12	1:49:07
171	Ahmet Iba	M	M45-49	18	5:02:22	0:37:15	2:28:55	1:48:23
172	Rebecca Hayward	F	F40-44	2	5:02:24	0:34:37	2:40:42	1:39:53
173	Stuart Cleworth	M	M45-49	19	5:02:25	0:33:02	2:37:29	1:42:03
174	Aleksei Zabavin	M	M45-49	20	5:02:26	0:34:35	2:38:16	1:41:19
175	Tanguy Dadon	M	M65-69	1	5:02:33	0:37:00	2:39:02	1:41:18
176	Dmitri Smorodin	M	M45-49	21	5:02:57	0:36:35	2:43:21	1:35:54
177	Mirko Celii	M	M35-39	37	5:03:09	0:32:14	2:39:10	1:44:43
178	Arlene Cowgill	F	F40-44	3	5:03:11	0:41:36	2:42:43	1:33:05
179	Dmitry Guschin	M	M45-49	22	5:03:19	0:37:58	2:34:09	1:43:50
180	Adrian Haefeli	M	M40-44	36	5:03:21	0:34:26	2:40:26	1:39:36
181	Julian Marquez	M	M35-39	38	5:03:53	0:33:40	2:43:34	1:40:26
182	Mubarak Alwoqayan	M	M45-49	23	5:03:53	0:35:28	2:29:54	1:50:21
183	Papadavid Dimokritos	M	M40-44	37	5:04:01	0:32:24	2:35:02	1:49:03
184	Omar Al Sharif	M	M50-54	22	5:04:21	0:38:20	2:37:56	1:41:11
185	Lee Wild	M	M35-39	39	5:04:37	0:37:02	2:32:50	1:45:32
186	Aleksandr Ivolga	M	M35-39	40	5:04:48	0:34:34	2:44:17	1:38:26
187	Gennaro De Marco	M	M45-49	24	5:04:59	0:37:35	2:36:02	1:41:59
188	Matthieu Genessay	M	M35-39	41	5:05:03	0:34:45	2:37:17	1:44:43
