総合順位	No.	氏名	年齢	性別	都道府県	総合記録	ﾗﾝﾗｯﾌﾟ	R順	MTB	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	XCスキー	XC順	男女別順
1	101	松葉 桂二	30	男	岐阜県	1:12:55	0:13:51	7	0:36:54	1	0:50:45	2	0:22:10	2	1
2	106	松田 英裕	54	男	愛知県	1:20:13	0:14:35	10	0:40:52	4	0:55:27	3	0:24:46	4	2
3	108	与語 康宏	49	男	愛知県	1:27:39	0:13:03	4	0:51:39	6	1:04:42	5	0:22:57	3	3
4	111	田上 英治	49	男	埼玉県	1:28:01	0:13:39	6	0:37:03	2	0:50:42	1	0:37:19	12	4
5	202	入江 花	18	女	滋賀県	1:32:11	0:14:17	8	0:58:16	7	1:12:33	8	0:19:38	1	1
6	201	松田 珠弥	51	女	愛知県	1:33:00	0:17:03	18	0:49:07	5	1:06:10	6	0:26:50	5	2
7	115	松井 大	57	男	東京都	1:35:10	0:17:22	19	0:40:35	3	0:57:57	4	0:37:13	11	5
8	107	坂田 篤	53	男	愛知県	1:44:25	0:15:44	12	0:58:29	8	1:14:13	9	0:30:12	6	6
9	129	丸山 一樹	23	男	宮城県	1:49:15	0:11:59	1	0:59:01	9	1:11:00	7	0:38:15	13	7
10	114	谷口 和博	54	男	大阪府	1:53:50	0:15:46	13	0:59:13	10	1:14:59	10	0:38:51	16	8
11	118	吉村 正機		男	東京都	2:02:02	0:16:38	16	1:07:07	13	1:23:45	12	0:38:17	14	9
12	206	佃 史絵	51	女	埼玉県	2:04:00	0:18:33	24	1:05:50	12	1:24:23	15	0:39:37	17	3
13	207	野川 七海	20	女	宮城県	2:08:56	0:14:29	9	1:14:38	18	1:29:07	18	0:39:49	19	4
14	117	中野 恭汰	21	男	茨城県	2:12:21	0:12:38	3	1:07:33	14	1:20:11	11	0:52:10	25	10
15	122	俵 遼太郎	20	男	宮城県	2:16:37	0:13:31	5	1:10:46	15	1:24:17	14	0:52:20	26	11
16	119	伊藤 陽平	19	男	宮城県	2:16:38	0:12:00	2	1:12:07	17	1:24:07	13	0:52:31	27	12
17	102	熊澤 洋治	60	男	東京都	2:20:22	0:19:12	26	1:25:43	21	1:44:55	21	0:35:27	9	13
18	209	澤井 咲乃	36	女	福島県	2:20:27	0:15:16	11	1:21:06	19	1:36:22	19	0:44:05	21	5
19	105	太田 毅	65	男	愛知県	2:21:05	0:22:34	33	1:05:41	11	1:28:15	16	0:52:50	28	14
20	121	渡部 晃大朗	31	男	千葉県	2:25:20	0:16:57	17	1:21:40	20	1:38:37	20	0:46:43	24	15
21	127	菊池 亮太	31	男	東京都	2:25:33	0:15:52	14	1:29:53	22	1:45:45	22	0:39:48	18	16
22	103	宮澤 佳幸	63	男	長野県	2:25:36	0:19:41	29	1:33:25	24	1:53:06	25	0:32:30	7	17
23	123	富永 充昭	52	男	神奈川県	2:34:05	0:17:56	21	1:10:51	16	1:28:47	17	1:05:18	31	18
24	109	西尾 進也	62	男	神奈川県	2:35:51	0:19:22	27	1:39:18	26	1:58:40	26	0:37:11	10	19
25	126	吉田 昌樹	28	男	東京都	2:37:56	0:17:55	20	1:34:39	25	1:52:34	24	0:45:22	22	20
26	203	進藤 久美	58	女	長野県	2:40:25	0:18:00	22	1:49:49	28	2:07:49	27	0:32:36	8	6
27	205	中田 綾子	44	女	東京都	2:51:22	0:18:24	23	1:50:51	29	2:09:15	28	0:42:07	20	7
28	110	原 正弘	69	男	兵庫県	2:54:52	0:23:17	34	1:46:05	27	2:09:22	29	0:45:30	23	21
29	128	鈴木 悠太	31	男	神奈川県	2:54:52	0:16:25	15	1:32:37	23	1:49:02	23	1:05:50	32	22
30	204	西尾 裕美	57	女	神奈川県	3:01:32	0:20:06	31	2:03:06	32	2:23:12	32	0:38:20	15	8
31	125	加藤 敦士	31	男	東京都	3:17:56	0:19:30	28	1:52:28	30	2:11:58	30	1:05:58	33	23
32	112	福場 秀和	60	男	大阪府	3:19:51	0:18:40	25	2:00:53	31	2:19:33	31	1:00:18	29	24
33	208	八郷 華	19	女	宮城県	3:39:31	0:20:18	32	2:17:15	34	2:37:33	34	1:01:58	30	9
34	124	白井 結哉	32	男	東京都	3:39:43	0:19:54	30	2:10:16	33	2:30:10	33	1:09:33	34	25
DNS	104	小野 雅弘	44	男	神奈川県										
DNS	113	寺澤 正裕	45	男	茨城県										
DNS	116	宮澤 典友	57	男	東京都										
DNS	120	大庭 哲久	60	男	神奈川県										
