総合順位	No.	氏名	年齢	性別	都道府県	総合記録	ｽｲﾑﾗｯﾌﾟ	S順	ﾊﾞｲｸﾗｯﾌﾟ	B順	スプリット	通過	ﾗﾝﾗｯﾌﾟ	R順	加算秒	男子順位	女子順位	近畿順位
30	27	阿久津 将	33	男	東京	1:11:26	0:12:11	40	0:39:51	30	0:52:02	40	0:19:24	21		30		
31	53	杉原 有紀	26	女	滋賀県	1:11:26	0:10:48	23	0:40:30	39	0:51:18	33	0:20:08	26			1	1
32	52	河野 典子	31	女	大阪府	1:11:59	0:11:27	35	0:39:54	31	0:51:21	35	0:20:38	28			2	2
33	31	横枕 優太	20	男	学連	1:12:07	0:12:56	49	0:38:06	26	0:51:02	28	0:21:05	31		31		
34	54	宮﨑 すみれ	28	女	京都府	1:12:48	0:11:23	34	0:39:57	32	0:51:20	34	0:21:28	35			3	
35	58	平下 心	42	女	大阪府	1:13:37	0:11:01	28	0:40:21	37	0:51:22	36	0:22:15	41			4	3
36	55	上畑 真彩	20	女	学連	1:14:06	0:11:13	32	0:39:58	34	0:51:11	31	0:22:55	43			5	
37	14	安部 裕嘉	22	男	学連	1:14:25	0:11:12	30	0:40:21	36	0:51:33	38	0:22:52	42		32		9
38	57	長島 実桜	24	女	京都府	1:14:27	0:11:16	33	0:40:01	35	0:51:17	32	0:23:10	46			6	4
39	36	里見 隼人	21	男	学連	1:14:33	0:10:39	17	0:40:22	38	0:51:01	27	0:23:32	48		33		
TOV	56	川本 悠乃	22	女	学連	1:15:05	0:10:59	25	0:40:59	41	0:51:58	39	0:23:07	45				
TOV	73	小石川 花梨	22	女	学連	1:15:13	0:13:50	53	0:42:01	47	0:55:51	51	0:19:22	20				
TOV	64	野田 優	26	女	和歌山県	1:15:20	0:11:29	36	0:42:28	48	0:53:57	42	0:21:23	34				
TOV	66	尾崎 ほの花	21	女	学連	1:15:27	0:12:47	46	0:41:18	42	0:54:05	43	0:21:22	33				
TOV	61	中村 寧花	21	女	学連	1:16:00	0:12:46	45	0:41:27	44	0:54:13	46	0:21:47	37				
TOV	72	平井 紬希	24	女	学連	1:16:18	0:12:45	44	0:41:26	43	0:54:11	44	0:22:07	39				
TOV	59	木谷 唯花	20	女	学連	1:17:28	0:10:42	19	0:40:47	40	0:51:29	37	0:25:59	53				
TOV	67	川久保 恵里	33	女	奈良県	1:17:42	0:12:51	47	0:41:28	45	0:54:19	48	0:23:23	47				
TOV	60	中野 咲桜	33	女	群馬県	1:18:54	0:11:35	37	0:43:01	50	0:54:36	49	0:24:18	50				
TOV	62	入江 花	17	女	滋賀県	1:19:10	0:12:43	43	0:41:29	46	0:54:12	45	0:24:58	52				
TOV	69	宇治 公子	42	女	大阪府	1:20:01	0:13:06	50	0:45:21	52	0:58:27	52	0:21:34	36				
TOV	35	東海林 知希	20	男	学連	1:20:41	0:12:23	42	0:43:25	51	0:55:48	50	0:24:53	51				
TOV	65	木寺 咲希	18	女	京都府	1:21:07	0:14:23	54	0:45:31	53	0:59:54	53	0:21:13	32				
TOV	70	北吉 舞	50	女	奈良県	1:25:45	0:14:30	55	0:47:33	54	1:02:03	54	0:23:42	49				
DNF	51	谷村 帆夏	19	女	学連		0:11:13	31	0:43:00	49	0:54:13	47						
DNF	33	辻 大雅	20	男	学連		0:10:36	14										
DNF	74	瀬賀 楓佳	26	女	大阪府													
DNS	34	森 拓人	20	男	学連													
DNS	63	峠 和花奈	20	女	学連													
DNS	68	平井 澪希	27	女	京都府													
DNS	71	中脇 日菜乃	20	女	学連													
