Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
71	Sviatoslav Novgorodtcev	M	M35-39	10	5:52:18	0:46:14	2:57:06	2:00:09
72	Yigit Saricinar	M	M40-44	20	5:52:38	0:37:34	2:51:20	2:16:16
73	Greg Unsworth	M	M55-59	5	5:53:05	0:37:27	2:46:59	2:20:19
74	Alexander Isip	M	M50-54	7	5:53:54	0:33:30	2:58:32	2:14:51
75	Jake Salvador	M	M40-44	21	5:54:24	0:49:39	2:42:28	2:14:52
76	Stephen Breyer-Menke	M	M40-44	22	5:54:49	0:36:49	2:57:55	2:12:36
77	Vladimir Yanin	M	M40-44	23	5:55:39	0:36:25	2:49:49	2:20:49
78	Matt Oblak	M	M35-39	11	5:56:26	0:34:45	2:39:00	2:36:30
79	Juan Gabriel Peña	M	M30-34	10	5:56:51	0:46:15	2:54:33	2:07:52
80	Vincent Cremers	M	M50-54	8	5:57:25	0:42:34	2:57:41	2:07:35
81	Reujenson Lista	M	M55-59	6	5:58:29	0:50:03	2:50:46	2:10:27
82	Laurent Amestoy	M	M60-64	2	5:58:44	0:36:49	3:01:16	2:13:13
83	Roman Logov	M	M40-44	24	6:00:29	0:45:01	2:57:07	2:07:04
84	Alexander Moyer	M	M40-44	25	6:00:36	0:40:05	3:00:19	2:11:10
85	Kazuyuki Kitagawa	M	M60-64	3	6:01:03	0:39:59	2:57:06	2:14:57
86	Vincent Pena	M	M60-64	4	6:01:37	0:33:05	2:58:39	2:21:53
87	Mayuko Tanikawa	F	F60-64	1	6:02:17	0:46:16	2:59:17	2:06:50
88	Anna Lobanova	F	F30-34	4	6:03:26	0:39:50	3:00:00	2:17:16
89	Nikko Balmoria	M	M25-29	9	6:03:48	0:51:01	2:53:02	2:11:40
90	Noel Fabros	M	M45-49	9	6:04:13	1:11:16	2:50:12	1:56:39
91	Michael Bridge	M	M60-64	5	6:06:12	0:47:07	2:48:25	2:20:52
92	Jeremy Go	M	M40-44	26	6:07:35	0:50:04	2:58:18	2:09:45
93	Jayjay Cantor	M	M45-49	10	6:07:42	0:44:41	2:56:49	2:17:48
94	Amelou Mercado	F	F40-44	2	6:08:16	0:46:07	3:06:21	2:09:15
95	Vincent Meesemaecker	M	M30-34	11	6:08:33	0:48:18	3:04:23	2:05:56
96	Risa Nanao	F	F45-49	1	6:09:07	0:41:44	2:59:31	2:18:12
97	Julian Sebar Serrano	M	M30-34	12	6:09:33	0:51:53	2:55:18	2:11:45
