総合順位	No.	氏名	年齢	性別	登録地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	Ｔ１	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齡別順	選手権順
1	47	倉内 誠司	38	男	愛知県	1:05:56	0:10:39	2	0:03:21	0:33:24	3	0:47:24	3	0:18:32	1	1		20歳以上男子	1	
2	65	竹内 鉄平	46	男	愛知県	1:07:32	0:10:18	1	0:03:24	0:32:25	2	0:46:07	1	0:21:25	8	2		20歳以上男子	2	
3	35	石川 剛士	32	男	愛知県	1:07:43	0:12:26	10	0:03:35	0:31:22	1	0:47:23	2	0:20:20	3	3		20歳以上男子	3	
4	19	山田 壮流	18	男	愛知県	1:10:16	0:11:54	5	0:03:33	0:34:20	4	0:49:47	4	0:20:29	4	4		19歳以下男子	1	1
5	29	河澄 英武	24	男	愛知県	1:11:23	0:12:13	8	0:03:37	0:35:21	8	0:51:11	5	0:20:12	2	5		20歳以上男子	4	
6	24	上村 洸太	20	男	学生連合	1:12:14	0:12:09	7	0:03:39	0:35:32	10	0:51:20	6	0:20:54	6	6		20歳以上男子	5	
7	2	高橋 実結	16	女	東京都	1:14:26	0:10:44	3	0:03:54	0:36:49	17	0:51:27	7	0:22:59	10		1	19歳以下女子	1	
8	85	平井 淳也	51	男	愛知県	1:15:41	0:12:49	11	0:04:19	0:35:15	7	0:52:23	9	0:23:18	12	7		20歳以上男子	6	
9	8	竹元 久美子	39	女	愛知県	1:16:17	0:11:49	4	0:04:01	0:37:26	23	0:53:16	10	0:23:01	11		2	20歳以上女子	1	
10	17	三浦 勇人	17	男	愛知県	1:16:50	0:13:10	12	0:04:22	0:38:35	30	0:56:07	16	0:20:43	5	8		19歳以下男子	2	2
11	21	石原 虎之介	19	男	学生連合	1:17:12	0:13:36	14	0:04:12	0:35:47	12	0:53:35	11	0:23:37	15	9		19歳以下男子	3	
12	78	各務 正敏	50	男	岐阜県	1:17:39	0:15:49	28	0:05:09	0:35:10	6	0:56:08	17	0:21:31	9	10		20歳以上男子	7	
13	83	白井 稔	51	男	大阪府	1:17:44	0:13:13	13	0:05:22	0:35:22	9	0:53:57	12	0:23:47	17	11		20歳以上男子	8	
14	104	舩坂 勝美	68	男	岐阜県	1:18:47	0:13:38	15	0:04:49	0:36:55	19	0:55:22	13	0:23:25	14	12		20歳以上男子	9	
15	52	小塚 昌弘	40	男	京都府	1:19:10	0:11:57	6	0:04:13	0:36:07	13	0:52:17	8	0:26:53	34	13		20歳以上男子	10	
16	4	国弘 果桜	22	女	学生連合	1:19:14	0:14:08	17	0:04:00	0:37:21	22	0:55:29	14	0:23:45	16		3	20歳以上女子	2	
17	80	今井 敦	51	男	静岡県	1:21:34	0:16:10	29	0:05:12	0:35:42	11	0:57:04	19	0:24:30	20	14		20歳以上男子	11	
18	63	石井 大介	46	男	神奈川県	1:22:09	0:13:45	16	0:04:52	0:36:53	18	0:55:30	15	0:26:39	32	15		20歳以上男子	12	
19	26	和田 真宙	20	男	学生連合	1:22:16	0:14:49	19	0:05:02	0:36:41	16	0:56:32	18	0:25:44	26	16		20歳以上男子	13	
20	3	森田 愛巳	21	女	学生連合	1:22:17	0:12:19	9	0:03:54	0:41:23	49	0:57:36	21	0:24:41	21		4	20歳以上女子	3	
21	56	櫻井 真吾	43	男	愛知県	1:23:48	0:16:49	34	0:06:15	0:34:30	5	0:57:34	20	0:26:14	28	17		20歳以上男子	14	
22	25	橋本 真	20	男	学生連合	1:24:06	0:19:45	56	0:04:51	0:38:17	29	1:02:53	35	0:21:13	7	18		20歳以上男子	15	
23	91	守屋 正俊	54	男	愛知県	1:24:58	0:15:36	23	0:06:41	0:37:56	26	1:00:13	27	0:24:45	22	19		20歳以上男子	16	
24	6	安藤 智実	31	女	愛知県	1:25:04	0:16:40	33	0:04:54	0:38:38	32	1:00:12	26	0:24:52	23		5	20歳以上女子	4	
25	5	宮川 はな	24	女	静岡県	1:25:05	0:15:37	24	0:04:51	0:41:14	48	1:01:42	30	0:23:23	13		6	20歳以上女子	5	
26	67	小渕 貴裕	47	男	神奈川県	1:25:15	0:17:45	42	0:04:55	0:37:27	24	1:00:07	25	0:25:08	24	20		20歳以上男子	17	
27	23	松原 周平	19	男	愛知県	1:25:49	0:15:33	22	0:05:09	0:40:55	45	1:01:37	29	0:24:12	19	21		19歳以下男子	4	
28	92	伊藤 一夫	55	男	愛知県	1:26:00	0:16:32	30	0:05:21	0:37:13	21	0:59:06	22	0:26:54	35	22		20歳以上男子	18	
29	1	矢神 幸菜	15	女	愛知県	1:26:26	0:15:26	21	0:06:01	0:40:50	44	1:02:17	33	0:24:09	18		7	19歳以下女子	2	1
30	86	横山 洋	51	男	愛知県	1:28:25	0:14:49	18	0:08:09	0:39:02	35	1:02:00	32	0:26:25	31	23		20歳以上男子	19	
31	97	平山 経政	56	男	神奈川県	1:28:44	0:15:48	27	0:06:42	0:37:07	20	0:59:37	23	0:29:07	51	24		20歳以上男子	20	
32	62	桑原 宏明	45	男	愛知県	1:28:55	0:18:06	45	0:05:30	0:36:29	15	1:00:05	24	0:28:50	49	25		20歳以上男子	21	
33	60	森川 尚彦	44	男	愛知県	1:29:33	0:17:27	36	0:06:20	0:39:44	40	1:03:31	37	0:26:02	27	26		20歳以上男子	22	
34	30	湊 幸輝	24	男	愛知県	1:29:48	0:15:45	26	0:05:32	0:42:08	58	1:03:25	36	0:26:23	29	27		20歳以上男子	23	
35	57	佐藤 文昭	44	男	愛知県	1:30:17	0:16:37	31	0:05:45	0:39:37	39	1:01:59	31	0:28:18	44	28		20歳以上男子	24	
36	15	中野 翔太	17	男	愛知県	1:31:11	0:17:36	38	0:06:06	0:39:09	36	1:02:51	34	0:28:20	46	29		19歳以下男子	5	3
37	99	辻岡 徹	62	男	富山県	1:32:10	0:16:37	32	0:05:38	0:39:20	37	1:01:35	28	0:30:35	57	30		20歳以上男子	25	
38	74	小口 俊和	49	男	長野県	1:33:12	0:20:04	59	0:06:39	0:38:10	28	1:04:53	41	0:28:19	45	31		20歳以上男子	26	
39	41	市原 博史	37	男	愛知県	1:33:50	0:19:59	58	0:09:11	0:36:23	14	1:05:33	42	0:28:17	43	32		20歳以上男子	27	
40	64	亀井 誠	46	男	愛知県	1:33:55	0:19:16	54	0:08:46	0:37:57	27	1:05:59	43	0:27:56	41	33		20歳以上男子	28	
41	39	松下 知弘	34	男	愛知県	1:34:09	0:18:53	52	0:05:55	0:42:25	60	1:07:13	49	0:26:56	36	34		20歳以上男子	29	
42	61	久下 伸太郎	45	男	愛知県	1:34:12	0:18:59	53	0:06:57	0:41:52	53	1:07:48	50	0:26:24	30	35		20歳以上男子	30	
43	38	田中 大史	34	男	愛知県	1:34:40	0:18:29	49	0:06:33	0:42:09	59	1:07:11	47	0:27:29	38	36		20歳以上男子	31	
44	71	市橋 功臣	48	男	愛知県	1:34:53	0:20:23	62	0:07:27	0:40:24	41	1:08:14	51	0:26:39	33	37		20歳以上男子	32	
45	44	藤木 孝昌	37	男	愛知県	1:35:15	0:22:29	75	0:05:49	0:38:36	31	1:06:54	46	0:28:21	47	38		20歳以上男子	33	
46	28	三原 孝太郎	21	男	学生連合	1:35:34	0:19:45	57	0:06:57	0:41:49	52	1:08:31	52	0:27:03	37	39		20歳以上男子	34	
47	98	伊藤 正明	62	男	長野県	1:35:53	0:17:43	40	0:06:51	0:39:00	34	1:03:34	38	0:32:19	63	40		20歳以上男子	35	
48	9	山田 貴子	49	女	東京都	1:36:11	0:18:11	46	0:06:15	0:39:26	38	1:03:52	39	0:32:19	62		8	20歳以上女子	6	
49	81	加藤 健次	51	男	愛知県	1:36:29	0:17:22	35	0:06:39	0:42:05	57	1:06:06	44	0:30:23	56	41		20歳以上男子	36	
50	88	熊田 誠司	54	男	愛知県	1:38:25	0:18:31	50	0:06:45	0:43:31	63	1:08:47	54	0:29:38	52	42		20歳以上男子	37	
51	82	小森 清	51	男	岐阜県	1:38:37	0:20:26	63	0:07:27	0:40:50	43	1:08:43	53	0:29:54	55	43		20歳以上男子	38	
52	34	吉野 和也	28	男	愛知県	1:38:52	0:22:47	77	0:08:13	0:42:36	62	1:13:36	66	0:25:16	25	44		20歳以上男子	39	
53	46	萱沼 宏行	38	男	静岡県	1:39:54	0:21:43	70	0:07:25	0:41:08	46	1:10:16	56	0:29:38	53	45		20歳以上男子	40	
54	68	笹谷 武	47	男	愛知県	1:40:25	0:20:16	61	0:06:59	0:44:17	67	1:11:32	58	0:28:53	50	46		20歳以上男子	41	
55	69	中山 公威	47	男	愛知県	1:40:57	0:17:42	39	0:07:27	0:42:03	56	1:07:12	48	0:33:45	67	47		20歳以上男子	42	
